cancer_type,n_mutant,n_wt,n_total,mutation_freq,qualifies,notes
Uterus,28,16,44,0.6364,True,
Ovary/Fallopian Tube,17,58,75,0.2267,True,
Pancreas,15,53,68,0.2206,True,
Bladder/Urinary Tract,8,31,39,0.2051,True,
Bowel,16,83,99,0.1616,True,
Biliary Tract,6,39,45,0.1333,True,
Prostate,2,13,15,0.1333,False,
Esophagus/Stomach,11,93,104,0.1058,True,
Liver,3,26,29,0.1034,False,
Breast,9,87,96,0.0938,True,
Lymphoid,21,242,263,0.0798,True,
Peripheral Nervous System,3,57,60,0.05,False,
Lung,13,247,260,0.05,True,
Skin,6,144,150,0.04,True,UV-passenger ARID1A mutations may inflate count
Cervix,1,25,26,0.0385,False,
Soft Tissue,3,90,93,0.0323,False,
Bone,3,90,93,0.0323,False,
Kidney,2,72,74,0.027,False,
Myeloid,2,86,88,0.0227,False,
Head and Neck,2,92,94,0.0213,False,
CNS/Brain,2,125,127,0.0157,False,
Thyroid,0,25,25,0.0,False,
Pleura,0,36,36,0.0,False,
Testis,0,12,12,0.0,False,
Adrenal Gland,0,2,2,0.0,False,
Other,0,2,2,0.0,False,
Normal,0,13,13,0.0,False,
Muscle,0,5,5,0.0,False,
Ampulla of Vater,0,5,5,0.0,False,
Hair,0,2,2,0.0,False,
Fibroblast,0,45,45,0.0,False,
Eye,0,24,24,0.0,False,
Embryonal,0,1,1,0.0,False,
Vulva/Vagina,0,5,5,0.0,False,
