cancer_type,gene,cohens_d,ci_lower,ci_upper,p_value,n_mut,n_wt,median_dep_mut,median_dep_wt,fdr
Uterus,EZH2,0.5147053811840367,-0.15524093201587683,1.6726324227243037,0.11696722987709804,22,12,0.07431538180393074,-0.10907721879590755,0.6208750463477937
Uterus,ARID1B,-1.2259245618985195,-1.8307089746654601,-0.7695227302934968,0.002061638765240449,22,12,-0.24533353490530696,-0.00123598447227835,0.12850881636665465
Uterus,USP8,-0.050846921335532126,-0.9710256870940552,0.851006917234789,1.0,22,12,-0.7947752202512435,-0.8112601389889749,1.0
Uterus,BRD2,-0.7240576443312672,-1.3747970280031887,-0.14398538557408672,0.03825087996010347,22,12,-0.6847201811199595,-0.34438410500853767,0.3973841418077416
Uterus,BRD4,0.31942131788895856,-0.3985382321428823,0.986142137063383,0.6785583193300644,22,12,-0.8676043235268787,-0.9243588180668397,0.9513789663601376
Uterus,HDAC1,0.04101468895914284,-0.4818837162153398,0.8471797740529562,0.7593619741581819,22,12,-0.075097999739783,-0.1000001054052391,0.9558043293718166
Uterus,HDAC2,0.38873447603114286,-0.2600867313352123,1.1767118871672348,0.41745542574373207,22,12,0.0610829756955343,0.0440431868266999,0.8119405112013022
Uterus,HDAC3,-0.3012048247134361,-1.2105901745653724,0.5197841775230737,0.25629940360912273,22,12,-1.0874707079003518,-0.8817148518816037,0.7539410228550733
Uterus,HDAC6,0.03071162803364815,-0.8824466325798119,0.8553634897774361,0.9282127187650455,22,12,0.052450623626249054,0.057471681274848044,1.0
Uterus,ATR,-0.9164093871793464,-1.4308828281230046,-0.42919776217805883,0.0804954300479132,22,12,-1.2208111340396008,-1.1379991118074027,0.6178097664301593
Uterus,ATRIP,-0.6425866685628473,-1.3127329768987386,0.16008319586425981,0.30438811237355545,22,12,-0.6310164230629223,-0.6097677708768368,0.7797339316966421
Uterus,PARP1,-0.21991188534095427,-1.0328444508936099,0.41465735558901295,0.35811847614764925,22,12,-0.1859613793915462,-0.14448173974573636,0.7913540885221304
Uterus,PARP2,0.2213042930695836,-0.5538041954643699,1.057082314419472,0.601291808477499,22,12,-0.016863392510269498,-0.0681680072914022,0.8905181793184003
Uterus,HSP90AA1,-0.16487023149473218,-1.2611339289738517,0.6470486880460352,0.2415108799561827,22,12,-0.26092001929699005,-0.24343167883599415,0.7539410228550733
Uterus,PIK3CA,0.5671613177227005,-0.21726495083855676,1.2920527321998316,0.25629940360912273,22,12,-0.35539250971969527,-0.4147657085071484,0.7539410228550733
Uterus,AKT1,0.21862655950677476,-0.4258563401201821,0.9427341760938442,0.33958087761679845,22,12,-0.07104671514261961,-0.08219118829197619,0.7820070294774449
Uterus,MTOR,-0.12043941419437992,-0.8687444862298682,0.685986331644017,0.8996280352156077,22,12,-1.1731632582925968,-1.1324766914074584,1.0
Ovary/Fallopian Tube,EZH2,-0.0764055448100331,-0.6943774567264542,0.45210525472545493,0.8961247779728454,15,44,-0.0143147445313319,0.0081778216629807,1.0
Ovary/Fallopian Tube,ARID1B,-1.5453754312731078,-2.738063976808642,-0.8365696000081527,0.0016773976711029152,15,44,-0.4361921353842853,-0.0487665634469085,0.12850881636665465
Ovary/Fallopian Tube,USP8,0.031065986504099648,-0.6941579679965202,0.6296745701791961,0.7739376469563977,15,44,-0.8485714934914725,-0.7787046092196319,0.9558043293718166
Ovary/Fallopian Tube,BRD2,-0.33743677756507945,-1.1002541408519042,0.2103012714177319,0.12771380600989815,15,44,-0.6774635831292839,-0.4107024233202003,0.6284863611539725
Ovary/Fallopian Tube,BRD4,0.34361389892460453,-0.12829464411274422,0.8080214569406489,0.15597690279429816,15,44,-0.8489654380797543,-1.0329031977637664,0.7203456060308764
Ovary/Fallopian Tube,HDAC1,-0.7159592404630205,-1.309806800804147,0.033401218253702104,0.11923442845881427,15,44,-0.2192614844267019,-0.1034571771851116,0.6208750463477937
Ovary/Fallopian Tube,HDAC2,0.048923956235757994,-0.4491412343947411,0.5948153331574013,0.9514172034723368,15,44,-0.0014908843391686,0.0087426091590594,1.0
Ovary/Fallopian Tube,HDAC3,-0.23367898507329304,-0.8046490322540266,0.260173791474089,0.3607653505845012,15,44,-1.313233857566168,-1.1215009985680333,0.7913540885221304
Ovary/Fallopian Tube,HDAC6,0.1671805562280837,-0.568129279349871,0.9167842315013456,0.5027309569279294,15,44,0.0464817618893176,0.0267887022208754,0.8469431436533584
Ovary/Fallopian Tube,ATR,0.059871025544675306,-0.48891558751836783,0.6835784574417566,0.9099112575548038,15,44,-1.115207364338446,-1.1016182683884397,1.0
Ovary/Fallopian Tube,ATRIP,0.3368322107483461,-0.29447603962383667,1.0666010233188652,0.3985148413678937,15,44,-0.5478480724896511,-0.6172535547617635,0.8119405112013022
Ovary/Fallopian Tube,PARP1,-0.3057556763965541,-1.0126073587219726,0.2296006731174509,0.2330919213592919,15,44,-0.2279016939741002,-0.1762808375894521,0.7539410228550733
Ovary/Fallopian Tube,PARP2,0.10270079563182256,-0.41660527776044526,0.7014288419950481,0.7739376469563977,15,44,-0.0196652796684152,-0.0235767891197234,0.9558043293718166
Ovary/Fallopian Tube,HSP90AA1,0.26772577101395656,-0.17477554094641046,0.6712035347997972,0.34276139857211274,15,44,-0.2021468147416924,-0.22660184557987728,0.7820070294774449
Ovary/Fallopian Tube,PIK3CA,-0.9737420842917728,-1.8352448757509494,-0.24758528490767914,0.035937334136813485,15,44,-0.5857464797583836,-0.314170159783499,0.3973841418077416
Ovary/Fallopian Tube,AKT1,-0.6765322807650938,-1.49652363825885,0.08544126193544259,0.11516350165128368,15,44,-0.1260801369021912,-0.05590031687787775,0.6208750463477937
Ovary/Fallopian Tube,MTOR,-0.5620120422835836,-1.2409947707537543,0.03018259676786897,0.0688944202078717,15,44,-1.3836133765751362,-1.2060929924842987,0.5601415903857395
Pancreas,EZH2,-0.6291830590924868,-1.3863150525567187,0.1040060850961003,0.09323559877987687,12,36,0.035550586626466,0.15647209380640065,0.6208750463477937
Pancreas,ARID1B,-0.6092178990581727,-1.6995286842408155,0.3296696224989952,0.43904343966761483,12,36,-0.19555285664812,-0.0776262935783803,0.8119405112013022
Pancreas,USP8,-0.3850004011691569,-1.0544813962567576,0.2027683062552001,0.2682321686825341,12,36,-0.859709563809063,-0.7071555889003579,0.7539410228550733
