cancer_type,rank,gene,cohens_d,fdr,n_mut,n_wt
Biliary Tract,1,HDAC3,-0.9951282360808079,0.7539410228550733,4,30
Biliary Tract,2,ARID1B,-0.9431117427900498,0.8762301804264625,4,30
Biliary Tract,3,AKT1,-0.5077666382151299,0.7539410228550733,4,30
Biliary Tract,4,HDAC1,-0.43233623033334173,0.7913540885221304,4,30
Biliary Tract,5,PARP2,-0.36928408655880424,0.9558043293718166,4,30
Biliary Tract,6,MTOR,-0.23347108602595415,0.8119405112013022,4,30
Biliary Tract,7,BRD2,-0.2139530199795113,0.9830793587967545,4,30
Biliary Tract,8,HSP90AA1,-0.2007464565287651,0.762442396313364,4,30
Biliary Tract,9,PARP1,-0.14420663596817035,1.0,4,30
Biliary Tract,10,BRD4,-0.07892404958740788,0.8868366285119665,4,30
Biliary Tract,11,ATRIP,0.372319210459753,0.8592691232871863,4,30
Biliary Tract,12,HDAC2,0.38511219195583457,0.9049762440610152,4,30
Biliary Tract,13,PIK3CA,0.3993240150346687,0.8762301804264625,4,30
Biliary Tract,14,EZH2,0.575980799896768,0.8119405112013022,4,30
Biliary Tract,15,USP8,0.649210171560989,0.7474910394265234,4,30
Biliary Tract,16,HDAC6,0.7056163292411726,0.8762301804264625,4,30
Biliary Tract,17,ATR,1.2177132934895927,0.39052318750431964,4,30
Bladder/Urinary Tract,1,BRD2,-1.3297343148393699,0.22298850574712645,8,26
Bladder/Urinary Tract,2,HDAC6,-0.9137556484151887,0.39052318750431964,8,26
Bladder/Urinary Tract,3,ARID1B,-0.750688914920201,0.7539410228550733,8,26
Bladder/Urinary Tract,4,ATR,-0.5748005596357193,0.6208750463477937,8,26
Bladder/Urinary Tract,5,EZH2,-0.43107281134601017,0.7474910394265234,8,26
Bladder/Urinary Tract,6,PARP1,-0.3657710379696739,0.8119405112013022,8,26
Bladder/Urinary Tract,7,HSP90AA1,-0.35555354265013334,0.8119405112013022,8,26
