cancer_type,gene,cohens_d,p_value,n_mut,n_wt,fdr,n_cancer_types,category
Skin,VPS4A,-3.9651533717016534,0.006042206590151795,3,72,0.9969807075405016,2,cancer_specific
Skin,SNAI2,-3.820486294758739,0.0003258052573121066,3,72,0.9658496853017401,1,cancer_specific
Skin,PTPN1,-3.2969866703128896,0.0024583487597186226,3,72,0.9969807075405016,1,cancer_specific
Skin,CEBPB,-3.252048494794126,0.001569788967049241,3,72,0.9969807075405016,1,cancer_specific
Skin,UGCG,-3.161961643305047,0.013565346168085893,3,72,0.9969807075405016,1,cancer_specific
Biliary Tract,PLBD1,-2.9569545143164135,0.00017250301880282904,4,30,0.2826076101068611,2,cancer_specific
Skin,INTS9,-2.8452618838190418,0.0002073306182895224,3,72,0.9658496853017401,1,cancer_specific
Uterus,NANOG,-2.749742236592822,0.02857142857142857,4,4,0.43042574593385907,1,cancer_specific
Breast,FYTTD1,-2.6695632140460197,2.9271505409130272e-05,5,48,0.524867363491115,1,cancer_specific
Skin,TEAD1,-2.647972412859189,0.0012143650499814884,3,72,0.9969807075405016,1,cancer_specific
Skin,ITGA5,-2.633430331151206,0.0210292484265087,3,72,0.9969807075405016,1,cancer_specific
Bowel,WRN,-2.589717393474071,1.1618467755001305e-05,12,51,0.1041653726574642,3,universal
Skin,ZFP36L2,-2.587633774304076,0.0003258052573121066,3,72,0.9658496853017401,1,cancer_specific
Skin,SPTSSA,-2.5658871999536124,0.00930025916327286,3,72,0.9969807075405016,2,cancer_specific
Biliary Tract,PLA2G4D,-2.51726909963367,0.0005175090564084871,4,30,0.306831119544592,1,cancer_specific
Uterus,PTGES3L,-2.44005549879125,0.02857142857142857,4,4,0.43042574593385907,1,cancer_specific
Skin,SEPTIN9,-2.4273527319784134,0.0009564358879427373,3,71,0.9969807075405016,1,cancer_specific
Skin,LPAR1,-2.370443206646245,0.0024583487597186226,3,72,0.9969807075405016,1,cancer_specific
Breast,CRYBG1,-2.3274282689345376,0.005452166352753002,5,48,0.8776493075459502,1,cancer_specific
Skin,MCM3,-2.3273026595790065,0.005153646797482413,3,72,0.9969807075405016,1,cancer_specific
Skin,DOCK7,-2.3010699921888174,0.007019622362088115,3,72,0.9969807075405016,2,cancer_specific
Uterus,ETNK1,-2.296313596244426,0.02857142857142857,4,4,0.43042574593385907,1,cancer_specific
Biliary Tract,VGF,-2.286750344814064,0.00017250301880282904,4,30,0.2826076101068611,1,cancer_specific
Skin,DNAJC9,-2.268037672268805,0.0009181784524250277,3,72,0.9969807075405016,1,cancer_specific
Lymphoid,ARID1B,-2.2627940519147534,0.0182216074631411,6,87,0.6560885262082808,6,universal
Biliary Tract,TRAK2,-2.2394331987604734,0.0007762635846127307,4,30,0.31380455407969643,2,cancer_specific
Biliary Tract,L3HYPDH,-2.2104811073863937,0.003061928583750216,4,30,0.4125948766603416,1,cancer_specific
Biliary Tract,AATK,-2.204920691915115,0.015482145937553909,4,30,0.5255361255558615,3,universal
Skin,PRDX6,-2.180645440000677,0.028137726767863754,3,72,0.9969807075405016,2,cancer_specific
