gene,n_cancer_types,mean_cohens_d,min_fdr,cancer_types,is_swisnf
ADCK5,4,-1.2275611461235743,0.35708794084930967,Biliary Tract;Pancreas;Skin;Uterus,False
MAGIX,4,-1.0317856501655893,0.2538567676471896,Bowel;Ovary/Fallopian Tube;Skin;Uterus,False
LARGE2,4,-0.9973838815703985,0.44595352962588775,Bladder/Urinary Tract;Bowel;Skin;Uterus,False
ABR,4,-0.9917484903997209,0.3675929183244149,Biliary Tract;Lymphoid;Ovary/Fallopian Tube;Skin,False
HMGCR,4,-0.9835276843074019,0.4546852872109124,Breast;Lung;Skin;Uterus,False
TM9SF1,4,-0.9553719398857196,0.35321402552304804,Bowel;Lymphoid;Ovary/Fallopian Tube;Uterus,False
ARID2,4,-0.9306027111423154,0.43006248272353814,Bladder/Urinary Tract;Lung;Pancreas;Uterus,True
CCNI,4,-0.9143876269895086,0.2538567676471896,Bowel;Esophagus/Stomach;Ovary/Fallopian Tube;Uterus,False
FOXS1,4,-0.8850583925762042,0.42263181460455723,Lymphoid;Ovary/Fallopian Tube;Skin;Uterus,False
GRAMD2A,4,-0.8641829865798136,0.33942765829814897,Bowel;Esophagus/Stomach;Lymphoid;Uterus,False
ARHGEF40,4,-0.8248985223806478,0.40201927324629744,Bladder/Urinary Tract;Bowel;Lymphoid;Ovary/Fallopian Tube,False
PLAGL1,4,-0.8147187940573846,0.4718123375383657,Esophagus/Stomach;Lung;Lymphoid;Ovary/Fallopian Tube,False
DPY30,4,-0.7160493433011216,0.4638267689040502,Bowel;Esophagus/Stomach;Lung;Ovary/Fallopian Tube,False
WRN,3,-1.7365516196856035,0.1041653726574642,Bowel;Esophagus/Stomach;Uterus,False
AATK,3,-1.3590403928527524,0.4539830389722186,Biliary Tract;Lymphoid;Ovary/Fallopian Tube,False
FGD1,3,-1.3444343139710135,0.43501759830831527,Breast;Ovary/Fallopian Tube;Skin,False
KCNMB3,3,-1.2581365754297067,0.6214543699352375,Biliary Tract;Bladder/Urinary Tract;Breast,False
MDM2,3,-1.2235805880044124,0.29849194327383294,Bowel;Esophagus/Stomach;Ovary/Fallopian Tube,False
WDR25,3,-1.2091462604193808,0.41567091797877737,Breast;Lung;Uterus,False
LIAS,3,-1.1905696888135946,0.3011442637689808,Biliary Tract;Ovary/Fallopian Tube;Uterus,False
R3HDM1,3,-1.1790494547010961,0.28668162742265574,Bowel;Ovary/Fallopian Tube;Uterus,False
CDK5R1,3,-1.1779230862870678,0.6214543699352375,Biliary Tract;Lymphoid;Skin,False
MAGEA6,3,-1.1678539250758728,0.4375059174181126,Lymphoid;Ovary/Fallopian Tube;Skin,False
HOXC11,3,-1.1564969672457615,0.38517488059003313,Lymphoid;Skin;Uterus,False
PELO,3,-1.1552853281199997,0.1851930601054243,Bowel;Esophagus/Stomach;Uterus,False
OR4K13,3,-1.143696980754532,0.2868184153209086,Esophagus/Stomach;Ovary/Fallopian Tube;Uterus,False
THTPA,3,-1.1381820743588464,0.35321402552304804,Biliary Tract;Bowel;Uterus,False
DUSP15,3,-1.1243346630016966,0.2538567676471896,Bladder/Urinary Tract;Bowel;Uterus,False
SPEG,3,-1.1225107262770566,0.41017649628713837,Biliary Tract;Lymphoid;Ovary/Fallopian Tube,False
RCC1L,3,-1.1137153328959655,0.29849194327383294,Bowel;Ovary/Fallopian Tube;Uterus,False
SRRT,3,-1.1090769449554065,0.2538567676471896,Bladder/Urinary Tract;Bowel;Lung,False
ZNF784,3,-1.099491652903803,0.308013596486265,Lymphoid;Ovary/Fallopian Tube;Skin,False
DLG5,3,-1.09553989028869,0.4478645389084365,Breast;Lymphoid;Ovary/Fallopian Tube,False
IGFALS,3,-1.0947563913635718,0.4111206909494419,Biliary Tract;Bowel;Ovary/Fallopian Tube,False
POU6F1,3,-1.0945463192106786,0.2868184153209086,Bowel;Lymphoid;Uterus,False
CPNE1,3,-1.0863560721179268,0.48927306948333416,Bowel;Esophagus/Stomach;Skin,False
CLEC16A,3,-1.0826969271128795,0.48131027844134133,Bladder/Urinary Tract;Bowel;Skin,False
FGF5,3,-1.076140361965349,0.33942765829814897,Bowel;Lymphoid;Uterus,False
RAB40C,3,-1.0719663702881201,0.4609315554615419,Biliary Tract;Lymphoid;Ovary/Fallopian Tube,False
GTDC1,3,-1.0691683482569194,0.8776493075459502,Bladder/Urinary Tract;Breast;Skin,False
TPRX1,3,-1.0616825068810198,0.5898363377609109,Biliary Tract;Pancreas;Skin,False
OR5D14,3,-1.0542883702026706,0.36538501067420426,Bowel;Breast;Uterus,False
RNF113A,3,-1.0375448215303287,0.44595352962588775,Breast;Lung;Uterus,False
SLC9A2,3,-1.0314350419138638,0.2868184153209086,Bowel;Ovary/Fallopian Tube;Uterus,False
SEBOX,3,-1.0310790546817719,0.35321402552304804,Bowel;Esophagus/Stomach;Uterus,False
GNA15,3,-1.0308969059860935,0.3955130763002683,Biliary Tract;Esophagus/Stomach;Ovary/Fallopian Tube,False
MSX2,3,-1.030071231527387,0.45252278424771464,Breast;Lung;Ovary/Fallopian Tube,False
MAPK4,3,-1.02898381190391,0.4546852872109124,Biliary Tract;Lymphoid;Uterus,False
CNTN4,3,-1.0272532622277168,0.38517488059003313,Breast;Lung;Uterus,False
ZFR,3,-1.0127950798096845,0.4111206909494419,Bowel;Lymphoid;Ovary/Fallopian Tube,False
