gene,n_cancer_types,mean_cohens_d,min_fdr,cancer_types
WRN,3,-1.7365516196856035,0.1041653726574642,Bowel;Esophagus/Stomach;Uterus
ARID1B,6,-1.4966791098258423,0.3011442637689808,Bowel;Breast;Esophagus/Stomach;Lymphoid;Ovary/Fallopian Tube;Uterus
AATK,3,-1.3590403928527524,0.4539830389722186,Biliary Tract;Lymphoid;Ovary/Fallopian Tube
FGD1,3,-1.3444343139710135,0.43501759830831527,Breast;Ovary/Fallopian Tube;Skin
KCNMB3,3,-1.2581365754297067,0.6214543699352375,Biliary Tract;Bladder/Urinary Tract;Breast
ADCK5,4,-1.2275611461235743,0.35708794084930967,Biliary Tract;Pancreas;Skin;Uterus
MDM2,3,-1.2235805880044124,0.29849194327383294,Bowel;Esophagus/Stomach;Ovary/Fallopian Tube
WDR25,3,-1.2091462604193808,0.41567091797877737,Breast;Lung;Uterus
LIAS,3,-1.1905696888135946,0.3011442637689808,Biliary Tract;Ovary/Fallopian Tube;Uterus
R3HDM1,3,-1.1790494547010961,0.28668162742265574,Bowel;Ovary/Fallopian Tube;Uterus
CDK5R1,3,-1.1779230862870678,0.6214543699352375,Biliary Tract;Lymphoid;Skin
MAGEA6,3,-1.1678539250758728,0.4375059174181126,Lymphoid;Ovary/Fallopian Tube;Skin
HOXC11,3,-1.1564969672457615,0.38517488059003313,Lymphoid;Skin;Uterus
PELO,3,-1.1552853281199997,0.1851930601054243,Bowel;Esophagus/Stomach;Uterus
OR4K13,3,-1.143696980754532,0.2868184153209086,Esophagus/Stomach;Ovary/Fallopian Tube;Uterus
THTPA,3,-1.1381820743588464,0.35321402552304804,Biliary Tract;Bowel;Uterus
DUSP15,3,-1.1243346630016966,0.2538567676471896,Bladder/Urinary Tract;Bowel;Uterus
SPEG,3,-1.1225107262770566,0.41017649628713837,Biliary Tract;Lymphoid;Ovary/Fallopian Tube
RCC1L,3,-1.1137153328959655,0.29849194327383294,Bowel;Ovary/Fallopian Tube;Uterus
SRRT,3,-1.1090769449554065,0.2538567676471896,Bladder/Urinary Tract;Bowel;Lung
ZNF784,3,-1.099491652903803,0.308013596486265,Lymphoid;Ovary/Fallopian Tube;Skin
DLG5,3,-1.09553989028869,0.4478645389084365,Breast;Lymphoid;Ovary/Fallopian Tube
IGFALS,3,-1.0947563913635718,0.4111206909494419,Biliary Tract;Bowel;Ovary/Fallopian Tube
POU6F1,3,-1.0945463192106786,0.2868184153209086,Bowel;Lymphoid;Uterus
CPNE1,3,-1.0863560721179268,0.48927306948333416,Bowel;Esophagus/Stomach;Skin
