gene,drug,mechanism,spearman_r,p_value,n_lines,cancer_type
EZH2,CPI-1205,EZH2 inhibitor,0.03549637992030643,0.3428964647608119,716,
EZH2,CPI-1205,EZH2 inhibitor,-0.041871921182266,0.829250484585806,29,Uterus
EZH2,CPI-1205,EZH2 inhibitor,-0.35397745924061713,0.029234399309216536,38,Ovary/Fallopian Tube
EZH2,CPI-1205,EZH2 inhibitor,0.057446110077689023,0.7319180352235036,38,Pancreas
EZH2,CPI-1205,EZH2 inhibitor,0.12643678160919541,0.5214457058876626,28,Bladder/Urinary Tract
EZH2,CPI-1205,EZH2 inhibitor,0.001400560224089636,0.9936290409816724,35,Bowel
EZH2,CPI-1205,EZH2 inhibitor,-0.09304871373836891,0.637681168865282,28,Biliary Tract
EZH2,CPI-1205,EZH2 inhibitor,0.07255702280912364,0.6165542371589666,50,Esophagus/Stomach
EZH2,CPI-1205,EZH2 inhibitor,-0.05363984674329502,0.7863219986928865,28,Breast
EZH2,CPI-1205,EZH2 inhibitor,0.15,0.3620616705836037,39,Lymphoid
EZH2,CPI-1205,EZH2 inhibitor,-0.1756403603943582,0.10575122209344001,86,Lung
EZH2,CPI-1205,EZH2 inhibitor,0.3029616724738676,0.05417541705634915,41,Skin
EZH2,EPZ020411,EZH2 inhibitor,0.01601521982678653,0.6692214679398911,714,
EZH2,EPZ020411,EZH2 inhibitor,-0.030541871921182254,0.8750283652137651,29,Uterus
EZH2,EPZ020411,EZH2 inhibitor,0.3870226501805449,0.016374789793907163,38,Ovary/Fallopian Tube
EZH2,EPZ020411,EZH2 inhibitor,-0.18109202319728634,0.2765676199789636,38,Pancreas
EZH2,EPZ020411,EZH2 inhibitor,-0.14887794198139023,0.44958936986233416,28,Bladder/Urinary Tract
EZH2,EPZ020411,EZH2 inhibitor,0.11963330786860198,0.5003683070194744,34,Bowel
EZH2,EPZ020411,EZH2 inhibitor,0.2692939244663382,0.16582068547690024,28,Biliary Tract
EZH2,EPZ020411,EZH2 inhibitor,-0.11039615846338535,0.4453370494422993,50,Esophagus/Stomach
EZH2,EPZ020411,EZH2 inhibitor,0.08483853311439518,0.6677549486123325,28,Breast
EZH2,EPZ020411,EZH2 inhibitor,-0.17540212277054382,0.2921919411673517,38,Lymphoid
EZH2,EPZ020411,EZH2 inhibitor,-0.07093730836360204,0.5163140460027263,86,Lung
EZH2,EPZ020411,EZH2 inhibitor,0.06306620209059235,0.6952630512300652,41,Skin
HDAC1,tucidinostat,HDAC inhibitor,0.06770463988737782,0.07099914175423087,712,
HDAC1,tucidinostat,HDAC inhibitor,0.08719211822660097,0.6528920072716874,29,Uterus
HDAC1,tucidinostat,HDAC inhibitor,0.24433745486377065,0.13930195294590336,38,Ovary/Fallopian Tube
HDAC1,tucidinostat,HDAC inhibitor,0.0953058321479374,0.5692359272107016,38,Pancreas
HDAC1,tucidinostat,HDAC inhibitor,-0.11877394636015325,0.5471904868827375,28,Bladder/Urinary Tract
HDAC1,tucidinostat,HDAC inhibitor,-0.19411764705882356,0.2638328334790671,35,Bowel
HDAC1,tucidinostat,HDAC inhibitor,-0.010946907498631636,0.9559105012764118,28,Biliary Tract
HDAC1,tucidinostat,HDAC inhibitor,0.04530612244897959,0.7572344313798599,49,Esophagus/Stomach
HDAC1,tucidinostat,HDAC inhibitor,-0.0782703886152162,0.6921836339404285,28,Breast
HDAC1,tucidinostat,HDAC inhibitor,-0.13798008534850636,0.4154161717972192,37,Lymphoid
HDAC1,tucidinostat,HDAC inhibitor,0.00950044813434596,0.9308175693375469,86,Lung
HDAC1,tucidinostat,HDAC inhibitor,0.021602787456445997,0.8933526797667235,41,Skin
