cancer_type,depmap_lineage,tcga_freq,us_incidence,estimated_arid1a_patients_per_year,n_tcga_sequenced,n_tcga_altered
UCEC,Uterus,0.445,67880,30206,517,230
BLCA,Bladder/Urinary Tract,0.263,83190,21878,410,108
COADREAD,Bowel,0.112,152810,17114,534,60
BRCA,Breast,0.042,310720,13050,1066,45
SKCM,Skin,0.086,100640,8655,440,38
LUSC,Lung,0.072,117550,8463,484,35
UCS,Uterus,0.123,67880,8349,57,7
DLBC,Lymphoid,0.098,80620,7900,41,4
LUAD,Lung,0.065,117550,7640,566,37
STAD,Esophagus/Stomach,0.273,26890,7340,436,119
PAAD,Pancreas,0.061,66440,4052,179,11
KIRP,Kidney,0.043,81800,3517,276,12
LIHC,Liver,0.085,41210,3502,366,31
KIRC,Kidney,0.04,81800,3272,402,16
PRAD,Prostate,0.01,288300,2883,494,5
HNSC,Head and Neck,0.039,58450,2279,515,20
ESCA,Esophagus/Stomach,0.082,22370,1834,182,15
CHOL,Biliary Tract,0.139,12220,1698,36,5
LGG,CNS/Brain,0.037,25400,939,514,19
CESC,Cervix,0.062,13820,856,291,18
GBM,CNS/Brain,0.013,25400,330,397,5
OV,Ovary/Fallopian Tube,0.015,19680,295,523,8
SARC,Soft Tissue,0.016,13590,217,255,4
LAML,Myeloid,0.01,20380,203,200,2
THCA,Thyroid,0.002,44020,88,490,1
TGCT,,0.007,9760,68,149,1
MESO,,0.012,2800,33,86,1
PCPG,,0.022,800,17,178,4
ACC,,0.0,600,0,91,0
KICH,,0.0,81800,0,65,0
THYM,,0.0,400,0,123,0
UVM,,0.0,2500,0,80,0
