cancer_type,best_sl_d,ezh2_d,strongest_sl_gene,depmap_lineage,estimated_arid1a_patients,tcga_freq_weighted,priority_score,category
Lymphoid,-2.262794051914754,0.1847792648876384,ARID1B,Lymphoid,7900,0.098,20.307998727122982,underexplored
Skin,-2.139372714973081,0.1938982538925964,ARID1B,Skin,8655,0.086,19.395570151251594,underexplored
Breast,-1.859904056249418,-0.6758425486446312,ARID1B,Breast,13050,0.042,17.625604048522302,underexplored
Bladder/Urinary Tract,-1.32973431483937,-0.4310728113460101,BRD2,Bladder/Urinary Tract,21878,0.263,13.28841072681766,underexplored
Uterus,-1.2259245618985195,0.5147053811840367,ARID1B,Uterus,38555,0.28400000000000003,12.945600336597094,clinically_validated
Esophagus/Stomach,-1.387294932354367,-0.5704697987979634,ARID1B,Esophagus/Stomach,9174,0.17750000000000002,12.658008685242564,underexplored
Bowel,-1.1666444131788265,0.1909011233086378,BRD2,Bowel,17114,0.112,11.372112055566785,underexplored
Lung,-1.0780974012520204,-0.3998286013882332,ATR,Lung,16103,0.0685,10.443338667455675,underexplored
Ovary/Fallopian Tube,-1.5453754312731078,-0.0764055448100331,ARID1B,Ovary/Fallopian Tube,295,0.015,8.793741695825052,clinically_validated
Biliary Tract,-0.995128236080808,0.575980799896768,HDAC3,Biliary Tract,1698,0.139,7.401559939759829,underexplored
Pancreas,-0.7558655753340486,-0.6291830590924868,MTOR,Pancreas,4052,0.061,6.279136051448679,underexplored
