cancer_type,gene,cohens_d,p_value,n_altered,n_wt,median_dep_altered,median_dep_wt,fdr,is_nrf2_pathway,is_priority
Pan-cancer (pooled),NFE2L2,-1.7794,7.0827168277985364e-09,46,796,-0.6843,-0.1848,0.00012700019543925557,True,False
Pan-cancer (pooled),SUCO,-0.8225,1.3525787160109477e-06,46,796,-0.3496,-0.1037,0.011896270202700883,False,False
Pan-cancer (pooled),SMARCA2,-0.8082,0.013628622711098977,46,796,0.0255,0.0565,0.447322758094482,False,False
Pan-cancer (pooled),NR4A1,-0.7732,7.449529592406834e-05,46,796,-0.16,-0.0749,0.14841946124605218,False,False
Pan-cancer (pooled),GUCA1ANB-GUCA1A,-0.7708,0.0002872575090041632,17,210,-0.0221,0.1177,0.2223828149383077,False,False
Pan-cancer (pooled),EID3,-0.7433,1.2117616230088097e-05,46,796,-0.0037,0.0762,0.03621349610361828,False,False
Pan-cancer (pooled),SLC33A1,-0.7208,2.653788456349536e-06,46,796,-0.3726,-0.1522,0.011896270202700883,False,False
Pan-cancer (pooled),TAPT1,-0.7185,0.0002307363532028535,46,796,-0.2563,-0.1358,0.2223828149383077,False,False
Pan-cancer (pooled),SPRR1A,-0.7075,0.014998966583656298,17,210,-0.2653,-0.1272,0.4566153986613601,False,False
Pan-cancer (pooled),ECE2,-0.7004,0.039402351163229266,17,210,-0.011,0.0472,0.5766492302635995,False,False
Pan-cancer (pooled),TIGD1,-0.7001,0.004974390579599663,17,210,-0.2331,-0.1412,0.38203591083992766,False,False
Pan-cancer (pooled),CNP,-0.6403,6.037693740146836e-05,46,796,-0.2165,-0.1446,0.14840126435684778,False,False
Pan-cancer (pooled),COL26A1,-0.6305,0.07023620331245585,17,210,-0.0526,0.0122,0.6549625970627945,False,False
Pan-cancer (pooled),FBP2,-0.6282,0.0001011242762839585,46,796,-0.1506,-0.0703,0.17485463885258662,False,False
Pan-cancer (pooled),AIFM1,-0.6052,0.00028507338563936625,46,796,-0.7077,-0.4975,0.2223828149383077,False,False
Pan-cancer (pooled),MST1,-0.5775,0.011087986302065646,17,210,-0.141,-0.0755,0.4319452672211079,False,False
Pan-cancer (pooled),TSGA10IP,-0.5771,0.006520770917925658,17,210,-0.2597,-0.1458,0.40185291661461064,False,False
Pan-cancer (pooled),FAM83H,-0.5756,0.0003013243877786,46,796,-0.166,-0.0825,0.2223828149383077,False,False
Pan-cancer (pooled),UXS1,-0.5751,0.0018064169307534074,46,796,-0.5452,-0.3555,0.30826156644531555,False,True
Pan-cancer (pooled),SOX2,-0.5749,0.6282771166345269,46,796,-0.0934,-0.0918,0.9455797363080161,False,False
Pan-cancer (pooled),KLF4,-0.5743,0.002549005847299754,46,796,-0.0877,-0.0465,0.3187143412143479,False,False
Pan-cancer (pooled),WFDC9,-0.568,0.0007439135552818653,46,796,-0.216,-0.145,0.26678227919518255,False,False
Pan-cancer (pooled),ICE2,-0.5675,0.0011769045741958908,46,796,-0.7596,-0.5281,0.2807269208092008,False,False
Pan-cancer (pooled),PF4,-0.566,0.0002588100405833626,41,773,-0.3192,-0.2303,0.2223828149383077,False,False
Pan-cancer (pooled),GPR63,-0.5551,0.000375405288836157,46,796,-0.0507,-0.0028,0.23062178017646753,False,False
Pan-cancer (pooled),ZKSCAN1,-0.5527,0.00015486898546926265,46,796,-0.1491,-0.0715,0.19835398417495348,False,False
Pan-cancer (pooled),AP5S1,-0.5437,0.0010474373722810654,46,796,-0.0102,0.0549,0.2721970945271273,False,False
Pan-cancer (pooled),FAM83D,-0.542,0.05199685354953996,46,796,-0.1316,-0.1103,0.6155758253185062,False,False
Pan-cancer (pooled),ZFAND5,-0.542,0.0024010203169916975,46,796,-0.462,-0.3415,0.3187143412143479,False,False
Pan-cancer (pooled),IL22RA1,-0.5418,0.0008866368526349122,46,796,-0.1487,-0.1128,0.26896908082289434,False,False
Pan-cancer (pooled),TGIF1,-0.5418,0.0013181589028185866,46,796,-0.2013,-0.095,0.2813798486480962,False,False
Pan-cancer (pooled),COP1,-0.54,0.0016734733106146405,46,796,-0.4225,-0.2385,0.30826156644531555,False,False
Pan-cancer (pooled),SF3A3,-0.5395,0.0004977296717222611,46,796,-2.4205,-2.1756,0.23542676291356235,False,False
Pan-cancer (pooled),DERL1,-0.5237,0.003189311785175835,46,796,-0.2367,-0.1123,0.33166914814204823,False,False
Pan-cancer (pooled),RNF217,-0.5211,0.10175708739567389,46,796,-0.0161,-0.0086,0.7079287286948056,False,False
Pan-cancer (pooled),TWF1,-0.5195,0.00043765871696431594,46,796,-0.5528,-0.4558,0.23062178017646753,False,False
Pan-cancer (pooled),KRT7,-0.5183,0.008392035278442683,46,796,-0.1346,-0.0877,0.40185291661461064,False,False
Pan-cancer (pooled),ARMH1,-0.5181,0.000685514912983473,46,796,-0.3027,-0.2547,0.2508564878511562,False,False
Pan-cancer (pooled),LCE2B,-0.5165,0.014956068027353756,46,776,-0.1756,-0.1235,0.4563417766572398,False,False
Pan-cancer (pooled),C10orf95,-0.5102,0.0175580046900632,17,210,-0.2479,-0.1736,0.4819498297589491,False,False
Pan-cancer (pooled),SOX5,-0.5091,0.010586265560948799,46,796,-0.0769,-0.0456,0.42849283921754605,False,False
Pan-cancer (pooled),DGKD,-0.5081,0.001994592309964606,46,796,-0.1345,-0.0787,0.30826156644531555,False,False
Pan-cancer (pooled),CRLS1,-0.5076,0.0015595765773950083,46,796,-0.6714,-0.5834,0.30730513856340547,False,False
Pan-cancer (pooled),STX4,-0.4992,0.051621434583437834,46,796,-0.339,-0.2416,0.6155758253185062,False,False
Pan-cancer (pooled),LAT2,-0.4986,0.00014471718531716568,46,796,-0.1138,-0.0662,0.19835398417495348,False,False
Pan-cancer (pooled),PAGE1,-0.4981,0.0010043277725334495,46,796,0.0334,0.0738,0.26896908082289434,False,False
Pan-cancer (pooled),CSPG4,-0.4957,0.00402048632237194,46,796,-0.2057,-0.151,0.34659298195409255,False,False
Pan-cancer (pooled),TMEM248,-0.4952,0.00033485784414334435,46,796,-0.1153,-0.0552,0.2223828149383077,False,False
Pan-cancer (pooled),TMEM11,-0.4952,0.004823903325401261,46,796,-0.2534,-0.1789,0.3760756979468261,False,False
Pan-cancer (pooled),ADPGK,-0.4945,0.11290574276081994,46,796,-0.1024,-0.0582,0.7242511411435492,False,False
Pan-cancer (pooled),ITGA7,-0.4902,0.0004480509489428213,46,796,-0.1991,-0.1586,0.23062178017646753,False,False
Pan-cancer (pooled),IREB2,-0.4902,0.007795143992300633,46,796,-0.2883,-0.129,0.40185291661461064,False,False
Pan-cancer (pooled),MAS1,-0.4898,0.0024109680499220416,46,796,0.0109,0.0507,0.3187143412143479,False,False
Pan-cancer (pooled),ADAMTS19,-0.4897,0.007049732503198488,46,796,0.0893,0.115,0.40185291661461064,False,False
Pan-cancer (pooled),KRT79,-0.4897,0.0008945995236778928,46,796,-0.2254,-0.1465,0.26896908082289434,False,False
Pan-cancer (pooled),ALDOC,-0.4867,0.000865077011998537,46,796,-0.3638,-0.2481,0.26896908082289434,False,False
Pan-cancer (pooled),IL37,-0.486,0.0036045534201755852,46,796,-0.1068,-0.0702,0.3383939653254891,False,False
Pan-cancer (pooled),COQ8B,-0.4853,0.008044012864163666,46,796,-0.146,-0.0953,0.40185291661461064,False,False
Pan-cancer (pooled),CHRNB4,-0.4845,0.0007960737873556014,46,796,0.0122,0.0565,0.26896908082289434,False,False
Pan-cancer (pooled),TLN2,-0.4838,0.01844583302951939,46,796,-0.0801,-0.055,0.48453366392412345,False,False
Pan-cancer (pooled),TBL2,-0.4821,0.0019613423301174156,46,796,-0.1846,-0.1317,0.30826156644531555,False,False
Pan-cancer (pooled),RORA,-0.4796,0.08187719452474586,46,796,0.0373,0.0518,0.6785691542208225,False,False
Pan-cancer (pooled),MAFK,-0.4791,0.0034771795097238525,46,796,-0.236,-0.1367,0.3383939653254891,True,False
Pan-cancer (pooled),SPMIP9,-0.4788,0.0004828744291583303,46,796,-0.0717,-0.0233,0.23542676291356235,False,False
Pan-cancer (pooled),PPY,-0.4786,0.001638175911112511,46,796,-0.4082,-0.3445,0.30826156644531555,False,False
Pan-cancer (pooled),RAB7A,-0.4778,0.0035901941110374116,46,796,-0.5795,-0.4452,0.3383939653254891,False,False
Pan-cancer (pooled),PYROXD1,-0.4751,0.007838554346143795,46,796,-0.7848,-0.6839,0.40185291661461064,False,False
Pan-cancer (pooled),HS3ST5,-0.4707,0.040936958597963875,46,796,0.0823,0.1015,0.5834980958824246,False,False
Pan-cancer (pooled),EYS,-0.4691,0.0073180028737038156,46,796,0.0511,0.071,0.40185291661461064,False,False
Pan-cancer (pooled),UGT2B4,-0.4682,0.00127034447326542,46,796,0.0398,0.0747,0.2813798486480962,False,False
Pan-cancer (pooled),HDAC4,-0.4672,0.0196232169376957,46,796,-0.1452,-0.0929,0.49055951178378315,False,False
Pan-cancer (pooled),HAX1,-0.4662,0.0010200154757658143,46,796,-0.3279,-0.2616,0.26896908082289434,False,False
Pan-cancer (pooled),CLPB,-0.4658,0.020387741031118845,46,796,-0.3089,-0.2121,0.49670188101765217,False,False
Pan-cancer (pooled),OR5H14,-0.4654,0.011435515657496812,41,753,0.0603,0.1034,0.4319452672211079,False,False
Pan-cancer (pooled),GGT1,-0.4649,0.038314052466725756,17,210,-0.2285,-0.1844,0.5744224705525581,False,False
Pan-cancer (pooled),MAST3,-0.4645,0.0022703532915933733,46,796,-0.2243,-0.1804,0.3187143412143479,False,False
Pan-cancer (pooled),SENP8,-0.4642,0.0027386978139124843,46,796,-0.0921,-0.0142,0.32018680361676594,False,False
Pan-cancer (pooled),CARMIL3,-0.4636,0.0009779531943227367,46,796,-0.1313,-0.0665,0.26896908082289434,False,False
Pan-cancer (pooled),WNK1,-0.4633,0.0012429715546047539,46,796,-1.1854,-1.0119,0.2813798486480962,False,False
Pan-cancer (pooled),PNMA8A,-0.4632,0.003996721137024253,46,796,0.0172,0.0587,0.34659298195409255,False,False
Pan-cancer (pooled),KCNC1,-0.4628,0.0026450069688474776,46,796,-0.2507,-0.2007,0.3187143412143479,False,False
Pan-cancer (pooled),PJA1,-0.4606,0.003234642324057858,46,796,0.026,0.0627,0.33166914814204823,False,False
Pan-cancer (pooled),DAPK2,-0.4605,0.02321501618021774,46,796,-0.1003,-0.078,0.5219815038248461,False,False
Pan-cancer (pooled),CCDC25,-0.4602,0.10227978871024443,46,796,-0.0734,-0.052,0.7080999580553641,False,False
Pan-cancer (pooled),TAMALIN,-0.4601,0.004298933640084336,46,796,-0.2915,-0.2257,0.3552266317988582,False,False
Pan-cancer (pooled),SOST,-0.4598,0.005182046819803429,46,796,-0.0228,0.008,0.38714450594532973,False,False
Pan-cancer (pooled),PCYT1A,-0.4591,0.0009458869761776436,46,796,-0.7838,-0.5898,0.26896908082289434,False,False
Pan-cancer (pooled),SF3B5,-0.458,0.008737465560832687,46,796,-2.886,-2.7556,0.406938947977379,False,False
Pan-cancer (pooled),KLHL12,-0.4575,0.003241165822866537,46,796,-0.1837,-0.1416,0.33166914814204823,False,False
Pan-cancer (pooled),AZGP1,-0.4575,0.00834588999842247,46,796,-0.1878,-0.1381,0.40185291661461064,False,False
Pan-cancer (pooled),VPS37D,-0.4572,0.0011898525448385067,46,796,-0.089,-0.052,0.2807269208092008,False,False
Pan-cancer (pooled),TNFSF12,-0.4572,0.0008926026653362122,46,796,-0.0717,-0.0414,0.26896908082289434,False,False
Pan-cancer (pooled),KRT86,-0.4571,0.03795845054439372,41,753,-0.2433,-0.1974,0.5737393523458129,False,False
Pan-cancer (pooled),MYO7B,-0.4562,0.011948259243331583,46,796,-0.1075,-0.0808,0.43720960016605576,False,False
Pan-cancer (pooled),PYURF,-0.455,0.0015069632063455171,46,796,-0.4612,-0.3864,0.30361075565147716,False,False
Pan-cancer (pooled),COX19,-0.4538,0.002011410589152971,46,796,-0.314,-0.2083,0.30826156644531555,False,False
Pan-cancer (pooled),CDC25B,-0.4513,0.008996611105535046,46,796,-0.2946,-0.2292,0.41018451779599274,False,False
Pan-cancer (pooled),FMNL1,-0.4509,0.0037287327793870916,46,796,-0.2413,-0.2025,0.34138266652737104,False,False
Pan-cancer (pooled),EIF4E1B,-0.4498,0.0023421187765544737,46,796,-0.0457,-0.003,0.3187143412143479,False,False
Pan-cancer (pooled),GSX2,-0.4486,0.005333960440255219,46,796,-0.1166,-0.0678,0.38714450594532973,False,False
Pan-cancer (pooled),PLEKHB2,-0.4485,0.009815715577679272,46,796,-0.0724,-0.0318,0.4233622344090097,False,False
Pan-cancer (pooled),EFNB1,-0.4446,0.0278037226887163,46,796,-0.0308,-0.0014,0.5337778924318758,False,False
Pan-cancer (pooled),STXBP3,-0.4441,0.059238291186758454,46,796,-0.2693,-0.2413,0.6388637095991592,False,False
Pan-cancer (pooled),CDHR3,-0.4428,0.011410155697615412,46,796,0.0085,0.0256,0.4319452672211079,False,False
Pan-cancer (pooled),CPAP,-0.4427,0.006190664938380957,46,796,-0.3478,-0.2617,0.40185291661461064,False,False
Pan-cancer (pooled),RBP3,-0.4421,0.006190664938380957,46,796,-0.1893,-0.1494,0.40185291661461064,False,False
Pan-cancer (pooled),LCE1F,-0.4421,0.04953363402358305,17,210,-1.0748,-0.8509,0.6099342205034955,False,False
Pan-cancer (pooled),SPRR1B,-0.4405,0.05512446241413508,17,210,-0.5778,-0.4179,0.6272126954950998,False,False
Pan-cancer (pooled),HADH,-0.4397,0.002806647331409653,46,796,-0.1254,-0.0787,0.32468382773875154,False,False
Pan-cancer (pooled),PGLYRP3,-0.4397,0.0018963639800174646,46,796,-0.1466,-0.0898,0.30826156644531555,False,False
Pan-cancer (pooled),PYY,-0.4393,0.003267379864060517,46,796,-0.1053,-0.0411,0.33166914814204823,False,False
Pan-cancer (pooled),BEX3,-0.4389,0.01406172872943835,46,796,0.0129,0.0536,0.45022927004576185,False,False
Pan-cancer (pooled),EIF2B3,-0.4375,0.005914720705729867,46,796,-1.6929,-1.5082,0.4009773062133326,False,False
Pan-cancer (pooled),TAGLN3,-0.4368,0.005780948864111736,46,796,-0.1242,-0.0878,0.39867640984838865,False,False
Pan-cancer (pooled),GAB1,-0.4362,0.02546086783572925,46,796,-0.1552,-0.0807,0.5253251400440888,False,False
Pan-cancer (pooled),STING1,-0.4334,0.006564229659332501,46,796,-0.0142,0.0236,0.40185291661461064,False,False
Pan-cancer (pooled),MYBPH,-0.4319,0.006441567174882672,46,796,-0.0419,-0.0106,0.40185291661461064,False,False
Pan-cancer (pooled),ZFP69,-0.4309,0.0028296370610003496,46,796,-0.3631,-0.2567,0.3252450137230594,False,False
Pan-cancer (pooled),SPAG5,-0.4309,0.00768043421262555,46,796,-0.4888,-0.4158,0.40185291661461064,False,False
Pan-cancer (pooled),SGCE,-0.4297,0.011228964663172058,46,796,-0.3075,-0.2399,0.4319452672211079,False,False
Pan-cancer (pooled),SSX1,-0.4287,0.03812830191236869,46,796,-0.1311,-0.0892,0.5744224705525581,False,False
Pan-cancer (pooled),G6PC1,-0.4267,0.0019737509820318797,46,796,-0.1888,-0.1393,0.30826156644531555,False,False
Pan-cancer (pooled),TSC22D2,-0.4258,0.0057150912821355765,46,796,-0.512,-0.4173,0.39719884410842254,False,False
Pan-cancer (pooled),GOLGA6B,-0.4252,0.13090737795068397,41,752,-0.4232,-0.4063,0.7348587043396597,False,False
Pan-cancer (pooled),TBX21,-0.4238,0.012530757137514142,46,796,-0.1331,-0.1035,0.44107912503833074,False,False
Pan-cancer (pooled),DIRAS1,-0.4236,0.007999584493626508,46,796,-0.0497,-0.0247,0.40185291661461064,False,False
Pan-cancer (pooled),MRPS31,-0.4234,0.0364225965373682,46,796,-0.5917,-0.5172,0.5639840919788852,False,False
Pan-cancer (pooled),VSIG8,-0.4233,0.0027499173362881017,46,796,-0.0788,-0.0307,0.32018680361676594,False,False
Pan-cancer (pooled),PIPOX,-0.4232,0.004427246668699138,46,796,-0.1069,-0.0757,0.3608407273474738,False,False
Pan-cancer (pooled),TWIST2,-0.423,0.11824159254678848,46,796,0.0382,0.0495,0.726497007090074,False,False
Pan-cancer (pooled),AARD,-0.4221,0.0027443023372292156,46,796,-0.2213,-0.1825,0.32018680361676594,False,False
Pan-cancer (pooled),CST6,-0.4211,0.0008516113026384638,46,796,-0.2137,-0.1403,0.26896908082289434,False,False
Pan-cancer (pooled),SLC16A2,-0.4206,0.0011794837058825445,46,796,-0.0398,0.0079,0.2807269208092008,False,False
Pan-cancer (pooled),ZSCAN25,-0.4205,0.009587557014077631,46,796,-0.1351,-0.0976,0.41861990334099536,False,False
Pan-cancer (pooled),KRT8,-0.4181,0.08231104655255404,17,210,-0.8287,-0.7062,0.6785691542208225,False,False
Pan-cancer (pooled),DIDO1,-0.4178,0.0023714021197430253,46,796,-0.4589,-0.3503,0.3187143412143479,False,False
Pan-cancer (pooled),TNPO1,-0.4174,0.0023179693420786996,46,796,-0.436,-0.3308,0.3187143412143479,False,False
Pan-cancer (pooled),MYL11,-0.4173,0.011030642122140598,46,796,-0.1199,-0.0767,0.4319452672211079,False,False
Pan-cancer (pooled),TMEM270,-0.4164,0.0030941185002764304,46,796,-0.2272,-0.167,0.33166914814204823,False,False
Pan-cancer (pooled),TNFAIP8L2,-0.4161,0.030521357068806293,46,796,-0.2517,-0.1973,0.5438792634080568,False,False
Pan-cancer (pooled),TMA7,-0.4151,0.0032132943885617594,41,773,-0.1604,-0.1063,0.33166914814204823,False,False
