treatment_id,compound,compound_key,d,pvalue,n_kl,n_wt,qvalue
BRD:BRD-A00047421-001-01-7,ARV-825,BRD-A00047421,0.6462,0.02198393398207236,6,573,0.8419664737730223
BRD:BRD-A00055058-001-01-0,,BRD-A00055058,0.6013,0.006826321493994191,5,396,0.7153112763106592
BRD:BRD-A00077618-236-07-6,,BRD-A00077618,0.2425,0.4461500955618125,5,407,0.9434873665100119
BRD:BRD-A00092689-236-04-9,docusate,BRD-A00092689,0.0697,0.780606463825417,6,571,0.9800852578762286
BRD:BRD-A00100033-001-08-9,,BRD-A00100033,-0.8605,0.27633480932530374,5,410,0.9304292892047283
BRD:BRD-A00147595-001-01-5,,BRD-A00147595,0.5906,0.36245160645300556,5,407,0.9331356509660925
BRD:BRD-A00218260-001-03-4,,BRD-A00218260,0.3969,0.47966194997035605,4,406,0.9435015442903811
BRD:BRD-A00376169-001-01-6,,BRD-A00376169,-0.002,0.9970906070619702,4,406,0.9987116062233496
BRD:BRD-A00520476-001-07-4,,BRD-A00520476,0.008,0.9883505281954792,5,407,0.9962203944501169
BRD:BRD-A00546892-001-02-6,,BRD-A00546892,0.2805,0.6891229891915286,5,407,0.971697004003613
BRD:BRD-A00559310-003-01-1,W-54011,BRD-A00559310,-0.3425,0.38841965463546013,6,571,0.9371420518042609
BRD:BRD-A00578795-001-04-3,,BRD-A00578795,0.0137,0.9831674260908663,5,411,0.995482675686994
BRD:BRD-A00758722-001-04-9,,BRD-A00758722,0.1392,0.7506155792088068,5,393,0.9800852578762286
BRD:BRD-A00827783-001-24-6,,BRD-A00827783,-0.3023,0.5253952521261226,5,407,0.9468695981209869
BRD:BRD-A00842753-001-01-9,,BRD-A00842753,-0.0707,0.8765251095023183,5,395,0.9900870191174943
BRD:BRD-A00993607-003-24-6,,BRD-A00993607,-0.2392,0.3674798835533625,5,411,0.9356819309855848
BRD:BRD-A01098288-001-02-9,,BRD-A01098288,0.3658,0.3738306039678737,4,401,0.9356819309855848
BRD:BRD-A01307728-001-01-4,,BRD-A01307728,0.3948,0.092868020250065,5,346,0.9269899137089833
BRD:BRD-A01412266-001-01-0,,BRD-A01412266,0.1148,0.7345200861017448,4,404,0.9765062919614045
BRD:BRD-A01493904-003-12-1,,BRD-A01493904,0.2115,0.6215647308305624,5,408,0.9575059753103813
BRD:BRD-A01563671-001-02-7,,BRD-A01563671,0.4912,0.5140929640735725,4,408,0.946625316402665
BRD:BRD-A01593789-001-03-1,,BRD-A01593789,0.7841,0.04337414570114911,5,408,0.8995378209109437
BRD:BRD-A01636364-003-15-1,,BRD-A01636364,1.0074,0.03271995517698267,5,407,0.8771638233249642
BRD:BRD-A01643550-001-04-9,,BRD-A01643550,0.0264,0.8797225797189495,5,393,0.9900870191174943
BRD:BRD-A01787639-003-16-9,,BRD-A01787639,0.1798,0.6224701426558771,4,406,0.9575059753103813
BRD:BRD-A01907367-001-01-7,,BRD-A01907367,0.6635,0.18700524821151232,5,407,0.9283803268725414
BRD:BRD-A02006392-001-16-4,,BRD-A02006392,0.2692,0.5216723439660846,5,410,0.946625316402665
BRD:BRD-A02180903-001-04-5,,BRD-A02180903,-0.3364,0.49386880031422925,5,407,0.9454988845475732
BRD:BRD-A02232681-001-01-8,,BRD-A02232681,0.0713,0.8389440029622888,5,396,0.9865321896263912
BRD:BRD-A02473266-001-01-1,,BRD-A02473266,-0.1715,0.5837012294436221,5,347,0.9542522880458459
BRD:BRD-A02532772-003-01-7,,BRD-A02532772,0.1957,0.600374945508296,5,346,0.9561771988502082
BRD:BRD-A02710418-003-11-8,,BRD-A02710418,-0.1554,0.5092627520209799,4,406,0.946625316402665
BRD:BRD-A02743701-001-03-6,,BRD-A02743701,0.6763,0.2094702845999987,5,408,0.930099219237979
BRD:BRD-A02759312-003-24-5,,BRD-A02759312,0.3698,0.27065705157872655,5,408,0.9304292892047283
BRD:BRD-A02933148-001-01-8,,BRD-A02933148,0.1172,0.8119258040459929,5,347,0.9858345094976283
BRD:BRD-A02971356-001-09-9,ibotenic-acid,BRD-A02971356,0.2079,0.36491311499422385,6,573,0.9342986616933558
BRD:BRD-A02990301-003-06-6,,BRD-A02990301,1.1369,0.15772907270590703,5,407,0.9269899137089833
BRD:BRD-A03061970-003-07-3,,BRD-A03061970,0.3235,0.3577794157400727,5,407,0.9331356509660925
BRD:BRD-A03204438-001-01-2,,BRD-A03204438,-0.397,0.32416481003792624,5,347,0.9304292892047283
BRD:BRD-A03216249-003-24-3,,BRD-A03216249,-0.4823,0.22373793770983216,5,405,0.930099219237979
BRD:BRD-A03359064-001-02-3,,BRD-A03359064,-0.273,0.3227533870362691,4,408,0.9304292892047283
BRD:BRD-A03506276-001-01-5,,BRD-A03506276,0.0856,0.8316998028232827,5,407,0.9861667732013165
BRD:BRD-A03623303-045-09-5,,BRD-A03623303,-0.2864,0.2855843768008492,5,407,0.9304292892047283
BRD:BRD-A03880619-001-01-0,,BRD-A03880619,0.1697,0.8101257560962208,4,386,0.9858345094976283
BRD:BRD-A03932035-004-04-3,,BRD-A03932035,-0.3395,0.36599900838365856,5,393,0.9351543533933429
BRD:BRD-A04203391-001-08-3,,BRD-A04203391,-0.112,0.8305389077077076,5,410,0.9861667732013165
BRD:BRD-A04252265-003-01-4,,BRD-A04252265,0.0014,0.9958990299992811,4,404,0.9979399726826277
BRD:BRD-A04322457-003-17-9,,BRD-A04322457,0.131,0.7015658339286972,5,407,0.9729941263652878
BRD:BRD-A04327189-001-15-1,,BRD-A04327189,0.4128,0.41009671034670836,5,408,0.9371420518042609
BRD:BRD-A04327189-003-03-3,,BRD-A04327189,0.3827,0.1622333458473749,5,393,0.9269899137089833
BRD:BRD-A04352665-001-05-3,,BRD-A04352665,-0.3707,0.5134716189724629,5,393,0.946625316402665
BRD:BRD-A04447196-001-01-8,,BRD-A04447196,0.5188,0.006948006519058747,5,396,0.7153112763106592
BRD:BRD-A04497688-001-04-2,,BRD-A04497688,0.3291,0.6458163067685201,5,407,0.9600080633324578
