treatment_id,compound,compound_key,d,pvalue,n_mut,n_wt,median_sens_mut,median_sens_wt,qvalue
BRD:BRD-K03294269-001-08-0,,BRD-K03294269,-0.7809,0.015120545116269616,32,410,-0.2394,0.0506,0.5258261695600608
BRD:BRD-K60298136-001-03-3,,BRD-K60298136,-0.7529,0.005921968498757983,31,346,-0.4045,-0.0559,0.4850539747667142
BRD:BRD-K60952143-001-01-0,,BRD-K60952143,-0.6953,0.003039444142818211,31,347,-2.0801,-1.4954,0.3968812640333779
BRD:BRD-K00004614-001-01-9,GSK3117391,BRD-K00004614,-0.6897,0.004375467672429897,38,571,-4.3284,-3.2617,0.44450642870047036
BRD:BRD-K13642819-001-02-9,trimetrexate,BRD-K13642819,-0.6563,0.0008809966642473156,38,571,-3.695,-3.0418,0.23609890796256322
BRD:BRD-A69815203-001-07-6,,BRD-A69815203,-0.6334,0.003991961832850046,30,372,-0.3718,0.0913,0.4385749636258246
BRD:BRD-K31792052-004-02-7,,BRD-K31792052,-0.6215,0.004517075637751466,31,346,0.0078,0.1585,0.44450642870047036
BRD:BRD-K73309154-003-02-8,,BRD-K73309154,-0.6068,0.005950165983827337,32,410,-0.8641,-0.1413,0.4850539747667142
BRD:BRD-K00074843-001-02-9,Tepilamide fumarate,BRD-K00074843,-0.597,0.007195095414505219,38,561,-0.581,-0.1705,0.4908349797770115
BRD:BRD-K00003105-003-01-9,IACS-10759,BRD-K00003105,-0.5911,0.0010016182581386727,38,574,-1.773,-1.1545,0.23609890796256322
BRD:BRD-K10961822-001-05-1,,BRD-K10961822,-0.5896,0.0003461600845554269,32,393,-1.7597,-1.3981,0.15669513160875656
BRD:BRD-K18619710-001-14-4,,BRD-K18619710,-0.5885,0.00025636439719968257,31,408,-3.2267,-2.5896,0.15669513160875656
BRD:BRD-K72029282-001-22-0,,BRD-K72029282,-0.5866,0.0016459008050991202,31,406,-0.3179,-0.1412,0.29409648596376387
BRD:BRD-K39484304-001-16-5,,BRD-K39484304,-0.5771,0.0003366005642260445,32,409,-4.5051,-3.6768,0.15669513160875656
BRD:BRD-K04374714-003-01-1,,BRD-K04374714,-0.5702,0.016917236371602636,31,346,0.0064,0.1943,0.549607822790344
BRD:BRD-K49246350-001-01-1,,BRD-K49246350,-0.5653,0.010959372845788604,31,346,0.0308,0.1447,0.5073648553746365
BRD:BRD-A44500574-001-01-8,,BRD-A44500574,-0.565,0.012763845240413614,32,408,-0.6821,-0.0064,0.519539205931428
BRD:BRD-K68174511-001-06-6,,BRD-K68174511,-0.5602,0.003098351217376175,32,410,-3.9951,-2.9014,0.3969397125657401
BRD:BRD-K72868067-001-02-4,,BRD-K72868067,-0.5534,0.013090791421809704,31,347,-0.285,-0.1016,0.522861610318164
BRD:BRD-A78377521-001-05-5,,BRD-A78377521,-0.5479,0.011199428349736888,31,404,-0.7939,-0.4702,0.5119838146844371
BRD:BRD-K32322923-001-01-7,,BRD-K32322923,-0.5472,0.0036828314683074246,31,347,-1.277,-0.8374,0.4311452701690933
BRD:BRD-K67262033-001-01-0,,BRD-K67262033,-0.5405,0.02196812988495837,31,347,-0.301,-0.1613,0.5502692648511895
BRD:BRD-K77791657-003-01-7,,BRD-K77791657,-0.525,0.010124681662042742,27,387,-0.5662,0.0163,0.5004460265610573
BRD:BRD-K32007074-001-02-9,,BRD-K32007074,-0.5205,0.024965636438911806,32,393,-0.4277,-0.2405,0.5687838788159891
BRD:BRD-K81026553-234-01-8,,BRD-K81026553,-0.5199,0.03600612989218988,31,347,-0.2477,-0.1064,0.6364317435280217
