drug,mechanism,axis,context,cohens_d,p_value,n_mut,n_wt,median_sens_mut,median_sens_wt,fdr
BAY-2402234,DHODH inhibitor,UXS1/pyrimidine,Pan-cancer,-0.2405,0.12980648658592006,38,574,-1.5592,-1.1722,0.32451621646480017
BAY-2402234,DHODH inhibitor,UXS1/pyrimidine,Lung,-0.3054,0.19230211775334344,17,73,-1.792,-1.095,0.3846042355066869
BAY-2402234,DHODH inhibitor,UXS1/pyrimidine,Bladder/Urinary Tract,0.4212,0.43200139209514754,4,14,-0.6783,-1.484,0.6774606079235448
BAY-2402234,DHODH inhibitor,UXS1/pyrimidine,Esophagus/Stomach,-0.1197,0.6667607651084543,7,34,-1.3639,-0.9982,0.6774606079235448
BAY-2402234,DHODH inhibitor,UXS1/pyrimidine,Uterus,-0.4303,0.5018387091202687,5,20,-1.8186,-1.3951,0.6774606079235448
ATR inhibitor 2,ATR inhibitor,ATR/replication-stress,Pan-cancer,-0.0727,0.6735970689629713,38,561,-4.4391,-4.193,0.6774606079235448
ATR inhibitor 2,ATR inhibitor,ATR/replication-stress,Lung,-0.4073,0.08209920665070082,17,69,-4.5691,-4.0739,0.32451621646480017
ATR inhibitor 2,ATR inhibitor,ATR/replication-stress,Bladder/Urinary Tract,1.479,0.00023666780095723988,4,14,-3.1301,-5.111,0.002366678009572399
ATR inhibitor 2,ATR inhibitor,ATR/replication-stress,Esophagus/Stomach,0.1978,0.6774606079235448,7,34,-4.4373,-4.8495,0.6774606079235448
ATR inhibitor 2,ATR inhibitor,ATR/replication-stress,Uterus,0.4469,0.12316761059393166,5,20,-3.7477,-4.8784,0.32451621646480017
