gene,n_deleted,n_intact,median_deleted,median_intact,cohens_d,mannwhitney_p,fdr,significant
FKBP6,7,32,0.0675264638611251,0.3446688277776176,-1.966109164820056,0.00015304659267507565,0.3514972300474588,False
UBE2W,7,32,-0.1084786026673214,0.1740997550241976,-1.3842092335089458,0.004468518400406946,0.6645872250331184,False
CCDC28A,7,32,-0.0203081134720657,0.21783031285184234,-1.2867699976880023,0.005870773672631259,0.6645872250331184,False
PRMT5,25,73,-1.3839931743557905,-1.0213461646195758,-1.1879386158212895,2.021382374206586e-06,0.012081802450632763,True
FAM90A1,7,32,-0.1395226819836651,0.11396994398488075,-1.1286913056956844,0.004468518400406946,0.6645872250331184,False
ZNF365,7,32,-0.0643830237344507,0.10325486797481855,-1.0574625035005027,0.04434281214466973,0.7417079893340233,False
NPM1,7,32,-1.1842069768881525,-0.6430511549780463,-0.9908388773086508,0.0636890977448253,0.7792252535423109,False
RPS4Y2,7,32,0.593080552753995,0.6760499213149771,-0.9714492407850224,0.14087490248480963,0.8404242817946975,False
RWDD4,7,32,-0.0694227142438464,0.0074994013501266995,-0.9693647655226074,0.08909977331029964,0.8016297216392287,False
WDR36,7,32,-2.0490254052517027,-1.6777926329870925,-0.9586191444426172,0.04434281214466973,0.7417079893340233,False
ADORA3,7,32,0.0706691014393297,0.25567265614513723,-0.9462631269869786,0.007627753757784719,0.6645872250331184,False
FRRS1,7,32,-0.1350537554781129,0.0466119540306573,-0.9286398199242635,0.0636890977448253,0.7792252535423109,False
OTOA,25,73,-0.0514810511979756,0.0399753879428653,-0.9116629468951865,0.00017195464314036175,0.3514972300474588,False
SPRR1B,7,32,-0.7880711142756391,-0.6402375468412118,-0.8954362962805626,0.15129429370915443,0.8445480713042872,False
PRPF38B,25,73,-2.1253192282175952,-1.6989252184547738,-0.8889606162885655,0.00018954176980176847,0.3514972300474588,False
GRAP,7,31,-0.7610235453215778,-0.5852928762541453,-0.8825698120924087,0.04008127885836864,0.7293652720918079,False
ADCK5,25,73,-0.025406356398833,0.1199114244965661,-0.8808163815509523,0.00020219117109810308,0.3514972300474588,False
NTN5,25,73,-0.1155685028839924,-0.0235771248054549,-0.8700316830288162,0.0001559109434816078,0.3514972300474588,False
CBX7,25,73,-0.105676964056286,-0.0154706168999924,-0.8520897615726033,0.0002782331190891902,0.38376908141448224,False
F11,25,73,-0.0373614565942049,0.0277693653947105,-0.8372378890071768,0.0006982255425487124,0.46369934086818376,False
KCNE4,7,32,0.0325801623085919,0.21976445651798926,-0.830053394787244,0.007627753757784719,0.6645872250331184,False
NANOG,7,32,0.0958976756753133,0.17184562120052585,-0.829539135127258,0.10441054403902703,0.8111295844496254,False
TRMT61B,25,73,-0.2288652288642377,-0.1270021040718789,-0.8270272936047742,0.000368856401053402,0.4013118785123194,False
LRRC8B,25,73,-0.1421310556613336,-0.0278795899140067,-0.8262566462079973,0.0008584485199886661,0.5283309588117543,False
RTN3,25,73,-0.3643270920468635,-0.2182079790653666,-0.8242202341445793,0.0002782331190891902,0.38376908141448224,False
LECT2,25,73,0.0481444752933995,0.0829521047942065,-0.8139527487886161,0.004229141998056662,0.6645872250331184,False
CX3CR1,25,73,0.0493294021436811,0.1125165149139113,-0.808033114463233,0.0010222555999489396,0.5717369256142749,False
DAGLA,25,73,-0.1266593063037056,-0.0332637970093247,-0.7986531001094125,0.0004718975984104862,0.42307979185492145,False
ACOT4,25,73,-0.2204335087117969,-0.0926232225174535,-0.798615064639672,0.0015664470728223826,0.6202698090343534,False
DRAM2,25,73,-0.2303744621985731,-0.1256668584795316,-0.7949922566594919,0.006488821966052134,0.6645872250331184,False
TMEM176B,25,73,-0.0524531551565654,0.0001462351874077,-0.7884483199921701,0.0008584485199886661,0.5283309588117543,False
FOXP4,25,73,-0.1120823378921583,-0.0506962714661981,-0.7859661373806155,0.006175789793353283,0.6645872250331184,False
