cancer_type,gene,cohens_d,ci_lower,ci_upper,p_value,n_lost,n_intact,median_dep_lost,median_dep_intact,is_core_mapk,fdr
CNS/Brain,BRAF,0.0072,-0.6341,0.6294,0.5988080481511076,18,51,-0.0878,-0.1213,True,0.8109944273145171
CNS/Brain,RAF1,-0.3384,-0.9454,0.2765,0.29583902434881937,18,51,-0.2128,-0.135,True,0.6436282909245972
CNS/Brain,MAP2K1,0.1634,-0.3461,0.6754,0.49013168974994226,18,51,-0.068,-0.1005,True,0.8109944273145171
CNS/Brain,MAP2K2,0.0201,-0.464,0.4475,0.7172538694468168,18,51,-0.2258,-0.2008,True,0.8109944273145171
CNS/Brain,MAPK1,-0.0209,-0.6907,0.5777,0.8109944273145171,18,51,-0.1888,-0.1459,True,0.8109944273145171
CNS/Brain,MAPK3,0.1522,-0.2822,0.7417,0.5522164942894713,18,51,-0.0975,-0.1135,True,0.8109944273145171
CNS/Brain,SOS1,0.1612,-0.3058,0.6264,0.6768300438651682,18,51,-0.2936,-0.2852,True,0.8109944273145171
CNS/Brain,GRB2,-0.1829,-0.7515,0.3656,0.24820479799142126,18,51,-1.4047,-1.1927,True,0.6436282909245972
CNS/Brain,PTPN11,-0.5851,-1.2125,0.021,0.045287798532339274,18,51,-1.0114,-0.7684,True,0.24153492550580946
CNS/Brain,KRAS,0.5388,0.2249,0.8944,0.03031458787630922,18,51,-0.339,-0.4202,False,0.24153492550580946
CNS/Brain,NRAS,-0.2479,-0.9626,0.3418,0.696934393962997,18,51,-0.1993,-0.1605,False,0.8109944273145171
CNS/Brain,HRAS,0.0622,-0.3477,0.5522,0.8004160554773188,18,51,-0.1369,-0.1414,False,0.8109944273145171
CNS/Brain,NF1,-0.4807,-0.8601,-0.0973,0.11138213114839673,18,51,-0.0542,0.0453,False,0.44552852459358694
CNS/Brain,ARAF,-0.4313,-0.8983,0.0706,0.25957758934455843,18,51,0.0187,0.0582,False,0.6436282909245972
CNS/Brain,SHOC2,-0.4897,-1.1847,0.0124,0.043837966814558295,18,51,-0.4755,-0.2782,False,0.24153492550580946
CNS/Brain,MRAS,-0.2629,-0.8287,0.2671,0.3218141454622986,18,51,-0.0815,-0.0552,False,0.6436282909245972
Peripheral Nervous System,BRAF,0.1293,-0.6488,0.9212,0.685800367269974,8,27,-0.0784,-0.1141,True,0.9539623433557871
Peripheral Nervous System,RAF1,-0.6017,-1.9054,0.1869,0.13241212755705983,8,27,-0.3262,-0.1124,True,0.5394672703746278
Peripheral Nervous System,MAP2K1,0.3073,-0.531,1.0795,0.8624699713033156,8,27,-0.1663,-0.1763,True,0.9539623433557871
Peripheral Nervous System,MAP2K2,0.0937,-0.4694,0.6812,0.9233405082125884,8,27,-0.2353,-0.1996,True,0.9539623433557871
Peripheral Nervous System,MAPK1,-0.5302,-1.5049,0.2563,0.19216912773806058,8,27,-0.2055,-0.0957,True,0.5394672703746278
Peripheral Nervous System,MAPK3,0.6108,-0.297,1.5689,0.3232190762845739,8,27,-0.0769,-0.1281,True,0.6464381525691478
Peripheral Nervous System,SOS1,-0.0816,-0.9812,0.8097,0.9539623433557871,8,27,-0.2412,-0.3338,True,0.9539623433557871
Peripheral Nervous System,GRB2,-0.1832,-0.9889,0.6507,0.7143975438289382,8,27,-1.4176,-1.3172,True,0.9539623433557871
Peripheral Nervous System,PTPN11,-0.0455,-0.7273,0.618,0.9539623433557871,8,27,-0.866,-0.8255,True,0.9539623433557871
Peripheral Nervous System,KRAS,-0.1739,-1.1228,0.7146,0.8928315223348922,8,27,-0.5609,-0.5171,False,0.9539623433557871
Peripheral Nervous System,NRAS,0.4221,0.1528,0.9647,0.20609403029085033,8,27,-0.1267,-0.2106,False,0.5394672703746278
Peripheral Nervous System,HRAS,0.4879,-0.141,1.2136,0.13241212755705983,8,27,-0.0885,-0.1305,False,0.5394672703746278
Peripheral Nervous System,NF1,-0.5341,-1.1739,0.1496,0.07346878077755524,8,27,-0.0474,0.116,False,0.5394672703746278
Peripheral Nervous System,ARAF,-0.213,-1.2819,0.6647,0.47495035227155885,8,27,0.0717,0.1027,False,0.8443561818161046
Peripheral Nervous System,SHOC2,-0.4497,-1.375,0.1501,0.23601693078889968,8,27,-0.5882,-0.2248,False,0.5394672703746278
Peripheral Nervous System,MRAS,-0.4824,-1.2519,0.2225,0.22070885994199485,8,27,-0.1136,-0.0354,False,0.5394672703746278
Uterus,BRAF,1.6048,0.9845,2.7863,0.0008445660619573663,6,21,0.1212,-0.0566,True,0.01351305699131786
Uterus,RAF1,0.49,-0.4209,1.4897,0.4412283368805108,6,21,-0.0383,-0.1107,True,0.8800675652849567
Uterus,MAP2K1,0.6962,0.0545,1.6611,0.07482855308942264,6,21,-0.0755,-0.1849,True,0.39908561647692076
Uterus,MAP2K2,-0.5585,-2.4615,0.7446,0.47615958920306745,6,21,-0.2373,-0.1656,True,0.8800675652849567
Uterus,MAPK1,-0.3762,-1.7339,0.7941,0.3453059018276409,6,21,-0.1861,-0.1103,True,0.8800675652849567
Uterus,MAPK3,-0.0659,-1.1617,0.9505,0.887165974122496,6,21,-0.1198,-0.0802,True,0.9942799229755753
Uterus,SOS1,0.9629,0.4091,1.7153,0.04195804195804195,6,21,-0.1528,-0.2601,True,0.3356643356643356
Uterus,GRB2,0.2889,-0.3151,0.9378,0.7547245025505895,6,21,-0.8331,-0.8782,True,0.9288916954468794
Uterus,PTPN11,0.2073,-0.4942,0.8984,0.628863889733455,6,21,-0.5421,-0.5561,True,0.8931680236028062
Uterus,KRAS,0.1607,-0.4786,0.7303,0.9321374277896018,6,21,-0.563,-0.5459,False,0.9942799229755753
Uterus,NRAS,-0.3353,-1.6675,0.846,1.0,6,21,-0.1593,-0.1857,False,1.0
Uterus,HRAS,-0.2102,-1.2159,0.602,0.5500422283030979,6,21,-0.2655,-0.1833,False,0.8800675652849567
Uterus,NF1,-0.7904,-1.6555,-0.0287,0.15690010472619167,6,21,-0.1165,-0.0176,False,0.6276004189047667
Uterus,ARAF,0.1655,-1.0006,1.355,0.6698760177021047,6,21,0.1149,0.0607,False,0.8931680236028062
Uterus,SHOC2,0.5477,-0.6248,1.7011,0.5124218776392689,6,21,-0.1084,-0.182,False,0.8800675652849567
Uterus,MRAS,0.2649,-0.689,1.5334,0.5124218776392689,6,21,-0.0355,-0.0623,False,0.8800675652849567
Breast,BRAF,-0.0987,-1.817,0.9812,0.822826296510507,5,34,-0.0398,-0.0887,True,0.9802431697168539
Breast,RAF1,-0.6717,-2.3388,0.5635,0.526360947413579,5,34,-0.0565,-0.039,True,0.8872025714130977
Breast,MAP2K1,0.7526,-0.6152,2.3145,0.822826296510507,5,34,-0.1938,-0.1806,True,0.9802431697168539
Breast,MAP2K2,0.113,-1.3291,1.4606,0.9189779716095505,5,34,-0.1626,-0.159,True,0.9802431697168539
Breast,MAPK1,-0.3518,-1.6398,0.805,0.6099517678465046,5,34,-0.3291,-0.1916,True,0.8872025714130977
Breast,MAPK3,-0.7257,-1.7626,-0.0888,0.06657322446796131,5,34,-0.1767,-0.0313,True,0.5325857957436905
Breast,SOS1,-0.2932,-1.7796,0.8304,0.4242727400622137,5,34,-0.3087,-0.1961,True,0.8872025714130977
Breast,GRB2,0.5439,-0.4913,1.5556,0.44872055398371186,5,34,-0.8709,-0.9349,True,0.8872025714130977
Breast,PTPN11,0.4598,-0.5229,1.6633,0.35552846079161865,5,34,-0.6089,-0.7634,True,0.8872025714130977
Breast,KRAS,0.066,-0.7705,0.7087,0.8867352025246762,5,34,-0.4839,-0.4805,False,0.9802431697168539
Breast,NRAS,-0.0393,-0.7765,0.3646,0.526360947413579,5,34,-0.2511,-0.2026,False,0.8872025714130977
Breast,HRAS,-0.8759,-2.0124,-0.1831,0.03456666614561351,5,34,-0.2182,-0.0525,False,0.5325857957436905
Breast,NF1,0.2086,-0.9681,1.6756,0.9837726679831943,5,34,0.0135,0.0227,False,0.9837726679831943
Breast,ARAF,-0.6593,-2.0945,0.3704,0.6099517678465046,5,34,0.0706,0.0586,False,0.8872025714130977
Breast,SHOC2,-0.5277,-1.5261,0.2102,0.4997872366293419,5,34,-0.2048,-0.1844,False,0.8872025714130977
Breast,MRAS,-0.6287,-1.5951,0.2043,0.2749111170163802,5,34,-0.064,-0.0332,False,0.8872025714130977
Bowel,BRAF,0.0919,-0.6747,0.7409,0.9863796233023328,6,37,-0.1936,-0.2219,True,0.9863796233023328
Bowel,RAF1,0.0004,-1.0068,0.7915,0.9319673370782424,6,37,-0.1407,-0.1162,True,0.9863796233023328
Bowel,MAP2K1,0.3929,-0.1158,0.8333,0.6690554870093336,6,37,-0.2005,-0.1608,True,0.8543970995901249
Bowel,MAP2K2,-0.4172,-1.1091,0.1362,0.23312929122404594,6,37,-0.2364,-0.1486,True,0.6216781099307892
Bowel,MAPK1,0.5217,0.0092,1.0098,0.18195790536597176,6,37,-0.1567,-0.2894,True,0.5822652971711096
Bowel,MAPK3,-0.5337,-1.6863,0.4149,0.30958291492070633,6,37,-0.207,-0.0941,True,0.6439304626007912
Bowel,SOS1,-0.1468,-1.6807,1.4217,0.3622108852129451,6,37,-0.0376,-0.2074,True,0.6439304626007912
