gene,cohens_d,p_value,n_lost,n_intact,median_resid_lost,median_resid_intact,fdr,composite_score
CSNK2A3,-0.6471,0.017531942458717944,23,134,-0.0362,0.0211,0.9386686983213505,0.0178
USP9Y,-0.6021,0.004996782304299295,23,134,-0.0431,0.0125,0.9055524643035545,0.0259
KRTAP21-1,-0.602,0.02003369959294032,23,134,-0.0888,0.0028,0.95634250848791,0.0117
RPS2,-0.5921,0.008701441971675676,23,134,-0.2068,0.0247,0.9055524643035545,0.0255
SPRR1A,-0.5786,0.006769866572674785,23,134,-0.0542,0.0787,0.9055524643035545,0.0249
RIT1,-0.5414,7.830910594314202e-05,67,585,-0.0742,0.0099,0.46805352622215984,0.1785
SPRED2,-0.5221,1.7343252917802656e-06,67,585,-0.0872,-0.0024,0.031098186806911943,0.7869
SRRM5,-0.5214,0.00026194413308816675,67,585,-0.0335,0.0055,0.7020527551968607,0.0801
SPRED1,-0.4995,7.310408838687125e-05,67,585,-0.0581,-0.0055,0.46805352622215984,0.1647
SRCAP,-0.4915,0.0028446126142560985,67,585,-0.0936,0.0192,0.9027528056843022,0.0218
NRDC,-0.4827,0.005145153704141958,67,585,-0.0574,0.0175,0.9055524643035545,0.0208
SPRR2F,-0.4807,0.028763027755490816,23,134,-0.059,0.0172,0.9976759412731231,0.0005
SHOC2,-0.4774,0.00010849078626020567,67,585,-0.0991,0.0253,0.4863370721079369,0.1495
EIF1AY,-0.4743,0.05440249221713352,23,134,-0.0707,0.0073,0.9988716805228369,0.0002
GNAI3,-0.472,0.0005403045959646596,67,585,-0.0624,0.0,0.7245155994946247,0.0661
PRKCE,-0.4484,0.006808900306112017,67,585,-0.0213,0.0149,0.9055524643035545,0.0193
CCN3,-0.446,0.0006272789637960841,67,585,-0.0291,0.0,0.7245155994946247,0.0624
GUCA1ANB-GUCA1A,-0.434,0.059577891018755026,23,134,-0.0572,0.0166,0.9988716805228369,0.0002
GRB2,-0.4333,0.0009797244310294742,67,585,-0.2015,0.0265,0.7816447959322184,0.0464
PRPF39,-0.43,0.00024898653294310553,67,585,-0.1038,0.0255,0.7020527551968607,0.0661
OR10T2,-0.4266,0.004040501168920286,61,570,-0.0291,0.0128,0.9055524643035545,0.0184
PRKAR1A,-0.4254,0.004020529576356467,67,585,-0.0761,0.0298,0.9055524643035545,0.0183
WDR70,-0.4232,0.04010299360239174,23,134,-0.1497,0.016,0.9976759412731231,0.0004
INTS4,-0.421,0.034241115931818014,23,134,-0.3437,0.0038,0.9976759412731231,0.0004
RAD51,-0.4192,0.00027407112187708576,67,585,-0.1723,0.0369,0.7020527551968607,0.0644
SH2D6,-0.4159,0.04624870456074187,23,134,-0.0395,0.0055,0.9976759412731231,0.0004
VRK2,-0.4119,0.0045563549152946425,67,585,-0.012,0.0121,0.9055524643035545,0.0177
TIGD1,-0.4106,0.11614514461451274,23,134,-0.0395,0.0073,0.9988716805228369,0.0002
GNAQ,-0.4106,0.0010310794918833778,67,585,-0.0564,0.0176,0.7816447959322184,0.0439
SMG6,-0.4075,0.0013178515017036297,67,585,-0.109,0.0389,0.8352908134049781,0.0319
COMT,-0.4073,0.01839736909943836,67,585,-0.0291,0.0111,0.9386686983213505,0.0112
POM121,-0.406,0.007969848228166515,67,567,-0.0062,0.0218,0.9055524643035545,0.0175
TSGA10IP,-0.4052,0.045172487315814885,23,134,-0.0662,0.0066,0.9976759412731231,0.0004
PRKD3,-0.4038,0.017051480200180807,67,585,-0.0336,0.0005,0.9386686983213505,0.0111
KLHL38,-0.4009,0.0913072922187186,67,585,-0.0088,0.0194,0.9988716805228369,0.0002
SEC24C,-0.3994,0.010419989255904025,67,585,-0.0374,0.0063,0.9055524643035545,0.0172
ANKRD39,-0.3992,0.0005815455780808221,67,585,-0.0537,0.0048,0.7245155994946247,0.0559
EIF2B5,-0.3984,0.0014119032296106102,67,585,-0.065,0.0158,0.8352908134049781,0.0311
ADAM7,-0.3977,0.0006464920858799841,67,585,-0.0336,0.0054,0.7245155994946247,0.0557
HINT1,-0.3937,0.00045055423738210246,67,585,-0.0437,0.0023,0.7245155994946247,0.0551
SOS2,-0.3924,0.003179668333503711,67,585,-0.0312,0.0072,0.9027528056843022,0.0174
OR5AP2,-0.3918,0.0035413602613110612,61,570,-0.0372,-0.0014,0.9055524643035545,0.0169
