gene,cohens_d,p_value,n_lost,n_intact,median_resid_lost,median_resid_intact,fdr,composite_score,uncorr_cohens_d,uncorr_pvalue,uncorr_fdr,uncorr_composite,was_significant,is_significant,lineage_artifact,fdr_change,rank_change
CSNK2A3,-0.6471,0.017531942458717944,23,134,-0.0362,0.0211,0.9386686983213505,0.0178,-0.6338,0.0276932282985454,0.7259755506158161,0.0881,False,False,False,0.21269314770553438,-5
USP9Y,-0.6021,0.004996782304299295,23,134,-0.0431,0.0125,0.9055524643035545,0.0259,-0.6664,0.0016340494043215,0.5221159999823018,0.1881,False,False,False,0.38343646432125267,-1
KRTAP21-1,-0.602,0.02003369959294032,23,134,-0.0888,0.0028,0.95634250848791,0.0117,-0.7562,0.005232834843566,0.5616487887061005,0.1895,False,False,False,0.39469371978180956,2
RPS2,-0.5921,0.008701441971675676,23,134,-0.2068,0.0247,0.9055524643035545,0.0255,-0.5739,0.0129710907241008,0.6780490098953341,0.0968,False,False,False,0.2275034544082204,-3
SPRR1A,-0.5786,0.006769866572674785,23,134,-0.0542,0.0787,0.9055524643035545,0.0249,-0.7281,0.0021029298653488,0.5221159999823018,0.2055,False,False,False,0.38343646432125267,3
RIT1,-0.5414,7.830910594314202e-05,67,585,-0.0742,0.0099,0.46805352622215984,0.1785,-0.6456,3.9817194572558625e-06,0.0713962115880548,0.7401,True,False,True,0.39665731463410503,1
SPRED2,-0.5221,1.7343252917802656e-06,67,585,-0.0872,-0.0024,0.031098186806911943,0.7869,-0.4088,0.000105483252943,0.2446346496580845,0.25,False,True,False,-0.21353646285117256,-39
SRRM5,-0.5214,0.00026194413308816675,67,585,-0.0335,0.0055,0.7020527551968607,0.0801,-0.567,5.331789744400363e-05,0.2111108300848924,0.383,False,False,False,0.4909419251119683,0
SPRED1,-0.4995,7.310408838687125e-05,67,585,-0.0581,-0.0055,0.46805352622215984,0.1647,-0.4459,0.0002814485799651,0.2886674982745565,0.2406,False,False,False,0.17938602794760333,-15
SRCAP,-0.4915,0.0028446126142560985,67,585,-0.0936,0.0192,0.9027528056843022,0.0218,-0.4521,0.0072866259034336,0.6021036362878708,0.0996,False,False,False,0.3006491693964314,-11
NRDC,-0.4827,0.005145153704141958,67,585,-0.0574,0.0175,0.9055524643035545,0.0208,-0.4398,0.0066560318219071,0.5910446511533526,0.1004,False,False,False,0.31450781315020193,-17
SPRR2F,-0.4807,0.028763027755490816,23,134,-0.059,0.0172,0.9976759412731231,0.0005,-0.5575,0.0234428743064496,0.7119858820355325,0.0822,False,False,False,0.2856900592375906,3
SHOC2,-0.4774,0.00010849078626020567,67,585,-0.0991,0.0253,0.4863370721079369,0.1495,-0.485,0.0001304641790176,0.2446346496580845,0.2966,False,False,False,0.2417024224498524,-3
EIF1AY,-0.4743,0.05440249221713352,23,134,-0.0707,0.0073,0.9988716805228369,0.0002,-0.6504,0.0170661806366733,0.6889998584401925,0.1052,False,False,False,0.3098718220826444,10
GNAI3,-0.472,0.0005403045959646596,67,585,-0.0624,0.0,0.7245155994946247,0.0661,-0.427,0.0024076007874152,0.5233633374815786,0.1201,False,False,False,0.20115226201304615,-20
PRKCE,-0.4484,0.006808900306112017,67,585,-0.0213,0.0149,0.9055524643035545,0.0193,-0.4057,0.0086585152946234,0.6451632751223236,0.0772,False,False,False,0.2603891891812309,-31
CCN3,-0.446,0.0006272789637960841,67,585,-0.0291,0.0,0.7245155994946247,0.0624,-0.4491,0.0009537798666593,0.5031518987318858,0.134,False,False,False,0.22136370076273892,-6
GUCA1ANB-GUCA1A,-0.434,0.059577891018755026,23,134,-0.0572,0.0166,0.9988716805228369,0.0002,-0.535,0.0195101562640888,0.6967120484934631,0.084,False,False,False,0.3021596320293738,8
GRB2,-0.4333,0.0009797244310294742,67,585,-0.2015,0.0265,0.7816447959322184,0.0464,-0.4181,0.0018319704024833,0.5221159999823018,0.118,False,False,False,0.2595287959499165,-20
PRPF39,-0.43,0.00024898653294310553,67,585,-0.1038,0.0255,0.7020527551968607,0.0661,-0.3664,0.001819248966104,0.5221159999823018,0.1034,False,False,False,0.17993675521455887,-59
OR10T2,-0.4266,0.004040501168920286,61,570,-0.0291,0.0128,0.9055524643035545,0.0184,-0.5089,0.0005842553494479,0.4029339488827335,0.2009,False,False,False,0.502618515420821,8
PRKAR1A,-0.4254,0.004020529576356467,67,585,-0.0761,0.0298,0.9055524643035545,0.0183,-0.4889,0.0057897378597921,0.58323477283108,0.1145,False,False,False,0.32231769147247447,7
WDR70,-0.4232,0.04010299360239174,23,134,-0.1497,0.016,0.9976759412731231,0.0004,-0.4275,0.0441181178741898,0.7645918294910587,0.0498,False,False,False,0.23308411178206434,-10
INTS4,-0.421,0.034241115931818014,23,134,-0.3437,0.0038,0.9976759412731231,0.0004,-0.5099,0.0243699282122621,0.7126925617183667,0.075,False,False,False,0.2849833795547564,12
RAD51,-0.4192,0.00027407112187708576,67,585,-0.1723,0.0369,0.7020527551968607,0.0644,-0.4022,0.0003136846885285,0.2960357973687008,0.2126,False,False,False,0.40601695782815994,-26
SH2D6,-0.4159,0.04624870456074187,23,134,-0.0395,0.0055,0.9976759412731231,0.0004,-0.3185,0.1138586201495006,0.872350593327926,0.0189,False,False,False,0.12532534794519712,-169
VRK2,-0.4119,0.0045563549152946425,67,585,-0.012,0.0121,0.9055524643035545,0.0177,-0.3418,0.0233818215842425,0.7119858820355325,0.0504,False,False,False,0.19356658226802204,-103
TIGD1,-0.4106,0.11614514461451274,23,134,-0.0395,0.0073,0.9988716805228369,0.0002,-0.4839,0.0294966786113635,0.7265651525977933,0.0671,False,False,False,0.2723065279250436,11
GNAQ,-0.4106,0.0010310794918833778,67,585,-0.0564,0.0176,0.7816447959322184,0.0439,-0.3261,0.0063859704296272,0.5910446511533526,0.0745,False,False,False,0.19060014477886578,-149
SMG6,-0.4075,0.0013178515017036297,67,585,-0.109,0.0389,0.8352908134049781,0.0319,-0.4399,0.0003719562321573,0.3175974856577493,0.2191,False,False,False,0.5176933277472289,3
COMT,-0.4073,0.01839736909943836,67,585,-0.0291,0.0111,0.9386686983213505,0.0112,-0.4698,0.0029878539330887,0.5559311675252981,0.1198,False,False,False,0.3827375307960523,13
POM121,-0.406,0.007969848228166515,67,567,-0.0062,0.0218,0.9055524643035545,0.0175,-0.311,0.0455510550170452,0.7699766263888559,0.0353,False,False,False,0.13557583791469863,-191
TSGA10IP,-0.4052,0.045172487315814885,23,134,-0.0662,0.0066,0.9976759412731231,0.0004,-0.3555,0.1127281743829762,0.8695492064204181,0.0216,False,False,False,0.12812673485270498,-62
PRKD3,-0.4038,0.017051480200180807,67,585,-0.0336,0.0005,0.9386686983213505,0.0111,-0.405,0.0238883089338872,0.7119858820355325,0.0597,False,False,False,0.226682816285818,-14
KLHL38,-0.4009,0.0913072922187186,67,585,-0.0088,0.0194,0.9988716805228369,0.0002,-0.3712,0.1845071181757066,0.8990645357508448,0.0172,False,False,False,0.09980714477199215,-39
SEC24C,-0.3994,0.010419989255904025,67,585,-0.0374,0.0063,0.9055524643035545,0.0172,-0.4407,0.0062807358340814,0.5910446511533526,0.1006,False,False,False,0.31450781315020193,10
ANKRD39,-0.3992,0.0005815455780808221,67,585,-0.0537,0.0048,0.7245155994946247,0.0559,-0.3654,0.0021978419619459,0.5221159999823018,0.1031,False,False,False,0.2023995995123229,-43
EIF2B5,-0.3984,0.0014119032296106102,67,585,-0.065,0.0158,0.8352908134049781,0.0311,-0.4548,0.0001891056812377,0.2446346496580845,0.2781,False,False,False,0.5906561637468937,18
ADAM7,-0.3977,0.0006464920858799841,67,585,-0.0336,0.0054,0.7245155994946247,0.0557,-0.4163,0.0002119053107587,0.2446346496580845,0.2546,False,False,False,0.4798809498365402,-1
HINT1,-0.3937,0.00045055423738210246,67,585,-0.0437,0.0023,0.7245155994946247,0.0551,-0.3958,0.000462293056083,0.3767898540284046,0.1678,False,False,False,0.34772574546622015,-16
SOS2,-0.3924,0.003179668333503711,67,585,-0.0312,0.0072,0.9027528056843022,0.0174,-0.435,0.0014355147741469,0.5148043083045757,0.1254,False,False,False,0.3879484973797265,12
OR5AP2,-0.3918,0.0035413602613110612,61,570,-0.0372,-0.0014,0.9055524643035545,0.0169,-0.3259,0.0117017472916485,0.6780490098953341,0.055,False,False,False,0.2275034544082204,-137
PTPN11,-0.3915,0.001480330995402916,67,585,-0.1092,0.003,0.8352908134049781,0.0306,-0.3892,0.0032436679405577,0.5559311675252981,0.0992,False,False,False,0.27935964587968,-18
DHTKD1,-0.3909,0.010923466409999768,67,585,-0.0281,-0.0018,0.9055524643035545,0.0168,-0.4274,0.005037127020451,0.5616487887061005,0.1071,False,False,False,0.34390367559745405,10
PF4,-0.3891,0.0029893383391231608,61,570,-0.0339,0.0038,0.9027528056843022,0.0173,-0.4024,0.0024803115088247,0.5233633374815786,0.1132,False,False,False,0.37938946820272357,-5
IYD,-0.3889,0.0013853580936901908,67,585,-0.0373,0.0081,0.8352908134049781,0.0304,-0.4015,0.0009702156695912,0.5031518987318858,0.1198,False,False,False,0.3321389146730923,-6
LIMK2,-0.3879,0.022639567981949257,67,585,-0.0149,0.0047,0.984041069643297,0.0027,-0.41,0.0105438872593311,0.6780490098953341,0.0692,False,False,False,0.30599205974796284,2
PHPT1,-0.3879,0.0004031781466371555,67,585,-0.0333,0.0045,0.7245155994946247,0.0543,-0.411,0.0001552967936384,0.2446346496580845,0.2513,False,False,False,0.4798809498365402,3
