cancer_type,gene,cohens_d,p_value,n_lost,n_intact,median_dep_lost,median_dep_intact,fdr,composite_score,gene_set
Pan-cancer (RAS-excluded),KRTAP21-1,-0.7562,0.005232834843566006,23,134,-0.3415,-0.2392,0.5616487887061005,0.1895,
Pan-cancer (RAS-excluded),SPRR1A,-0.7281,0.0021029298653488875,23,134,-0.2886,-0.0724,0.5221159999823018,0.2055,
Pan-cancer (RAS-excluded),USP9Y,-0.6664,0.0016340494043215147,23,134,0.3824,0.4431,0.5221159999823018,0.1881,
Pan-cancer (RAS-excluded),EIF1AY,-0.6504,0.017066180636673315,23,134,-0.2623,-0.1753,0.6889998584401925,0.1052,
Pan-cancer (RAS-excluded),RIT1,-0.6456,3.9817194572558625e-06,67,585,-0.2727,-0.1774,0.07139621158805487,0.7401,
Pan-cancer (RAS-excluded),CSNK2A3,-0.6338,0.02769322829854544,23,134,-0.0863,-0.0134,0.7259755506158161,0.0881,
Pan-cancer (RAS-excluded),RPS2,-0.5739,0.012971090724100865,23,134,-2.1008,-1.8378,0.6780490098953341,0.0968,
Pan-cancer (RAS-excluded),SRRM5,-0.567,5.331789744400363e-05,67,585,-0.0304,0.0198,0.21111083008489243,0.383,
Pan-cancer (RAS-excluded),SPRR2F,-0.5575,0.023442874306449632,23,134,-0.047,0.0698,0.7119858820355325,0.0822,
Pan-cancer (RAS-excluded),GUCA1ANB-GUCA1A,-0.535,0.0195101562640888,23,134,0.0534,0.1312,0.6967120484934631,0.084,
Pan-cancer (RAS-excluded),ARL16,-0.532,0.0037724566039530737,23,134,-0.1788,-0.047,0.5559311675252981,0.1356,
Pan-cancer (RAS-excluded),INTS4,-0.5099,0.02436992821226217,23,134,-1.9684,-1.7627,0.7126925617183667,0.075,
Pan-cancer (RAS-excluded),OR10T2,-0.5089,0.0005842553494479432,61,570,-0.2011,-0.1585,0.4029339488827335,0.2009,
Pan-cancer (RAS-excluded),SPRR1B,-0.4933,0.0784426244577947,23,134,-0.485,-0.4078,0.8244752046616158,0.0413,
Pan-cancer (RAS-excluded),PRKAR1A,-0.4889,0.005789737859792105,67,585,-0.2448,-0.1259,0.58323477283108,0.1145,
Pan-cancer (RAS-excluded),SHOC2,-0.485,0.00013046417901769553,67,585,-0.2877,-0.1775,0.24463464965808454,0.2966,
Pan-cancer (RAS-excluded),TIGD1,-0.4839,0.02949667861136358,23,134,-0.199,-0.1671,0.7265651525977933,0.0671,
Pan-cancer (RAS-excluded),COMT,-0.4698,0.002987853933088782,67,585,-0.2316,-0.1806,0.5559311675252981,0.1198,
Pan-cancer (RAS-excluded),RPL36A,-0.4665,0.037300009369818025,23,134,-1.6097,-1.5107,0.7508127998614137,0.0581,
Pan-cancer (RAS-excluded),EIF2B5,-0.4548,0.00018910568123777944,67,585,-1.0982,-1.0111,0.24463464965808454,0.2781,
Pan-cancer (RAS-excluded),SRCAP,-0.4521,0.0072866259034336045,67,585,-1.0383,-0.9244,0.6021036362878708,0.0996,
Pan-cancer (RAS-excluded),CALHM6,-0.4502,0.00021828979948298213,67,585,0.0197,0.0599,0.24463464965808454,0.2753,
Pan-cancer (RAS-excluded),CCN3,-0.4491,0.0009537798666593466,67,585,0.0092,0.0299,0.5031518987318858,0.134,
Pan-cancer (RAS-excluded),SPRED1,-0.4459,0.0002814485799651807,67,585,0.1231,0.1784,0.2886674982745565,0.2406,
Pan-cancer (RAS-excluded),COL26A1,-0.4459,0.11614627603660463,23,134,-0.0041,0.0193,0.8725296869685283,0.0264,
Pan-cancer (RAS-excluded),SEC24C,-0.4407,0.006280735834081491,67,585,-0.0648,-0.0288,0.5910446511533526,0.1006,
Pan-cancer (RAS-excluded),SMG6,-0.4399,0.0003719562321573106,67,585,-1.2043,-1.0082,0.3175974856577493,0.2191,
Pan-cancer (RAS-excluded),NRDC,-0.4398,0.006656031821907186,67,585,-0.2897,-0.2441,0.5910446511533526,0.1004,
