gene,d_unstratified,fdr_unstratified,cs_unstratified,d_tp53mut,fdr_tp53mut,n_lost_tp53mut,n_intact_tp53mut,d_tp53wt,fdr_tp53wt,n_lost_tp53wt,n_intact_tp53wt,confounding_class
CHEK1,-0.2415,0.8396256308390059,0.0183,-0.1973,0.9999689672426924,52,376,-0.2617,0.9563843618113319,15,209,not significant
CDK2,-0.15,0.9354612676893624,0.0043,-0.0855,0.9999689672426924,52,376,-0.2372,0.9640694767018199,15,209,not significant
CDK6,-0.1253,0.9179596791089212,0.0047,-0.1063,0.9999689672426924,52,376,-0.2088,0.9640694767018199,15,209,not significant
RB1,-0.0732,0.9215965608352348,0.0026,-0.1234,0.9999689672426924,52,376,0.11,0.9944362529877536,15,209,not significant
WEE1,-0.0514,0.9841370715577772,0.0004,-0.1233,0.9999689672426924,52,376,0.2947,0.9157113964247774,15,209,not significant
ATR,-0.0247,0.9823944221865752,0.0002,0.0018,0.9999689672426924,52,376,-0.0584,0.9640694767018199,15,209,not significant
SUZ12,-0.0016,0.9975610407095122,0.0,-0.0485,0.9999689672426924,52,376,0.0303,0.9842698268024307,15,209,not significant
CCND1,0.023,0.9984922868374604,0.0,0.0153,0.9999689672426924,52,376,-0.0215,0.9927822637482384,15,209,not significant
CDK4,0.0766,0.9944547156000132,0.0002,0.054,0.9999689672426924,52,376,0.029,0.9703613658207801,15,209,not significant
DOT1L,0.0969,0.9773106863644524,0.001,0.0786,0.9999689672426924,52,376,0.1692,0.9679531740719629,15,209,not significant
EED,0.1009,0.9823944221865752,0.0008,-0.0077,0.9999689672426924,52,376,0.3304,0.9123905885441145,15,209,not significant
BRD4,0.1072,0.9580342868454704,0.002,0.2999,0.9999689672426924,52,376,-0.3186,0.9288241064541364,15,209,not significant
EZH2,0.1148,0.9886201045012536,0.0006,0.0648,0.9999689672426924,52,376,0.142,0.9741047635699424,15,209,not significant
PARP1,0.1272,0.9024949901071614,0.0057,0.096,0.9999689672426924,52,376,0.0831,0.9640694767018199,15,209,not significant
