gene,d_unstratified,fdr_unstratified,cs_unstratified,d_tp53mut,fdr_tp53mut,n_lost_tp53mut,n_intact_tp53mut,d_tp53wt,fdr_tp53wt,n_lost_tp53wt,n_intact_tp53wt,confounding_class
KRTAP21-1,-0.7562,0.5616487887061005,0.1895,-0.6609,0.9999689672426924,18,104,-1.0878,0.8565507742402518,5,30,not significant
SPRR1A,-0.7281,0.5221159999823018,0.2055,-0.6786,0.9999689672426924,18,104,-0.8838,0.8801446036990509,5,30,not significant
USP9Y,-0.6664,0.5221159999823018,0.1881,-0.75,0.9085634321589086,18,104,-0.3852,0.9640694767018199,5,30,not significant
EIF1AY,-0.6504,0.6889998584401925,0.1052,-0.7403,0.9999689672426924,18,104,-0.4228,0.9677476630852331,5,30,not significant
RIT1,-0.6456,0.0713962115880548,0.7401,-0.6308,0.22649533897796578,52,376,-0.6524,0.8565507742402518,15,209,TP53-confounded
CSNK2A3,-0.6338,0.7259755506158161,0.0881,-0.8962,0.9958368092609757,18,104,0.2787,0.9677476630852331,5,30,not significant
RPS2,-0.5739,0.6780490098953341,0.0968,-0.3919,0.9999689672426924,18,104,-1.2402,0.8565507742402518,5,30,not significant
SRRM5,-0.567,0.2111108300848924,0.383,-0.5338,0.7372021608639074,52,376,-0.6231,0.868747161923697,15,209,not significant
SPRR2F,-0.5575,0.7119858820355325,0.0822,-0.4168,0.9999689672426924,18,104,-0.9389,0.8646953223146893,5,30,not significant
GUCA1ANB-GUCA1A,-0.535,0.6967120484934631,0.084,-0.5223,0.9999689672426924,18,104,-0.5704,0.9223534475430548,5,30,not significant
ARL16,-0.532,0.5559311675252981,0.1356,-0.4815,0.9999689672426924,18,104,-0.7004,0.8801446036990509,5,30,not significant
INTS4,-0.5099,0.7126925617183667,0.075,-0.5064,0.9999689672426924,18,104,-0.5124,0.9388408184633097,5,30,not significant
OR10T2,-0.5089,0.4029339488827335,0.2009,-0.6131,0.8423907956171233,48,364,-0.2559,0.9503931024834732,13,206,not significant
SPRR1B,-0.4933,0.8244752046616158,0.0413,-0.3949,0.9999689672426924,18,104,-0.8149,0.9106963475350999,5,30,not significant
PRKAR1A,-0.4889,0.58323477283108,0.1145,-0.5254,0.9999689672426924,52,376,-0.3693,0.9551610661689525,15,209,not significant
SHOC2,-0.485,0.2446346496580845,0.2966,-0.6063,0.22649533897796578,52,376,-0.2431,0.9758989096408398,15,209,not significant
TIGD1,-0.4839,0.7265651525977933,0.0671,-0.5417,0.9999689672426924,18,104,-0.3279,0.9640694767018199,5,30,not significant
COMT,-0.4698,0.5559311675252981,0.1198,-0.4676,0.9999689672426924,52,376,-0.4054,0.8990744118498754,15,209,not significant
RPL36A,-0.4665,0.7508127998614137,0.0581,-0.3336,0.9999689672426924,18,104,-0.8289,0.8565507742402518,5,30,not significant
EIF2B5,-0.4548,0.2446346496580845,0.2781,-0.3977,0.9085634321589086,52,376,-0.5226,0.868747161923697,15,209,not significant
SRCAP,-0.4521,0.6021036362878708,0.0996,-0.4017,0.9999689672426924,52,376,-0.7116,0.8565507742402518,15,209,not significant
