cancer_type,gene,cohens_d,p_value,n_lost,n_intact,median_dep_lost,median_dep_intact,fdr,composite_score
"Pan-cancer (RAS-excl, TP53-mut)",A1BG,0.2289,0.10727902967499657,52,376,0.0133,0.0029,0.9999689672426924,0.0
"Pan-cancer (RAS-excl, TP53-mut)",A1CF,0.0195,0.9995228263839593,52,376,-0.0171,-0.0246,0.9999689672426924,0.0
"Pan-cancer (RAS-excl, TP53-mut)",A2M,-0.0039,0.6567895449289181,52,376,0.0137,0.0006,0.9999689672426924,0.0
"Pan-cancer (RAS-excl, TP53-mut)",A2ML1,0.0512,0.8356015722448233,52,376,0.0878,0.0879,0.9999689672426924,0.0
"Pan-cancer (RAS-excl, TP53-mut)",A3GALT2,-0.1135,0.5776756115042987,52,376,-0.0917,-0.0855,0.9999689672426924,0.0
"Pan-cancer (RAS-excl, TP53-mut)",A4GALT,-0.0491,0.6344673057720247,52,376,-0.0611,-0.0455,0.9999689672426924,0.0
"Pan-cancer (RAS-excl, TP53-mut)",A4GNT,-0.1609,0.34014068411893994,52,376,0.0564,0.0692,0.9999689672426924,0.0
"Pan-cancer (RAS-excl, TP53-mut)",AAAS,-0.135,0.30336624079055496,52,376,-0.3042,-0.2629,0.9999689672426924,0.0
"Pan-cancer (RAS-excl, TP53-mut)",AACS,-0.0177,0.9175960007847447,52,376,0.0572,0.0514,0.9999689672426924,0.0
"Pan-cancer (RAS-excl, TP53-mut)",AADAC,-0.1466,0.271936011275952,52,376,0.1012,0.1126,0.9999689672426924,0.0
"Pan-cancer (RAS-excl, TP53-mut)",AADACL2,0.0683,0.5249553342686224,52,376,0.047,0.0494,0.9999689672426924,0.0
"Pan-cancer (RAS-excl, TP53-mut)",AADACL3,0.1057,0.2830481786426715,52,376,0.0393,0.0148,0.9999689672426924,0.0
"Pan-cancer (RAS-excl, TP53-mut)",AADACL4,-0.0632,0.7174870483485076,52,376,0.0755,0.0756,0.9999689672426924,0.0
