cancer_type,gene,cohens_d,p_value,n_lost,n_intact,median_dep_lost,median_dep_intact,fdr,composite_score
"Pan-cancer (RAS-excl, TP53-WT)",A1BG,-0.4939,0.1420082562095668,15,209,-0.0465,-0.0225,0.9020014318433378,0.0221
"Pan-cancer (RAS-excl, TP53-WT)",A1CF,0.2823,0.6921341947549968,15,209,-0.0152,-0.0069,0.9842698268024307,0.0019
"Pan-cancer (RAS-excl, TP53-WT)",A2M,0.3166,0.46033138781087635,15,209,0.0291,0.0301,0.9640694767018199,0.005
"Pan-cancer (RAS-excl, TP53-WT)",A2ML1,0.0793,0.8333913948218026,15,209,0.1003,0.1033,0.9931994636270295,0.0002
"Pan-cancer (RAS-excl, TP53-WT)",A3GALT2,-0.5505,0.0803212078643242,15,209,-0.1467,-0.0734,0.8801446036990509,0.0305
"Pan-cancer (RAS-excl, TP53-WT)",A4GALT,0.2507,0.32424276483852454,15,209,-0.0044,-0.055,0.9503931024834732,0.0055
"Pan-cancer (RAS-excl, TP53-WT)",A4GNT,-0.6177,0.055119444169633026,15,209,0.0346,0.0665,0.8646953223146893,0.039
"Pan-cancer (RAS-excl, TP53-WT)",AAAS,0.0089,0.7258959642031233,15,209,-0.2514,-0.2873,0.9863389484109085,0.0001
"Pan-cancer (RAS-excl, TP53-WT)",AACS,-0.4502,0.15474110741867486,15,209,-0.0205,0.0159,0.9106963475350999,0.0183
"Pan-cancer (RAS-excl, TP53-WT)",AADAC,0.1821,0.5525517786730435,15,209,0.1233,0.1207,0.9679531740719629,0.0026
"Pan-cancer (RAS-excl, TP53-WT)",AADACL2,-0.2769,0.24645240458758877,15,209,0.0151,0.0542,0.9283903501386669,0.0089
"Pan-cancer (RAS-excl, TP53-WT)",AADACL3,0.2347,0.24983094447762533,15,209,0.0713,0.0258,0.9288241064541364,0.0075
"Pan-cancer (RAS-excl, TP53-WT)",AADACL4,0.7306,0.008709838696938756,15,209,0.1258,0.0621,0.8565507742402518,0.0491
"Pan-cancer (RAS-excl, TP53-WT)",AADAT,-0.4251,0.2743868345497664,15,209,-0.0586,-0.0332,0.9388408184633097,0.0117
"Pan-cancer (RAS-excl, TP53-WT)",AAGAB,0.2129,0.5720271194831725,15,209,0.0436,0.0336,0.9702060423243253,0.0028
"Pan-cancer (RAS-excl, TP53-WT)",AAK1,-0.3493,0.16705245830095283,15,209,-0.195,-0.1887,0.9122216046183111,0.0139
"Pan-cancer (RAS-excl, TP53-WT)",AAMDC,0.1423,0.5720271194831725,15,209,-0.0316,-0.0378,0.9702060423243253,0.0019
"Pan-cancer (RAS-excl, TP53-WT)",AAMP,0.2188,0.33653756522997946,15,209,-0.8973,-0.9808,0.9503931024834732,0.0048
"Pan-cancer (RAS-excl, TP53-WT)",AANAT,-0.2875,0.42361224837855316,15,209,-0.1399,-0.1371,0.9616142835391615,0.0049
"Pan-cancer (RAS-excl, TP53-WT)",AAR2,0.3032,0.22057420875708322,15,209,-0.005,-0.0204,0.9223534475430548,0.0106
"Pan-cancer (RAS-excl, TP53-WT)",AARD,-0.1573,0.9276984396617728,15,209,-0.1958,-0.2145,0.996174931068703,0.0003
"Pan-cancer (RAS-excl, TP53-WT)",AARS1,-0.1341,0.5388429350422713,15,209,-2.2864,-2.2296,0.9677476630852331,0.0019
"Pan-cancer (RAS-excl, TP53-WT)",AARS2,0.0163,0.8430605302067037,15,209,-0.5184,-0.5289,0.9941566136505036,0.0
"Pan-cancer (RAS-excl, TP53-WT)",AARSD1,0.1219,0.6441143982172998,15,209,-0.1992,-0.2305,0.9788319120419409,0.0011
"Pan-cancer (RAS-excl, TP53-WT)",AASDH,0.168,0.5092961159087726,15,209,-0.0529,-0.0767,0.9677476630852331,0.0024
"Pan-cancer (RAS-excl, TP53-WT)",AASDHPPT,0.3755,0.16832297576293376,15,209,-0.216,-0.3433,0.9122216046183111,0.015
"Pan-cancer (RAS-excl, TP53-WT)",AASS,-0.2231,0.46284105606700254,15,209,0.0534,0.0625,0.9640694767018199,0.0035
"Pan-cancer (RAS-excl, TP53-WT)",AATF,0.0192,0.7074094631766512,15,209,-0.6957,-0.7847,0.9851186467217348,0.0001
"Pan-cancer (RAS-excl, TP53-WT)",AATK,-0.3599,0.46788320638601366,15,209,-0.1272,-0.1324,0.9640694767018199,0.0057
"Pan-cancer (RAS-excl, TP53-WT)",ABAT,-0.4749,0.21594735766331707,15,209,-0.0598,-0.0506,0.9212535710461873,0.0169
"Pan-cancer (RAS-excl, TP53-WT)",ABCA1,-0.0369,0.6800031605471167,15,209,-0.0204,-0.0055,0.9826834841852312,0.0003
"Pan-cancer (RAS-excl, TP53-WT)",ABCA10,-0.2556,0.36201408765178744,15,209,0.1011,0.1124,0.9551610661689525,0.0051
"Pan-cancer (RAS-excl, TP53-WT)",ABCA12,0.395,0.11417162938393531,15,209,0.0193,-0.037,0.9015952170117766,0.0178
"Pan-cancer (RAS-excl, TP53-WT)",ABCA13,0.0902,0.9145991443877283,15,209,-0.0071,0.0103,0.9960326303077046,0.0002
"Pan-cancer (RAS-excl, TP53-WT)",ABCA2,-0.2609,0.6032740051782046,15,209,0.0078,-0.0125,0.9741810326774484,0.003
"Pan-cancer (RAS-excl, TP53-WT)",ABCA3,-0.644,0.03435214555446493,15,209,-0.0958,0.0198,0.8565507742402518,0.0433
"Pan-cancer (RAS-excl, TP53-WT)",ABCA4,-0.1438,0.6148238361760869,15,209,-0.1409,-0.125,0.9758989096408398,0.0015
"Pan-cancer (RAS-excl, TP53-WT)",ABCA5,0.1498,0.9113278010577496,15,209,0.0048,0.0025,0.9960326303077046,0.0003
"Pan-cancer (RAS-excl, TP53-WT)",ABCA6,-0.4246,0.022554527385610403,15,209,0.0305,0.1102,0.8565507742402518,0.0286
"Pan-cancer (RAS-excl, TP53-WT)",ABCA7,-0.5268,0.04772574563715288,15,209,0.0107,0.0611,0.8565507742402518,0.0354
"Pan-cancer (RAS-excl, TP53-WT)",ABCA8,0.0462,0.8624685189741541,15,209,-0.0495,-0.0288,0.9944362529877536,0.0001
"Pan-cancer (RAS-excl, TP53-WT)",ABCA9,-0.1092,0.8722045034152252,15,209,0.0743,0.0757,0.9944362529877536,0.0003
"Pan-cancer (RAS-excl, TP53-WT)",ABCB1,0.3828,0.42122680225552733,15,209,-0.0604,-0.0915,0.9616142835391615,0.0065
"Pan-cancer (RAS-excl, TP53-WT)",ABCB10,0.0658,0.901523004310438,15,209,-0.2065,-0.1659,0.995780583463989,0.0001
"Pan-cancer (RAS-excl, TP53-WT)",ABCB11,-0.3564,0.13326503507914841,15,209,-0.0501,-0.0054,0.9015952170117766,0.016
"Pan-cancer (RAS-excl, TP53-WT)",ABCB4,0.1042,0.25668477052972216,15,209,0.0739,0.0073,0.9311378960891055,0.0032
"Pan-cancer (RAS-excl, TP53-WT)",ABCB5,0.0893,0.7759532290701824,15,209,-0.0346,-0.0168,0.9894254811684868,0.0004
"Pan-cancer (RAS-excl, TP53-WT)",ABCB6,-0.3645,0.31621082995570216,15,209,-0.0375,-0.0025,0.9503931024834732,0.0081
"Pan-cancer (RAS-excl, TP53-WT)",ABCB7,0.1432,0.6769831498878055,15,209,-1.0902,-1.0669,0.9823569523863591,0.0011
"Pan-cancer (RAS-excl, TP53-WT)",ABCB8,-0.0815,0.7197154077516816,15,209,0.04,0.0643,0.9859589713801973,0.0005
"Pan-cancer (RAS-excl, TP53-WT)",ABCB9,0.2703,0.18826010663574644,15,209,-0.0136,-0.0599,0.9157113964247774,0.0103
"Pan-cancer (RAS-excl, TP53-WT)",ABCC1,-0.3051,0.2725799992194863,15,209,0.0069,0.0355,0.9388408184633097,0.0084
"Pan-cancer (RAS-excl, TP53-WT)",ABCC10,0.0447,0.8559893552079181,15,209,-0.0972,-0.1111,0.9944362529877536,0.0001
"Pan-cancer (RAS-excl, TP53-WT)",ABCC11,0.043,0.7104789396439133,15,209,0.0912,0.0775,0.9851186467217348,0.0003
"Pan-cancer (RAS-excl, TP53-WT)",ABCC12,0.4301,0.043703485445086954,15,209,0.0861,0.0395,0.8565507742402518,0.0289
"Pan-cancer (RAS-excl, TP53-WT)",ABCC2,0.3563,0.07890510153780525,15,209,0.0226,-0.0291,0.8801446036990509,0.0198
"Pan-cancer (RAS-excl, TP53-WT)",ABCC3,0.1327,0.7289929782047699,15,209,-0.08,-0.0862,0.9863389484109085,0.0008
"Pan-cancer (RAS-excl, TP53-WT)",ABCC4,-0.249,0.3663747571358774,15,209,0.1354,0.1687,0.9563633211883463,0.0048
