compound,broad_id,cohens_d,p_value,n_lost,n_intact,median_sensitivity_lost,median_sensitivity_intact,fdr
L-689560,BRD-K74284736-001-04-9,-0.435,0.0005209146440399396,64,556,-0.1809,-0.0479,0.6409118830198406
bamaquimast,BRD-K00003411-001-01-9,-0.4089,0.0008455301886805285,64,554,-0.1532,0.0128,0.6409118830198406
KAF-156,BRD-K00004578-001-01-9,-0.383,0.038679931695877065,64,557,-0.1521,-0.0451,0.9275472926169483
CCG-1423,BRD-A79726147-001-02-9,-0.3806,0.001980099586720903,64,556,0.1752,0.3754,0.7504577433672223
pyrethrins,BRD-K00010129-001-01-9,-0.3717,0.01401903824442786,64,554,-0.1391,0.012,0.9275472926169483
NB-001,BRD-K00004647-001-01-9,-0.3524,0.02034198162859062,64,554,0.0334,0.1094,0.9275472926169483
nifedipine,BRD-K96354014-001-29-4,-0.3483,0.012012564123602458,64,556,-0.4214,-0.2168,0.9275472926169483
Etelcalcetide (hydrochloride),BRD-K00078514-003-02-9,-0.3245,0.03461639968337344,63,545,-0.0614,-0.0061,0.9275472926169483
AB-423,BRD-K00003109-001-01-9,-0.3225,0.08917886659758764,64,557,-0.0917,-0.0218,0.9275472926169483
lylamine,BRD-K62289640-003-05-9,-0.3206,0.1041058511905947,64,556,-0.3793,-0.2814,0.9275472926169483
GDC-0927,BRD-K00003101-001-02-9,-0.3202,0.0037476648906168805,64,556,-0.1618,-0.0102,0.8342433616983875
TY-52156,BRD-K66584608-001-03-9,-0.3148,0.037395788209934486,64,556,-0.5909,-0.3875,0.9275472926169483
amcasertib,BRD-K00003244-001-01-9,-0.3141,0.09723123532967073,64,556,-0.4325,-0.3716,0.9275472926169483
PZ-2891,BRD-K00005336-001-01-9,-0.3095,0.1277120534561425,64,557,0.0813,0.1045,0.9275472926169483
SAG,BRD-K99433989-001-02-9,-0.3023,0.11848728187464794,64,556,-0.0441,-0.0129,0.9275472926169483
nelotanserin,BRD-K00003466-001-01-9,-0.2988,0.12108704213904894,64,554,0.0231,0.0872,0.9275472926169483
atorvastatin,BRD-K69726342-238-05-9,-0.2982,0.03202852765475443,64,556,-0.1285,-0.0053,0.9275472926169483
DSM265,BRD-K35498911-001-02-9,-0.2949,0.03511566411083026,64,554,-0.0852,0.0706,0.9275472926169483
firsocostat,BRD-K00003236-001-01-9,-0.2938,0.014339339639984704,64,557,-4.5668,-3.377,0.9275472926169483
cefmetazole,BRD-K48470486-236-11-6,-0.293,0.17778011686722128,64,554,-0.0159,0.0922,0.9487690209253847
NKY-80,BRD-A75015151-001-08-9,-0.2921,0.038903655496975914,64,556,0.0663,0.2231,0.9275472926169483
YL0919,BRD-K00003390-003-01-9,-0.2914,0.009097734585547057,64,554,-0.2687,-0.1035,0.9275472926169483
Elenbecestat,BRD-K00091278-001-01-9,-0.2908,0.029634852096835914,63,545,0.1228,0.2207,0.9275472926169483
sodium-nitroprusside,BRD-K00003606-380-01-9,-0.2879,0.03460611047497408,64,554,-0.246,-0.1618,0.9275472926169483
GLPG1837,BRD-K00003095-001-01-9,-0.2871,0.01824011392279304,64,556,-0.1408,0.0097,0.9275472926169483
AM211,BRD-K00003152-001-01-9,-0.2813,0.18872945706895983,64,554,0.0513,0.1056,0.9487690209253847
sultopride,BRD-K00003312-003-01-9,-0.2798,0.026723353168962957,64,556,0.2113,0.3064,0.9275472926169483
PF-8380,BRD-K50865540-001-02-3,-0.2798,0.01506908879357706,64,556,-0.1555,0.0235,0.9275472926169483
F-16915,BRD-K00003299-001-01-9,-0.2734,0.057415337742992636,64,556,-0.0607,0.1698,0.9275472926169483
CFI-402257,BRD-K00003409-001-01-9,-0.2709,0.04855885231322179,64,554,-2.334,-1.9816,0.9275472926169483
6-aminopenicillanic-acid,BRD-K30284967-001-02-9,-0.269,0.2043549716809583,64,554,0.0036,0.0304,0.9487690209253847
A-1120,BRD-K59060513-001-02-5,-0.2679,0.0271301674386533,64,556,-0.0635,0.0244,0.9275472926169483
ITX5061,BRD-K76911699-003-03-9,-0.2666,0.09787848661570879,64,554,-0.1141,-0.044,0.9275472926169483
LXS196,BRD-K00003425-001-01-9,-0.2655,0.06953236414697923,64,554,-0.3138,-0.2312,0.9275472926169483
9-anthracenecarboxylic-acid,BRD-K62607075-001-04-9,-0.2605,0.21923214748998343,64,554,0.0363,0.108,0.9487690209253847
prinomastat,BRD-K00003122-001-01-9,-0.256,0.18800668792450548,64,556,0.1327,0.1519,0.9487690209253847
Fedovapagon,BRD-K00075618-001-03-9,-0.2548,0.061849938002108806,63,545,-0.1996,-0.1424,0.9275472926169483
ASC-J9,BRD-K30331124-001-04-9,-0.2541,0.06630020100223585,64,554,-0.1985,-0.0256,0.9275472926169483
aminosalicylate,BRD-K80267133-325-22-9,-0.2529,0.04583036453665849,64,557,-0.0319,0.0244,0.9275472926169483
setmelanotide,BRD-K00003298-001-01-9,-0.2493,0.028973432297357292,64,556,0.0411,0.2141,0.9275472926169483
GSK1562590,BRD-K36697397-003-02-9,-0.2469,0.06367526702789152,64,556,-0.0969,0.0675,0.9275472926169483
efletirizine,BRD-K00004551-001-01-9,-0.2452,0.14086263565168836,64,554,0.4727,0.5344,0.9388552552131104
morantel,BRD-K71454870-046-01-8,-0.2449,0.09259859823710782,64,554,0.013,0.1255,0.9275472926169483
afamelanotide,BRD-K00003330-001-01-9,-0.2442,0.01530387047152708,64,557,-0.1945,-0.0031,0.9275472926169483
MS-424,BRD-K00004683-001-01-9,-0.2411,0.19122879527575753,64,554,0.0678,0.1629,0.9487690209253847
ganoderic-acid-a,BRD-K00003733-001-01-9,-0.2407,0.049160758536525025,64,556,-0.0029,0.0371,0.9275472926169483
SBHA,BRD-K54729176-001-03-9,-0.2386,0.06673851885336911,64,554,-0.0796,0.0547,0.9275472926169483
karenitecin,BRD-K00003176-001-01-9,-0.2375,0.08849712900050051,64,556,-0.1873,-0.0866,0.9275472926169483
gefapixant,BRD-K00004589-001-01-9,-0.2322,0.16926078186363014,64,557,0.1026,0.1963,0.9487690209253847
pitavastatin,BRD-K75958547-238-04-9,-0.2321,0.1276068357018906,64,554,-1.9434,-1.5565,0.9275472926169483
larazotide-acetate,BRD-K00003469-015-01-9,-0.2294,0.06183515449184822,64,557,-0.0907,0.0019,0.9275472926169483
omtriptolide,BRD-K00003212-001-01-9,-0.2285,0.04124168587322904,64,557,-6.9344,-6.1105,0.9275472926169483
pelrinone,BRD-K00004687-001-01-9,-0.2285,0.1276068357018906,64,554,-0.0037,0.1203,0.9275472926169483
BAY1217389,BRD-K00003143-001-01-9,-0.2257,0.13228576389446883,64,556,-2.4605,-2.0761,0.9342660946216771
PTC-209,BRD-K83834509-001-04-9,-0.2256,0.049122618061495336,64,557,-0.1195,-0.0106,0.9275472926169483
sufugolix,BRD-K00004582-001-01-9,-0.2226,0.02429821024853499,64,556,0.059,0.1654,0.9275472926169483
NSP-805,BRD-K00004733-001-01-9,-0.2216,0.11163299142810572,64,554,-0.0027,0.113,0.9275472926169483
bromindione,BRD-K50490982-001-09-9,-0.2214,0.1426230780420221,64,556,0.0606,0.0982,0.9388552552131104
baloxavir-marboxil,BRD-K00003495-001-01-9,-0.2213,0.0677834077459223,64,556,-0.1275,-0.0843,0.9275472926169483
GNE-7915,BRD-K33963447-001-03-9,-0.2183,0.10688806090458335,64,554,0.0341,0.1375,0.9275472926169483
PTC596,BRD-K00090626-001-01-9,-0.2162,0.08800602429483087,63,545,-3.7293,-3.1592,0.9275472926169483
methantheline,BRD-K09859624-004-11-9,-0.2162,0.22754830273220483,64,556,-0.048,0.0133,0.9487690209253847
Polymyxin B nonapeptide (TFA),BRD-K00091270-459-01-9,-0.2146,0.029578122034127585,63,545,-0.5524,-0.327,0.9275472926169483
K145,BRD-K12106308-003-01-9,-0.2146,0.06751131554636101,64,554,-0.4726,-0.3724,0.9275472926169483
BMS-582949,BRD-K00003168-003-01-9,-0.2128,0.1826266913326433,64,556,-0.3018,-0.1935,0.9487690209253847
visomitin,BRD-K00003375-004-01-9,-0.2125,0.13865165603644358,64,556,-5.4554,-4.8314,0.9388552552131104
aripiprazole-lauroxil,BRD-K00004574-001-01-9,-0.2121,0.26081872307287124,64,557,-0.0331,0.0324,0.9487690209253847
encorafenib,BRD-K00003576-001-01-9,-0.2109,0.053929628382587885,64,556,-0.462,-0.3113,0.9275472926169483
Nepinalone (hydrochloride),BRD-K00079018-003-02-9,-0.2103,0.18193863701624002,63,545,0.2395,0.3025,0.9487690209253847
sapacitabine,BRD-K00003214-001-01-9,-0.2094,0.07247594332887795,64,557,-3.736,-3.2479,0.9275472926169483
banoxantrone,BRD-K00003159-300-01-9,-0.2079,0.17340594095969875,64,557,-2.2245,-1.97,0.9487690209253847
