gene,nf1_cohens_d,nf1_fdr,kras_cohens_d,kras_pvalue,kras_mean_dep_mut,kras_mean_dep_wt,category
KRAS,0.0811,0.9851360850459384,-1.9219761228962873,6.531041026349211e-09,-1.96728825189618,-0.7092561086675216,KRAS_specific
ACADS,0.0044,0.9935679037459302,-0.8370608643624627,0.0011241582904121929,-0.21851443737446238,-0.11330978346140166,KRAS_specific
ACP4,-0.1696,0.887094148871769,-0.6949254930188717,0.0027476347713746682,-0.02138838399205885,0.07440413187513842,KRAS_specific
ABRA,0.1267,0.9032036840547224,-0.5635426786657519,0.12300622349952452,-0.07458178400305027,0.02187716673381482,KRAS_specific
A3GALT2,-0.2275,0.8922470905174421,-0.5221003156538834,0.07325241628369382,-0.0895415690216223,-0.014583259768702284,KRAS_specific
ABCB9,0.1643,0.8937468225407021,-0.5107923538590605,0.007439375998617727,-0.07531544195743603,-0.02301402843787296,KRAS_specific
ABCB7,-0.1291,0.9658239653851955,-0.4141015110406496,0.11642873011811508,-1.0331376660362623,-0.8564214847577307,KRAS_specific
ABHD4,0.0492,0.9907296327053308,-0.406934543774422,0.09018356221532368,-0.0029213184304606337,0.05605769832304845,KRAS_specific
ABHD17C,0.0006,0.9961234093825128,-0.3975090305918867,0.15625250910799351,0.08976823026733817,0.16043792285596603,KRAS_specific
ABCA2,-0.1388,0.9798187700052512,-0.3635078330981702,0.07106108764446646,-0.051259133572891004,-0.011772261478825945,KRAS_specific
AACS,-0.074,0.9851360850459384,-0.35434078873675506,0.009500021995885493,-0.019735385386429962,0.038051991374602266,KRAS_specific
ABCE1,-0.0577,0.9851360850459384,-0.35378998819355595,0.2157266425164236,-1.9676868578874454,-1.867288830680624,KRAS_specific
ACO2,0.2399,0.7699766263888559,-0.3231889644417041,0.2315111660290653,-0.9818580316414247,-0.8073323510088312,KRAS_specific
ACAD9,-0.0516,0.9975610407095122,-0.31011223489373535,0.11013077261535723,-0.30925772353064346,-0.25101091540996706,KRAS_specific
ABHD17A,0.0416,0.9949424194863864,-0.3080762306864414,0.11324526113394283,-0.2878823588181003,-0.23934979153120847,KRAS_specific
ACSS2,0.174,0.9290925117922416,-0.30380235806432426,0.22089965295369296,0.21892969392213513,0.2625849987132998,KRAS_specific
