gene,tier,cohens_d_pns,fdr_pns,has_drug,compounds,stage,n_mpnst_lines
SH2D6,2,-2.1935,0.9667814033960136,False,None,N/A,18
FKBP6,2,-2.1577,0.9518654812770584,False,None,N/A,18
TGM6,2,-1.9869,0.13103992127744,False,None,N/A,18
RBM39,2,-1.9508,0.1036129610100689,False,None,N/A,18
RPS10,2,-1.9276,0.9630250899412224,False,None,N/A,18
TYW1B,2,-1.8862,0.9630250899412224,False,None,N/A,18
SUMO2,2,-1.8663,0.9667814033960136,False,None,N/A,18
CNNM4,2,-1.811,0.613449677980202,False,None,N/A,18
PTPRC,2,-1.7326,0.9630250899412224,False,None,N/A,18
KRTAP21-1,2,-1.7151,0.9630250899412224,False,None,N/A,18
UBE2W,2,-1.7039,0.9630250899412224,False,None,N/A,18
GRAP,2,-1.6635,0.9667814033960136,False,None,N/A,18
JMJD6,2,-1.632,0.6278996227877337,False,None,N/A,18
PLAAT1,2,-1.5734,0.9678719111103156,False,None,N/A,18
ERBB2,2,-1.5474,0.4001288759006485,False,None,N/A,18
