gene,nf1_cohens_d,nf1_fdr,kras_cohens_d,kras_pvalue,kras_mean_dep_mut,kras_mean_dep_wt,category
KRTAP21-1,-0.7562,0.5616487887061005,,,,,NF1_specific
SPRR1A,-0.7281,0.5221159999823018,,,,,NF1_specific
USP9Y,-0.6664,0.5221159999823018,,,,,NF1_specific
EIF1AY,-0.6504,0.6889998584401925,,,,,NF1_specific
RIT1,-0.6456,0.0713962115880548,,,,,NF1_specific
CSNK2A3,-0.6338,0.7259755506158161,,,,,NF1_specific
RPS2,-0.5739,0.6780490098953341,,,,,NF1_specific
SRRM5,-0.567,0.2111108300848924,,,,,NF1_specific
SPRR2F,-0.5575,0.7119858820355325,,,,,NF1_specific
GUCA1ANB-GUCA1A,-0.535,0.6967120484934631,,,,,NF1_specific
ARL16,-0.532,0.5559311675252981,,,,,NF1_specific
INTS4,-0.5099,0.7126925617183667,,,,,NF1_specific
OR10T2,-0.5089,0.4029339488827335,,,,,NF1_specific
SPRR1B,-0.4933,0.8244752046616158,,,,,NF1_specific
PRKAR1A,-0.4889,0.58323477283108,,,,,NF1_specific
SHOC2,-0.485,0.2446346496580845,,,,,NF1_specific
TIGD1,-0.4839,0.7265651525977933,,,,,NF1_specific
COMT,-0.4698,0.5559311675252981,,,,,NF1_specific
RPL36A,-0.4665,0.7508127998614137,,,,,NF1_specific
EIF2B5,-0.4548,0.2446346496580845,,,,,NF1_specific
SRCAP,-0.4521,0.6021036362878708,,,,,NF1_specific
CALHM6,-0.4502,0.2446346496580845,,,,,NF1_specific
CCN3,-0.4491,0.5031518987318858,,,,,NF1_specific
SPRED1,-0.4459,0.2886674982745565,,,,,NF1_specific
COL26A1,-0.4459,0.8725296869685283,,,,,NF1_specific
SEC24C,-0.4407,0.5910446511533526,,,,,NF1_specific
SMG6,-0.4399,0.3175974856577493,,,,,NF1_specific
NRDC,-0.4398,0.5910446511533526,,,,,NF1_specific
SOS2,-0.435,0.5148043083045757,,,,,NF1_specific
LCE2B,-0.4321,0.7808896751988128,,,,,NF1_specific
ITGAV,-0.4313,0.5616487887061005,,,,,NF1_specific
DHX57,-0.4288,0.2446346496580845,,,,,NF1_specific
WDR70,-0.4275,0.7645918294910587,,,,,NF1_specific
DHTKD1,-0.4274,0.5616487887061005,,,,,NF1_specific
GNAI3,-0.427,0.5233633374815786,,,,,NF1_specific
LCE1F,-0.4247,0.7766316835727657,,,,,NF1_specific
ELAC2,-0.4245,0.5047088523415719,,,,,NF1_specific
C10orf95,-0.4223,0.7219270726160641,,,,,NF1_specific
GRB2,-0.4181,0.5221159999823018,,,,,NF1_specific
ADAM7,-0.4163,0.2446346496580845,,,,,NF1_specific
DCTN2,-0.4161,0.6780490098953341,,,,,NF1_specific
FZR1,-0.416,0.5559311675252981,,,,,NF1_specific
PAX1,-0.4116,0.4952628302477431,,,,,NF1_specific
PHPT1,-0.411,0.2446346496580845,,,,,NF1_specific
LIMK2,-0.41,0.6780490098953341,,,,,NF1_specific
SPRED2,-0.4088,0.2446346496580845,,,,,NF1_specific
PRKCE,-0.4057,0.6451632751223236,,,,,NF1_specific
PRKD3,-0.405,0.7119858820355325,,,,,NF1_specific
OR52D1,-0.4037,0.5148043083045757,,,,,NF1_specific
PF4,-0.4024,0.5233633374815786,,,,,NF1_specific
RAD51,-0.4022,0.2960357973687008,,,,,NF1_specific
IYD,-0.4015,0.5031518987318858,,,,,NF1_specific
SLAIN2,-0.4,0.4762008617394153,,,,,NF1_specific
RPL6,-0.3992,0.8359229090433322,,,,,NF1_specific
TPBGL,-0.3962,0.5221159999823018,,,,,NF1_specific
HINT1,-0.3958,0.3767898540284046,,,,,NF1_specific
ITGB5,-0.3899,0.5910446511533526,,,,,NF1_specific
H2BC15,-0.3897,0.9317321247622332,,,,,NF1_specific
PAX9,-0.3896,0.779174714124885,,,,,NF1_specific
STAT2,-0.3893,0.5233633374815786,,,,,NF1_specific
PTPN11,-0.3892,0.5559311675252981,,,,,NF1_specific
MARS1,-0.3884,0.5598093086198781,,,,,NF1_specific
REST,-0.3871,0.6780490098953341,,,,,NF1_specific
SHISA6,-0.3858,0.5221159999823018,,,,,NF1_specific
RBM42,-0.385,0.711128243547715,,,,,NF1_specific
FKBP6,-0.3809,0.8135785120137442,,,,,NF1_specific
MFN1,-0.3803,0.7219270726160641,,,,,NF1_specific
LMTK2,-0.3797,0.5221159999823018,,,,,NF1_specific
PATL1,-0.379,0.5148043083045757,,,,,NF1_specific
ANAPC4,-0.3786,0.6451632751223236,,,,,NF1_specific
OR2C1,-0.3779,0.5910446511533526,,,,,NF1_specific
GALM,-0.3744,0.5221159999823018,,,,,NF1_specific
PRRG3,-0.3728,0.5559311675252981,,,,,NF1_specific
KLHL38,-0.3712,0.8990645357508448,,,,,NF1_specific
RAF1,-0.3678,0.6956303534759828,,,,,NF1_specific
MYL5,-0.3675,0.5559311675252981,,,,,NF1_specific
GDF9,-0.3672,0.5559311675252981,,,,,NF1_specific
SUMO4,-0.3665,0.8943774342954771,,,,,NF1_specific
PRPF39,-0.3664,0.5221159999823018,,,,,NF1_specific
ANKRD39,-0.3654,0.5221159999823018,,,,,NF1_specific
POLR3E,-0.3647,0.6780490098953341,,,,,NF1_specific
TBC1D2B,-0.3646,0.6780490098953341,,,,,NF1_specific
TENT4A,-0.3645,0.7248447529296369,,,,,NF1_specific
TFAP2B,-0.3635,0.7645918294910587,,,,,NF1_specific
GJA4,-0.3635,0.5559311675252981,,,,,NF1_specific
ANAPC15,-0.3613,0.5559311675252981,,,,,NF1_specific
ADRA1D,-0.3612,0.5559311675252981,,,,,NF1_specific
FBXW7,-0.3609,0.5221159999823018,,,,,NF1_specific
DNAJC10,-0.3595,0.5598093086198781,,,,,NF1_specific
SCD5,-0.3593,0.5910446511533526,,,,,NF1_specific
HK1,-0.3583,0.8961692211488933,,,,,NF1_specific
ADAMTS3,-0.3567,0.6451632751223236,,,,,NF1_specific
DFFA,-0.356,0.4952628302477431,,,,,NF1_specific
AMY2A,-0.356,0.6866422565440923,,,,,NF1_specific
TSGA10IP,-0.3555,0.8695492064204181,,,,,NF1_specific
SLC25A27,-0.3548,0.7248447529296369,,,,,NF1_specific
ENTREP2,-0.3545,0.5221159999823018,,,,,NF1_specific
LRRC3B,-0.3544,0.6780490098953341,,,,,NF1_specific
ZBTB1,-0.354,0.5221159999823018,,,,,NF1_specific
SPNS2,-0.3539,0.6780490098953341,,,,,NF1_specific
UBL4B,-0.3534,0.5559311675252981,,,,,NF1_specific
LMBR1L,-0.3532,0.6866422565440923,,,,,NF1_specific
SYNGR2,-0.3531,0.6780490098953341,,,,,NF1_specific
TEX55,-0.3529,0.5910446511533526,,,,,NF1_specific
SMKR1,-0.3529,0.5890659148455608,,,,,NF1_specific
OR51E1,-0.3526,0.8861314541567127,,,,,NF1_specific
MELK,-0.3523,0.6780490098953341,,,,,NF1_specific
CD1D,-0.3523,0.6967120484934631,,,,,NF1_specific
KRTAP4-11,-0.3522,0.9354612676893624,,,,,NF1_specific
IFTAP,-0.3517,0.6780490098953341,,,,,NF1_specific
GGT1,-0.3511,0.8244752046616158,,,,,NF1_specific
POU5F1B,-0.351,0.9020296443327318,,,,,NF1_specific
PPP1R1A,-0.3505,0.6655229512790012,,,,,NF1_specific
GPR61,-0.3502,0.560815812476221,,,,,NF1_specific
PECR,-0.3497,0.6967120484934631,,,,,NF1_specific
LSM1,-0.3497,0.6967120484934631,,,,,NF1_specific
OR4K13,-0.3495,0.6992342695638899,,,,,NF1_specific
OR5M11,-0.3494,0.599745798233516,,,,,NF1_specific
DCTN3,-0.3492,0.6967120484934631,,,,,NF1_specific
ASPM,-0.3476,0.6451632751223236,,,,,NF1_specific
CFAP418,-0.3475,0.6780490098953341,,,,,NF1_specific
POMK,-0.347,0.7294432941056088,,,,,NF1_specific
POLR2I,-0.3467,0.5559311675252981,,,,,NF1_specific
TAOK2,-0.346,0.5910446511533526,,,,,NF1_specific
FBXL17,-0.3448,0.5951818714630925,,,,,NF1_specific
LEP,-0.3446,0.5559311675252981,,,,,NF1_specific
OR7E24,-0.3433,0.6780490098953341,,,,,NF1_specific
ZDHHC14,-0.3429,0.6451632751223236,,,,,NF1_specific
ZNF502,-0.3424,0.6451632751223236,,,,,NF1_specific
VRK2,-0.3418,0.7119858820355325,,,,,NF1_specific
PDE1B,-0.3414,0.662362604915881,,,,,NF1_specific
NFS1,-0.3413,0.5559311675252981,,,,,NF1_specific
TSPEAR,-0.3406,0.5616487887061005,,,,,NF1_specific
SNTB1,-0.3399,0.7119858820355325,,,,,NF1_specific
FAM50A,-0.3397,0.6451632751223236,,,,,NF1_specific
FBXL8,-0.3391,0.5598093086198781,,,,,NF1_specific
PPP1R2,-0.3391,0.5864969711684321,,,,,NF1_specific
STRA8,-0.3386,0.5598093086198781,,,,,NF1_specific
SMCHD1,-0.3384,0.6967120484934631,,,,,NF1_specific
FBXO47,-0.3384,0.5559311675252981,,,,,NF1_specific
LARP7,-0.3382,0.5910446511533526,,,,,NF1_specific
C14orf39,-0.338,0.6967120484934631,,,,,NF1_specific
CBY2,-0.3379,0.5910446511533526,,,,,NF1_specific
GRID2IP,-0.3378,0.5559311675252981,,,,,NF1_specific
STAR,-0.3371,0.6780490098953341,,,,,NF1_specific
MT1E,-0.3368,0.887094148871769,,,,,NF1_specific
CDH5,-0.3365,0.6451632751223236,,,,,NF1_specific
ANGPTL1,-0.3361,0.5910446511533526,,,,,NF1_specific
PRKRA,-0.336,0.6780490098953341,,,,,NF1_specific
GRIN2C,-0.3359,0.7265651525977933,,,,,NF1_specific
CASR,-0.3356,0.5047088523415719,,,,,NF1_specific
LDHD,-0.3353,0.5598093086198781,,,,,NF1_specific
MAP2K7,-0.3352,0.7292061268402719,,,,,NF1_specific
TENT5C,-0.3347,0.818258030768385,,,,,NF1_specific
RCAN2,-0.3334,0.6780490098953341,,,,,NF1_specific
HSPA12B,-0.3329,0.6655229512790012,,,,,NF1_specific
KCNG2,-0.3325,0.5669907547515418,,,,,NF1_specific
