gene,nf1_cohens_d,nf1_fdr,kras_cohens_d,kras_pvalue,kras_mean_dep_mut,kras_mean_dep_wt,category
A1BG,0.0812,0.942520063980189,,,,,neither
A1CF,0.0544,0.9984922868374604,,,,,neither
A2M,0.0604,0.9886201045012536,0.44588986365135674,0.04416008238612161,0.008256895027822671,-0.042201732520014586,neither
A2ML1,0.0367,0.9965096133065402,-0.2969337104463862,0.17745644079681333,0.0770820265453286,0.11488166505777646,neither
A3GALT2,-0.2275,0.8922470905174421,-0.5221003156538834,0.07325241628369382,-0.0895415690216223,-0.014583259768702284,KRAS_specific
A4GALT,0.0273,0.9975610407095122,,,,,neither
A4GNT,-0.2572,0.8391304353595854,,,,,neither
AAAS,-0.0946,0.9793104017325636,,,,,neither
AACS,-0.074,0.9851360850459384,-0.35434078873675506,0.009500021995885493,-0.019735385386429962,0.038051991374602266,KRAS_specific
AADAC,-0.0714,0.9658239653851955,,,,,neither
AADACL2,-0.0169,0.9317321247622332,,,,,neither
AADACL3,0.1216,0.8922470905174421,,,,,neither
AADACL4,0.1508,0.930514053240566,,,,,neither
AADAT,0.0313,0.9651016409936232,,,,,neither
AAGAB,0.1156,0.9618258235827322,,,,,neither
AAK1,-0.195,0.921363539366387,,,,,neither
AAMDC,0.2223,0.7662802893570424,,,,,neither
AAMP,0.2082,0.8339025888483885,,,,,neither
AANAT,-0.0312,0.988903223701504,,,,,neither
AAR2,0.0904,0.9684158207315386,,,,,neither
AARD,-0.2215,0.8943774342954771,,,,,neither
AARS1,-0.0391,0.9823944221865752,,,,,neither
AARS2,-0.0682,0.962205844034946,,,,,neither
AARSD1,0.0627,0.9839588188603888,,,,,neither
AASDH,-0.1016,0.9592146218729038,,,,,neither
AASDHPPT,-0.0396,0.9935679037459302,,,,,neither
AASS,-0.2233,0.7839078168533321,,,,,neither
AATF,0.078,0.988903223701504,,,,,neither
AATK,-0.1757,0.9323829101458284,-0.2290457467689542,0.1603318144232132,-0.11734279011320085,-0.0839494724619105,neither
ABAT,-0.1909,0.9773106863644524,,,,,neither
ABCA1,-0.1125,0.8995271344185874,,,,,neither
ABCA10,-0.0469,0.9868289567495748,-0.2457939969615312,0.2157266425164236,0.052878714532749296,0.09678132281571053,neither
ABCA12,0.2056,0.9326987989098268,0.1452460587153188,0.19116792594017062,0.011677895703421854,-0.01291006186691166,neither
ABCA13,0.0231,0.9873145795670764,,,,,neither
ABCA2,-0.1388,0.9798187700052512,-0.3635078330981702,0.07106108764446646,-0.051259133572891004,-0.011772261478825945,KRAS_specific
ABCA3,-0.1018,0.9823944221865752,0.259305744317347,0.16873115702042119,0.0417757027042352,0.006777179212156398,neither
