cancer_type,gene,cohens_d,fdr
CNS/Brain,SPRR1A,-1.4761,0.9839359020327332
CNS/Brain,LCE1F,-1.325,0.9839359020327332
CNS/Brain,KRTAP21-1,-1.2884,0.9839359020327332
CNS/Brain,SPRR2F,-1.1741,0.9839359020327332
CNS/Brain,KIF22,-1.1406,0.9839359020327332
Peripheral Nervous System,SH2D6,-2.1935,0.9667814033960136
Peripheral Nervous System,FKBP6,-2.1577,0.9518654812770584
Peripheral Nervous System,TGM6,-1.9869,0.13103992127744
Peripheral Nervous System,RBM39,-1.9508,0.1036129610100689
Peripheral Nervous System,RPS10,-1.9276,0.9630250899412224
Uterus,ADRM1,-2.3684,0.1802675585284281
Uterus,TMEM82,-2.3214,0.3769805785366426
Uterus,UQCC6,-2.2417,0.2120794806216801
Uterus,COL10A1,-2.2122,0.1802675585284281
Uterus,LY6K,-2.1751,0.1802675585284281
Breast,VDAC2,-2.5287,0.5818227134016608
Breast,GSX1,-2.0754,0.5818227134016608
Breast,WDR88,-1.9302,0.5818227134016608
Breast,MTMR8,-1.903,0.9387710409396068
Breast,CLEC4G,-1.8339,0.8007528175949229
Bowel,IPO4,-2.5581,0.245101496706118
Bowel,POLR2M,-2.5439,0.245101496706118
Bowel,SREBF1,-2.0892,0.851988266367293
Bowel,UPK3A,-1.9291,0.851988266367293
Bowel,SLC7A6OS,-1.8967,0.245101496706118
Lung,FOS,-1.2028,1.0
Lung,ASNS,-1.1391,1.0
Lung,PIGR,-1.1346,1.0
Lung,FOSL1,-1.12,1.0
Lung,COMT,-1.1041,1.0
Esophagus/Stomach,MRPS22,-2.2227,0.8316253589149056
Esophagus/Stomach,FBXL5,-1.8596,1.0
Esophagus/Stomach,HK1,-1.8115,1.0
Esophagus/Stomach,PRMT9,-1.7786,0.8316253589149056
Esophagus/Stomach,TRMT5,-1.7629,1.0
