ModelID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,MTAP_CN,MTAP_deleted,MTAP_expression
ACH-000001,NIH:OVCAR-3,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,1.1762811074127784,False,5.609285135286864
ACH-000002,HL-60,Myeloid,Acute Myeloid Leukemia,AML with Myelodysplasia-Related Changes,,False,3.6007336062625557
ACH-000003,CACO2,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,False,4.61725733629057
ACH-000004,HEL,Myeloid,Acute Myeloid Leukemia,"AML, NOS",1.6088154073988593e-05,True,0.2442440947886973
ACH-000005,HEL 92.1.7,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,1.116823545933868e-05,True,0.1357502401087331
ACH-000006,MONO-MAC-6,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,,False,5.754516093969652
ACH-000007,LS513,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,1.2763847168976192,False,5.143621985133315
ACH-000008,A101D,Skin,Melanoma,Melanoma,1.116823545933868e-05,True,0.1348320660633027
ACH-000009,C2BBe1,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,0.7027476286588937,False,4.527914830796533
ACH-000011,253J,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,6.527697526397779e-05,True,1.463721841411844
ACH-000012,HCC-827,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,1.0778429970729888,False,6.584699485464188
ACH-000013,ONCO-DG-1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,1.0497380833433394,False,4.946978772811093
ACH-000014,Hs 294T,Skin,Melanoma,Melanoma,1.2540549602340975e-05,True,0.1110286407287869
ACH-000015,NCI-H1581,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,0.7533712255203899,False,3.893449585341169
ACH-000016,SLR 21,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,,False,5.36074000261188
