cancer_type,tcga_types,n_profiled,n_homdel,homdel_pct,any_loss_pct,us_incidence,eligible_patients_year
Lung,"LUSC, LUAD",998,157,15.7,66.0,238340,37494
Bladder/Urinary Tract,BLCA,408,106,26.0,56.6,83190,21613
Skin,SKCM,367,72,19.6,73.8,100640,19744
Pancreas,PAAD,183,40,21.9,58.5,66440,14522
Breast,BRCA,1070,35,3.3,33.0,310720,10163
Head and Neck,HNSC,517,75,14.5,49.7,55970,8119
CNS/Brain,"GBM, LGG",1086,289,26.6,55.2,25400,6759
Esophagus/Stomach,"ESCA, STAD",620,79,12.7,50.2,47770,6086
Lymphoid,DLBC,48,7,14.6,27.1,20160,2940
Bowel,COADREAD,592,6,1.0,13.9,153020,1550
Biliary Tract,CHOL,36,4,11.1,58.3,12260,1362
Kidney,"KIRP, KICH, KIRC",857,14,1.6,22.9,82290,1344
Soft Tissue,SARC,253,24,9.5,41.9,13590,1289
Liver,LIHC,367,10,2.7,37.9,41630,1134
Pleura,MESO,87,28,32.2,55.2,2500,804
Ovary/Fallopian Tube,OV,572,15,2.6,45.8,19680,516
Myeloid,LAML,191,1,0.5,1.0,23810,124
