cancer_type,gene,cohens_d,ci_lower,ci_upper,p_value,n_lost,n_intact,median_dep_lost,median_dep_intact,fdr,classification
Uterus,PIK3CB,0.38164190245604573,-0.3462561645120822,1.1247744715403283,0.37215999848634584,19,14,-0.0784584076371785,-0.15208071574809556,0.532865452378177,NOT_SIGNIFICANT
Uterus,PIK3CA,0.6492393749224233,-0.013307692951253875,1.3054461263767945,0.25120973331831375,19,14,-0.3452916409476383,-0.3942370153270668,0.5275404399684589,NOT_SIGNIFICANT
Uterus,AKT1,-0.2744283484213962,-0.99252237728076,0.4103461800179279,0.5723448299778278,19,14,-0.1511614790867507,-0.047440687126427405,0.7702635278124825,NOT_SIGNIFICANT
Uterus,AKT2,0.8219791086759249,0.22098212423801808,1.521723810586522,0.04321379360919826,19,14,-0.0097131775903861,-0.1435060717387987,0.20942069210611466,NOT_SIGNIFICANT
Uterus,MTOR,-0.3258474388328828,-1.0573273238302794,0.379221856920866,0.5973774511249135,19,14,-1.1844182280721292,-1.0747775079601563,0.784057904601449,NOT_SIGNIFICANT
Uterus,RICTOR,0.06704395674206581,-0.6024494143734092,0.8982515256973921,0.37215999848634584,19,14,-0.3639876895248488,-0.471758909353989,0.532865452378177,NOT_SIGNIFICANT
Uterus,RPTOR,-0.04248764980387923,-0.863405291586399,0.692589660230275,0.7847038730712467,19,14,-0.8538026264365458,-0.7730478324970463,0.8934625474989613,NOT_SIGNIFICANT
CNS/Brain,PIK3CB,-0.32315913241029354,-0.7664433006687559,0.1016290819376248,0.10774164816727877,34,50,-0.20830458957944098,-0.13094095879680812,0.3232249445018363,NOT_SIGNIFICANT
CNS/Brain,PIK3CA,0.41430823683708873,-0.033763385489300336,0.9111477966183726,0.05986123880782475,34,50,-0.2723785860575815,-0.33576045533398324,0.23570362780580995,NOT_SIGNIFICANT
CNS/Brain,AKT1,-0.2895773767480103,-0.831573955332332,0.14162271659036027,0.049549765817249035,34,50,-0.13501775841147806,-0.0564191396375945,0.22297394617762065,NOT_SIGNIFICANT
CNS/Brain,AKT2,-0.04147024325116659,-0.4846600420669227,0.4139619910012684,0.8732940350457413,34,50,-0.02053043821658935,-0.0271006430409819,0.9228954781420999,NOT_SIGNIFICANT
CNS/Brain,MTOR,-0.2914774138663425,-0.7591724004133533,0.12780118860778772,0.18486379924903373,34,50,-1.3862658379146091,-1.2701046273510526,0.5063660588125707,NOT_SIGNIFICANT
CNS/Brain,RICTOR,-0.16661641410063022,-0.6007826333461636,0.2560275359119378,0.30958721054301086,34,50,-0.5086430762608299,-0.4263371689024029,0.532865452378177,NOT_SIGNIFICANT
CNS/Brain,RPTOR,-0.49190454798798544,-0.9895347899360654,-0.08531230164519002,0.02088147523025268,34,50,-1.1280586525707537,-0.9373545626940598,0.17832072047392392,NOT_SIGNIFICANT
Skin,PIK3CB,-1.4970878876381253,-2.4616381169073605,-0.7406749051681593,6.972257085846759e-05,14,61,-0.5077686128584403,-0.1200322883538887,0.002196260982041729,ROBUST
Skin,PIK3CA,0.38851889561284075,-0.052347151781661445,0.8551258075734981,0.3658760770261258,14,61,-0.24813410778254957,-0.2822920621911469,0.532865452378177,NOT_SIGNIFICANT
Skin,AKT1,-0.24756909693419704,-0.7609972233465095,0.20340591858342982,0.31105824582303643,14,61,-0.0387433880064667,0.0125377740523367,0.532865452378177,NOT_SIGNIFICANT
Skin,AKT2,0.16472760200929626,-0.43618235404850114,0.8081807790804519,0.8972191713017251,14,61,-0.0212514316751327,0.0017080794705858,0.9228954781420999,NOT_SIGNIFICANT
Skin,MTOR,-0.3758450538031873,-0.9141388324703105,0.09196856786164097,0.2134409445865657,14,61,-1.2452486224057155,-1.1745336675650375,0.5189576869188639,NOT_SIGNIFICANT
Skin,RICTOR,-0.8280873459313544,-1.51000273346837,-0.1866303616597355,0.012117133158320633,14,61,-0.5254587562855967,-0.3138084589696021,0.12722989816236666,NOT_SIGNIFICANT
Skin,RPTOR,-0.6296537645894431,-1.3875881272282562,0.08820271660449494,0.11317243922396909,14,61,-0.9970165898809625,-0.8778299578936758,0.32408471232318425,NOT_SIGNIFICANT
Breast,PIK3CB,-2.2287637545985333,-3.359279453676942,-1.570324951652572,5.6480691233082904e-06,10,42,-0.5337905772791762,-0.07261397887545175,0.0003558283547684223,ROBUST
Breast,PIK3CA,0.9453921746300072,0.42040482435714943,1.5460412475159504,0.000564965902731101,10,42,-0.08265829077468839,-0.7418989163388724,0.009087717664166231,ROBUST
Breast,AKT1,-0.4267704438826655,-1.1394087554451227,0.2772869489733407,0.21417301364905494,10,42,-0.19434231402601754,-0.14482867433853186,0.5189576869188639,NOT_SIGNIFICANT
Breast,AKT2,-0.7354674088211823,-1.5556663513007531,-0.11996166399503438,0.03173910547902928,10,42,-0.2802751365720144,-0.08676111473985484,0.18177851319807678,NOT_SIGNIFICANT
Breast,MTOR,-0.8101688562373249,-1.6581230562467828,-0.051470388380835876,0.08790838231522308,10,42,-1.3481796400175892,-1.2239123887196022,0.29631620070059184,NOT_SIGNIFICANT
Breast,RICTOR,-0.6178169654056754,-1.410574354381231,0.022453556477669542,0.09689446359500266,10,42,-0.6591579366324228,-0.44818024049076494,0.30521756032425834,NOT_SIGNIFICANT
Breast,RPTOR,-0.16914315445420564,-0.7938355408503011,0.4154584463907744,0.5383687768765522,10,42,-0.9893668681245202,-0.9507291729068822,0.753716287627173,NOT_SIGNIFICANT
Bowel,PIK3CB,-0.2598333094170454,-1.2773948071004124,0.6714973419331954,0.9248759110365152,8,53,-0.04985278057957705,-0.0522523057059457,0.9248759110365152,NOT_SIGNIFICANT
Bowel,PIK3CA,0.9236311796194281,0.1804827325689997,1.8103846714030447,0.041911724504539914,8,53,-0.2150388146784765,-0.5742499944626963,0.20942069210611466,NOT_SIGNIFICANT
Bowel,AKT1,-0.07461202007544103,-0.8370733827279612,0.6543136473216772,0.3594940113585897,8,53,-0.13528523631566136,-0.0511973609394874,0.532865452378177,NOT_SIGNIFICANT
Bowel,AKT2,-0.023595501836810997,-0.8188681031315368,0.7053218846054415,0.8751097366809839,8,53,-0.05881328383267245,-0.0667019470882245,0.9228954781420999,NOT_SIGNIFICANT
Bowel,MTOR,0.39252676983580753,-0.16322672253963574,1.0133442701181608,0.2407339697165617,8,53,-0.9547903318056242,-1.1526616475603495,0.5275404399684589,NOT_SIGNIFICANT
Bowel,RICTOR,0.11118470755683012,-0.538224510384829,0.7578821286292899,0.6980183515079023,8,53,-0.3299087438878102,-0.3747926189889562,0.8456760797114969,NOT_SIGNIFICANT
Bowel,RPTOR,0.026642283326819925,-0.550899411789721,0.6619932837298061,0.9082463435684158,8,53,-0.7818746925555902,-0.762010347637249,0.9228954781420999,NOT_SIGNIFICANT
Ovary/Fallopian Tube,PIK3CB,0.17241695175221036,-0.5009828408838393,0.8501703120902888,0.6447470087849501,6,52,-0.1011697207862785,-0.10161933841668135,0.8289604398663645,NOT_SIGNIFICANT
Ovary/Fallopian Tube,PIK3CA,0.018048980824977048,-1.0604464512750131,0.9568594090922296,0.5746410445585187,6,52,-0.25042957466217847,-0.34569948658432625,0.7702635278124825,NOT_SIGNIFICANT
Ovary/Fallopian Tube,AKT1,-1.4680571727941512,-3.0995532596843804,-0.20843425508056374,0.028304876265702206,6,52,-0.3217102647209549,-0.05590031687787775,0.17832072047392392,NOT_SIGNIFICANT
Ovary/Fallopian Tube,AKT2,0.20016804486970693,-0.18084754210132437,0.598645394326577,0.7179910304931707,6,52,-0.09769091239000474,-0.10134982928999756,0.8534610362465991,NOT_SIGNIFICANT
Ovary/Fallopian Tube,MTOR,-0.2981647220200855,-0.7186024592514066,0.08715862418110365,0.3343730770707451,6,52,-1.3331508222466337,-1.2117345574842138,0.532865452378177,NOT_SIGNIFICANT
Ovary/Fallopian Tube,RICTOR,-0.5166409251789684,-1.5899920039764588,0.506114975679895,0.34728083195706383,6,52,-0.49462791008797163,-0.35681420043125495,0.532865452378177,NOT_SIGNIFICANT
Ovary/Fallopian Tube,RPTOR,-0.06551283881665697,-0.9232565888594596,0.8410518816226314,0.8911351939123058,6,52,-0.8281870450807822,-0.902302463368815,0.9228954781420999,NOT_SIGNIFICANT
Lymphoid,PIK3CB,-0.4799762116866337,-1.1731509775456344,0.18369927033827074,0.20601535695726958,13,78,-0.1081083323670071,-0.038320787987413396,0.5189576869188639,NOT_SIGNIFICANT
Lymphoid,PIK3CA,0.7145346734798813,0.3549098034222984,1.1122227462495315,0.0015849608024804689,13,78,-0.1058702016362833,-0.2606652731629518,0.019970506111253908,ROBUST
Lymphoid,AKT1,-0.3207708179803425,-1.018130563270923,0.25078506664580513,0.29412923071324437,13,78,-0.112081107510626,-0.0704127690037897,0.532865452378177,NOT_SIGNIFICANT
Lymphoid,AKT2,-1.0733666785057965,-1.796603317496978,-0.48944367278216805,0.0005769979469311893,13,78,-0.4813681911927457,-0.19524103998856684,0.009087717664166231,ROBUST
Lymphoid,MTOR,-0.3237677427227311,-1.0007050576270689,0.3371111809054761,0.3378748487384968,13,78,-1.2570047246558265,-1.1472127715104992,0.532865452378177,NOT_SIGNIFICANT
Lymphoid,RICTOR,-0.640876239741667,-1.2029336970441058,-0.0973272325709969,0.02583774246060837,13,78,-0.7370009325445659,-0.5286433804540405,0.17832072047392392,NOT_SIGNIFICANT
Lymphoid,RPTOR,-0.14868466428560861,-0.7410181250953713,0.39857089536336565,0.8073498508393475,13,78,-0.7901140278029707,-0.9126521234379228,0.8934625474989613,NOT_SIGNIFICANT
Lung,PIK3CB,-1.3041619337010182,-2.796030772709375,-0.19891821588745331,0.023446076092159037,8,117,-0.27283382310002424,-0.0963443823408989,0.17832072047392392,NOT_SIGNIFICANT
