cancer_type,gene,n_lost_pik3ca_wt,n_lost_pik3ca_mut,n_intact,d_pten_lost_pik3ca_wt,p_pten_lost_pik3ca_wt,d_pten_lost_pik3ca_mut,p_pten_lost_pik3ca_mut
Uterus,PIK3CB,13,6,14,0.23813800051802567,0.610384513874678,0.5887171761988322,0.2740454076367389
Uterus,PIK3CA,13,6,14,0.7414286507652705,0.10402917405726313,0.30233002964238354,0.9043859649122807
Uterus,AKT1,13,6,14,-0.44295787442552587,0.4233159874752107,-0.02164861158620129,0.9679566563467492
Uterus,AKT2,13,6,14,0.7833592129506655,0.05526547187111533,0.6102775056470369,0.20743034055727555
Uterus,MTOR,13,6,14,-0.44511686017788565,0.39576568734555584,-0.008991770843236161,0.8411248710010321
Uterus,RICTOR,13,6,14,-0.07404155885226109,0.5768096792806785,0.3954258405144481,0.31186790505675954
Uterus,RPTOR,13,6,14,-0.22590499322995436,0.4519575760931084,0.33171083267996243,0.5466460268317854
CNS/Brain,PIK3CB,34,0,50,-0.32315913241029354,0.10774164816727877,,
CNS/Brain,PIK3CA,34,0,50,0.41430823683708873,0.05986123880782475,,
CNS/Brain,AKT1,34,0,50,-0.2895773767480103,0.049549765817249035,,
CNS/Brain,AKT2,34,0,50,-0.04147024325116659,0.8732940350457413,,
CNS/Brain,MTOR,34,0,50,-0.2914774138663425,0.18486379924903373,,
CNS/Brain,RICTOR,34,0,50,-0.16661641410063022,0.30958721054301086,,
CNS/Brain,RPTOR,34,0,50,-0.49190454798798544,0.02088147523025268,,
Skin,PIK3CB,14,0,61,-1.4970878876381253,6.972257085846759e-05,,
Skin,PIK3CA,14,0,61,0.38851889561284075,0.3658760770261258,,
Skin,AKT1,14,0,61,-0.24756909693419704,0.31105824582303643,,
Skin,AKT2,14,0,61,0.16472760200929626,0.8972191713017251,,
Skin,MTOR,14,0,61,-0.3758450538031873,0.2134409445865657,,
Skin,RICTOR,14,0,61,-0.8280873459313544,0.012117133158320633,,
Skin,RPTOR,14,0,61,-0.6296537645894431,0.11317243922396909,,
Breast,PIK3CB,9,1,42,-2.4405694817827546,1.1560002859912637e-05,,
Breast,PIK3CA,9,1,42,1.1735178905229169,5.349479880621556e-05,,
Breast,AKT1,9,1,42,-0.49957833176001876,0.1862032459404498,,
Breast,AKT2,9,1,42,-0.6811241608885886,0.0621145105659419,,
Breast,MTOR,9,1,42,-0.8610364495448953,0.0905470085342154,,
Breast,RICTOR,9,1,42,-0.6693098967909322,0.0905470085342154,,
Breast,RPTOR,9,1,42,-0.1325574851029738,0.6654540355977552,,
Bowel,PIK3CB,6,2,53,-0.4946499531461672,0.5647216264276156,,
Bowel,PIK3CA,6,2,53,1.50622161193033,0.0014407820553810897,,
Bowel,AKT1,6,2,53,-0.44402518707305333,0.1252092383163779,,
Bowel,AKT2,6,2,53,-0.0007650004870503943,0.7598220885618221,,
Bowel,MTOR,6,2,53,0.27334345438133906,0.4690494189709792,,
Bowel,RICTOR,6,2,53,-0.031247043750267413,0.9707553068776115,,
Bowel,RPTOR,6,2,53,0.08590684221211277,0.9902505852858063,,
Ovary/Fallopian Tube,PIK3CB,4,2,52,-0.2628905763438406,0.5285850417925889,,
Ovary/Fallopian Tube,PIK3CA,4,2,52,0.1574242000633784,0.28447275994445803,,
Ovary/Fallopian Tube,AKT1,4,2,52,-1.1034521384156817,0.24325737155925833,,
Ovary/Fallopian Tube,AKT2,4,2,52,0.038827163319272225,0.8419178305970757,,
Ovary/Fallopian Tube,MTOR,4,2,52,-0.2694810352750292,0.46950366195649207,,
Ovary/Fallopian Tube,RICTOR,4,2,52,-0.8851159746243763,0.2060551607721419,,
Ovary/Fallopian Tube,RPTOR,4,2,52,-0.36012775581217693,0.5490429905524244,,
Lymphoid,PIK3CB,13,0,78,-0.4799762116866337,0.20601535695726958,,
Lymphoid,PIK3CA,13,0,78,0.7145346734798813,0.0015849608024804689,,
Lymphoid,AKT1,13,0,78,-0.3207708179803425,0.29412923071324437,,
Lymphoid,AKT2,13,0,78,-1.0733666785057965,0.0005769979469311893,,
Lymphoid,MTOR,13,0,78,-0.3237677427227311,0.3378748487384968,,
Lymphoid,RICTOR,13,0,78,-0.640876239741667,0.02583774246060837,,
Lymphoid,RPTOR,13,0,78,-0.14868466428560861,0.8073498508393475,,
Lung,PIK3CB,8,0,117,-1.3041619337010182,0.023446076092159037,,
Lung,PIK3CA,8,0,117,0.442474633874514,0.27497143255288403,,
Lung,AKT1,8,0,117,0.17692670730482862,0.6737396165969955,,
Lung,AKT2,8,0,117,0.0931481930878793,0.6810038306913407,,
Lung,MTOR,8,0,117,0.11559405240592185,0.8083708763085841,,
Lung,RICTOR,8,0,117,-0.35987668242614296,0.24911542960408306,,
Lung,RPTOR,8,0,117,-0.37789002299486996,0.24497055926377076,,
Esophagus/Stomach,PIK3CB,4,1,64,-1.410543622368062,0.25709707325159475,,
Esophagus/Stomach,PIK3CA,4,1,64,-0.5945095256282901,0.2917293417732399,,
Esophagus/Stomach,AKT1,4,1,64,-1.1930156352380241,0.26834482462226095,,
Esophagus/Stomach,AKT2,4,1,64,-0.49818666670294487,0.5372667718585189,,
Esophagus/Stomach,MTOR,4,1,64,0.05591263293217631,0.6967687273218439,,
Esophagus/Stomach,RICTOR,4,1,64,-0.5931380704424172,0.7343357257316869,,
Esophagus/Stomach,RPTOR,4,1,64,-0.5763581555476198,0.20542126881020648,,
