gene,cohens_d,p_value,n_lost,n_intact,median_dep_lost,median_dep_intact,fdr,cancer_type
ICMT,0.3573024357028421,0.5238295995447353,19,14,-0.1348146133194007,-0.15743370829762085,0.9156549570517303,Uterus
ICMT,0.5003733581218661,0.0464623013773855,34,50,-0.11294085202099954,-0.20278861765730877,0.5659752214659644,CNS/Brain
ICMT,0.4850651060694271,0.09851816920505516,14,61,-0.1391442858325156,-0.273985806288409,0.9636256973823449,Skin
ICMT,-0.376119014202044,0.18186163575399528,10,42,-0.15279406575391324,-0.09549511792839871,0.7359424488162694,Breast
ICMT,-0.7015140778891594,0.13395568008711708,8,53,-0.27463972597283975,-0.1540802362957981,0.763981965535018,Bowel
ICMT,-0.3009296510239388,0.9108399238865286,6,52,-0.130157066817565,-0.1621219763686573,0.9872617224934621,Ovary/Fallopian Tube
ICMT,-0.48216631132722026,0.1546254587992361,13,78,-0.3190487135410798,-0.18663432316983555,0.8820534848264788,Lymphoid
ICMT,0.28759371971230135,0.40098702438103573,8,117,-0.009062246704228,-0.1385195705530734,0.9463246312326629,Lung
ICMT,0.7583743604567064,0.2230939271058369,5,64,-0.1236097074996717,-0.20283762753794676,0.8867872327498916,Esophagus/Stomach
CHD1,-0.1427721659719023,0.8697968219057861,19,14,-0.1700564464915381,-0.13855446769599575,0.9830030766162013,Uterus
CHD1,0.09704725822285733,0.8948758683355585,34,50,-0.20397728280655986,-0.1943949241148631,0.9800891274813646,CNS/Brain
CHD1,-0.23839859738947516,0.4753125875171065,14,61,-0.38515876767518326,-0.3397812588361114,0.9794737568378225,Skin
CHD1,0.22997441607718827,0.3237542510790258,10,42,-0.0474423029976155,-0.09846366739291615,0.8240223528882912,Breast
CHD1,0.2930198477463321,0.4813519686439116,8,53,-0.12395661074309755,-0.2232378457689179,0.919280237485779,Bowel
CHD1,0.2129928184961438,0.6994176555522993,6,52,-0.10137441769300595,-0.16360498620174724,0.9601330563243209,Ovary/Fallopian Tube
CHD1,0.03438665291777215,0.9502607877050456,13,78,-0.1139797909866835,-0.107879314086374,0.9970815252114912,Lymphoid
CHD1,-0.15603062330115222,0.9644816305612599,8,117,-0.11332755671966155,-0.1427875011435132,0.9964125435786217,Lung
CHD1,-0.8030053054218828,0.3243254690366955,5,64,-0.1530572454122288,-0.14634669565152147,0.9112315865397974,Esophagus/Stomach
PNKP,0.24454823463629213,0.6488763007224619,19,14,-0.4092886429734375,-0.4612266592056623,0.9470900242779376,Uterus
PNKP,0.22386543477862217,0.3941828248630501,34,50,-0.4818293475124168,-0.529661623600222,0.8444554638732797,CNS/Brain
PNKP,0.18386087618314967,0.5272054520320559,14,61,-0.48284178324593763,-0.5450100323364527,0.9827503013303479,Skin
PNKP,0.028972801879139438,0.9352323168048863,10,42,-0.3247535606923587,-0.403619377864699,0.9887765726785623,Breast
PNKP,-0.2737672794111341,0.43020477633944076,8,53,-0.5813561152967597,-0.4541888892236109,0.9103141190161095,Bowel
PNKP,-0.5915668768216177,0.2632028603675352,6,52,-0.5715653095006978,-0.40640994939739494,0.8601221959632356,Ovary/Fallopian Tube
PNKP,-0.35142128597524014,0.11622355488751138,13,78,-0.644510683861805,-0.4901544373609793,0.8782151549464671,Lymphoid
