treatment_id,drug_name,cohens_d,p_value,n_lost,n_intact,median_sens_lost,median_sens_intact,fdr
BRD:BRD-K99023089-001-03-7,,-0.9276,4.0596987497768496e-11,84,471,-0.8348,-0.1062,2.756535451098481e-07
BRD:BRD-K25325018-001-05-6,,-0.915,6.940890670327831e-08,75,393,-1.0566,-0.4691,6.732663950217997e-05
BRD:BRD-K71480163-001-01-4,,-0.8375,5.7766174226874605e-09,85,471,-0.4534,0.0938,1.961161615002393e-05
BRD:BRD-K32127727-001-04-2,,-0.7825,6.798320982114684e-08,75,393,-0.3825,-0.0879,6.732663950217997e-05
BRD:BRD-K25412176-001-01-9,,-0.7339,1.3784593579964816e-07,85,465,-0.5706,0.0244,0.00011209023788724033
BRD:BRD-K12040459-001-06-0,,-0.6509,1.4594672864768818e-06,85,468,-0.4376,0.0003,0.0007622909903983098
BRD:BRD-K76406695-001-02-9,,-0.6373,2.729654208047852e-07,85,469,-0.2987,0.0083,0.00018534352072644916
BRD:BRD-K67173685-001-06-9,,-0.637,2.176758174244118e-06,77,447,-0.4016,-0.0119,0.0010557277145083973
BRD:BRD-K73982490-001-02-9,,-0.5987,5.784217030885721e-06,85,463,-2.2242,-1.5055,0.0018522068093789522
BRD:BRD-K06543683-066-02-1,,-0.5946,4.691129250890467e-06,84,471,-0.7073,-0.1017,0.0016764614533445407
BRD:BRD-K25412176-001-04-9,GSK2110183,-0.5785,1.4857321663993565e-07,117,752,-0.6409,-0.3201,0.00011209023788724033
BRD:BRD-K53328210-001-04-4,,-0.5618,6.001259176191009e-06,74,393,-0.0706,0.052,0.0018522068093789522
BRD:BRD-K16180792-001-01-7,,-0.5614,1.6962558720928143e-05,85,451,-0.2451,0.1115,0.00442983745058085
BRD:BRD-K68938568-001-01-7,,-0.5407,6.595644443855284e-06,85,471,-0.2395,0.0955,0.001947148946685973
BRD:BRD-K21038058-001-01-9,,-0.5335,8.935734495140619e-05,75,393,-0.0141,0.1278,0.012859037343292317
