treatment_id,drug_name,cohens_d,p_value,n_lost,n_intact,median_sens_lost,median_sens_intact,fdr
BRD:BRD-A00047421-001-01-7,ARV-825,-0.1626,0.04307486246251558,118,756,-2.6041,-2.0572,0.4288538359537841
BRD:BRD-A00055058-001-01-0,,-0.0308,0.7117318247158955,85,451,-0.0086,-0.0261,0.9453558469915748
BRD:BRD-A00077618-236-07-6,,-0.2604,0.06352849671611656,85,468,-0.0939,0.0324,0.501779042150196
BRD:BRD-A00092689-236-04-9,docusate,-0.0073,0.8124934103969337,118,754,-0.0701,-0.11,0.9650209892770366
BRD:BRD-A00100033-001-08-9,,-0.1746,0.06252163034058442,85,473,-0.2481,-0.1704,0.501779042150196
BRD:BRD-A00147595-001-01-5,,0.0882,0.4937153848078909,85,468,0.1091,0.0695,0.8622371099499648
BRD:BRD-A00218260-001-03-4,,0.0898,0.47931112705511436,85,465,0.2664,0.2536,0.8571299849102519
BRD:BRD-A00376169-001-01-6,,0.0661,0.4904484187856093,85,465,-0.1691,-0.1674,0.8611095766254158
BRD:BRD-A00520476-001-07-4,,-0.0808,0.6481043154814689,85,468,0.2358,0.2578,0.9265714173350952
BRD:BRD-A00546892-001-02-6,,-0.0725,0.5336611172674217,85,468,0.1475,0.1555,0.8784578834508685
BRD:BRD-A00559310-003-01-1,W-54011,0.0067,0.7107489744035848,118,754,-0.2013,-0.19,0.9449746497357236
BRD:BRD-A00578795-001-04-3,,-0.1388,0.3443843080389455,85,473,-0.4186,-0.3699,0.7999251352665686
BRD:BRD-A00758722-001-04-9,,-0.236,0.06791977713730643,78,457,-0.9619,-0.855,0.5129869708145837
BRD:BRD-A00827783-001-24-6,,-0.119,0.2707528144818664,85,468,0.1969,0.2325,0.7657969197515594
BRD:BRD-A00842753-001-01-9,,-0.182,0.04347687974397704,84,451,0.0191,0.1053,0.4315906629555616
BRD:BRD-A00993607-003-24-6,,0.3211,0.007276983160560965,85,473,0.2493,0.1461,0.18645553079324131
BRD:BRD-A01098288-001-02-9,,-0.089,0.7597438545384005,84,458,0.0561,0.0532,0.9576129148534879
BRD:BRD-A01307728-001-01-4,,-0.1951,0.25178562303033236,74,393,0.1983,0.2264,0.7528068605794613
BRD:BRD-A01412266-001-01-0,,-0.0643,0.34733776845152264,85,463,-0.0289,0.0242,0.8017095663217604
BRD:BRD-A01493904-003-12-1,,-0.0524,0.4725857129467854,84,471,-0.2707,-0.2237,0.856450282777626
BRD:BRD-A01563671-001-02-7,,0.1188,0.23031213122555827,85,465,0.2874,0.2583,0.7314403045002529
BRD:BRD-A01593789-001-03-1,,0.0863,0.4809404764777311,85,469,-0.0235,-0.0956,0.8592337593770221
BRD:BRD-A01636364-003-15-1,,-0.1354,0.2402413934003177,85,468,0.1211,0.1552,0.7424847216701868
BRD:BRD-A01643550-001-04-9,,-0.2944,0.03878500241646687,78,457,-0.4636,-0.3782,0.4054966679794264
