cancer_type,drug,mechanism,stratum,cohens_d,p_value,n_lost,n_intact,median_sens_lost,median_sens_intact,fdr
Pan-cancer (pooled),GSK2110183,AKT inhibitor (afuresertib),all,-0.7339,1.3784593579964816e-07,85,465,-0.5706,0.0244,1.0751982992372556e-05
Uterus,GSK2110183,AKT inhibitor (afuresertib),all,-1.9703,0.000183555843806214,15,8,-1.3901,-0.172,0.0023862259694807817
CNS/Brain,GSK2110183,AKT inhibitor (afuresertib),all,-0.4118,0.15349804320678875,22,18,-0.2465,0.2041,0.48532094443310375
Skin,GSK2110183,AKT inhibitor (afuresertib),all,-0.9917,0.009928238587987713,13,30,-0.1516,0.3865,0.09680032623288021
Breast,GSK2110183,AKT inhibitor (afuresertib),all,-0.4489,0.4613165095773791,7,19,-0.5038,-0.6376,0.7759548231753111
Bowel,GSK2110183,AKT inhibitor (afuresertib),all,-0.3039,0.39104897697778673,5,28,-0.7359,-0.3929,0.7429948332095161
Ovary/Fallopian Tube,GSK2110183,AKT inhibitor (afuresertib),all,-1.6789,0.001922759275700452,6,31,-1.8749,-0.0568,0.02142503192923361
Lung,GSK2110183,AKT inhibitor (afuresertib),all,-0.3595,0.9248847617772507,4,95,0.2269,0.1626,0.9490218174428702
Esophagus/Stomach,GSK2110183,AKT inhibitor (afuresertib),all,0.0729,0.9302325581395349,3,41,-0.6847,-0.3819,0.9490218174428702
Pan-cancer (pooled),triciribine-phosphate,AKT inhibitor,all,0.403,6.004045081704114e-05,117,752,-0.3217,-0.6077,0.0011707887909323024
Uterus,triciribine-phosphate,AKT inhibitor,all,-0.3586,0.25120973331831375,19,14,-0.7623,-0.4451,0.6756675585802923
CNS/Brain,triciribine-phosphate,AKT inhibitor,all,0.1964,0.45294335100823446,29,30,-0.2213,-0.3864,0.7759548231753111
Skin,triciribine-phosphate,AKT inhibitor,all,0.4857,0.09767571165744951,15,37,-0.0866,-0.4334,0.4481591476047684
Breast,triciribine-phosphate,AKT inhibitor,all,1.2469,0.00011579818031430935,8,24,0.1096,-0.8363,0.001806451612903226
Bowel,triciribine-phosphate,AKT inhibitor,all,0.8118,0.04734592892487629,5,35,0.0374,-0.4538,0.2637844611528822
Ovary/Fallopian Tube,triciribine-phosphate,AKT inhibitor,all,-0.1368,0.4675625216569182,7,36,-1.2758,-0.722,0.7759548231753111
Lymphoid,triciribine-phosphate,AKT inhibitor,all,0.2244,0.651363416170128,9,68,-0.3243,-0.5608,0.8759714907115516
Lung,triciribine-phosphate,AKT inhibitor,all,0.5556,0.14175145552409643,5,113,0.017,-0.5684,0.48072232742954446
Esophagus/Stomach,triciribine-phosphate,AKT inhibitor,all,0.5281,0.4863636363636363,3,53,0.1012,-0.9615,0.7903409090909089
Pan-cancer (pooled),wortmannin,"PI3K inhibitor (pan, research tool)",all,0.0746,0.7646653965588365,118,756,-0.7271,-0.7413,0.9319359520560819
Uterus,wortmannin,"PI3K inhibitor (pan, research tool)",all,-0.5167,0.039584027493755475,19,14,-1.0367,-0.4236,0.23750416496253285
CNS/Brain,wortmannin,"PI3K inhibitor (pan, research tool)",all,0.2259,0.31959863555900825,29,29,-0.4037,-0.6818,0.730986412669211
