cancer_type,depmap_lineage,pten_loss_pct,estimated_patients,dep_gene,dep_d,dep_fdr,dep_classification,dep_source,priority_score
BRCA,Breast,6.0,18643,PIK3CB,-2.2288,0.0003558283547684,ROBUST,lineage-specific,21.92
SKCM,Skin,12.0,12076,PIK3CB,-1.4971,0.0021962609820417,ROBUST,lineage-specific,14.07
LUAD,Lung,6.0,3526,PIK3CB,-1.3042,0.1783207204739239,NOT_SIGNIFICANT,lineage-specific,10.65
LUSC,Lung,5.0,2938,PIK3CB,-1.3042,0.1783207204739239,NOT_SIGNIFICANT,lineage-specific,10.41
STAD,Esophagus/Stomach,7.0,1882,PIK3CB,-1.0902,0.532865452378177,NOT_SIGNIFICANT,lineage-specific,8.22
ESCA,Esophagus/Stomach,5.0,1118,PIK3CB,-1.0902,0.532865452378177,NOT_SIGNIFICANT,lineage-specific,7.65
UCEC,Uterus,65.0,44122,PIK3CB,0.3816,0.532865452378177,NOT_SIGNIFICANT,lineage-specific,4.08
DLBC,Lymphoid,5.0,4031,PIK3CB,-0.48,0.5189576869188639,NOT_SIGNIFICANT,lineage-specific,3.98
UCS,Uterus,35.0,1750,PIK3CB,0.3816,0.532865452378177,NOT_SIGNIFICANT,lineage-specific,2.85
GBM,CNS/Brain,36.0,5040,PIK3CB,-0.3232,0.3232249445018363,NOT_SIGNIFICANT,lineage-specific,2.76
COADREAD,Bowel,7.0,10696,PIK3CB,-0.2598,0.9248759110365152,NOT_SIGNIFICANT,lineage-specific,2.41
OV,Ovary/Fallopian Tube,6.0,1180,PIK3CB,0.1724,0.8289604398663645,NOT_SIGNIFICANT,lineage-specific,1.22
BLCA,Bladder/Urinary Tract,10.0,8319,PIK3CB,0.0,,POOLED_ESTIMATE,pan-cancer pooled,0.0
PRAD,Prostate,20.0,57660,PIK3CB,0.0,,POOLED_ESTIMATE,pan-cancer pooled,0.0
HNSC,Head and Neck,3.0,1753,PIK3CB,0.0,,POOLED_ESTIMATE,pan-cancer pooled,0.0
KIRC,Kidney,3.0,2454,PIK3CB,0.0,,POOLED_ESTIMATE,pan-cancer pooled,0.0
LIHC,Liver,3.0,1236,PIK3CB,0.0,,POOLED_ESTIMATE,pan-cancer pooled,0.0
PAAD,Pancreas,1.5,996,PIK3CB,0.0,,POOLED_ESTIMATE,pan-cancer pooled,0.0
THCA,Thyroid,1.0,440,PIK3CB,0.0,,POOLED_ESTIMATE,pan-cancer pooled,0.0
