cancer_type,gene,n_lost,n_intact,cohens_d,ci_lower,ci_upper,pvalue,permutation_p,loo_robust,loo_min_abs_d,median_dep_lost,median_dep_intact,fdr,classification
Bladder/Urinary Tract,CDK4,19,15,1.0603,0.5052,1.7872,0.03742805512406301,0.0033,True,1.0034,-0.482,-0.9072,0.09481773964762628,MARGINAL
Bladder/Urinary Tract,CDK6,19,15,0.9163,0.2497,1.9495,0.0113426570420158,0.0134,True,0.8564,-0.1118,-0.7136,0.035918413966383365,ROBUST
Lung,CDK4,50,73,0.3381,-0.0382,0.6932,0.058450613489312804,0.0638,True,0.3135,-0.4941,-0.5762,0.13882020703711792,NOT_SIGNIFICANT
Lung,CDK6,50,73,0.9633,0.6457,1.3968,9.181709198944638e-08,0.0001,True,0.9423,-0.1293,-0.5911,3.4890494955989625e-06,ROBUST
Breast,CDK4,22,28,0.6515,0.1123,1.3226,0.005038294270536491,0.024,True,0.6002,-0.5293,-1.2576,0.027350740325769524,ROBUST
Breast,CDK6,22,28,0.4954,-0.06,1.2019,0.017567718273733036,0.0891,True,0.4452,-0.0734,-0.2477,0.051351791877065796,NOT_SIGNIFICANT
Liver,CDK4,11,13,1.3565,0.6864,2.4809,0.003769572063417651,0.0043,True,1.2702,-0.4288,-1.0069,0.02387395640164512,ROBUST
Liver,CDK6,11,13,0.3623,-0.4269,1.3594,0.24656588363440923,0.3867,True,0.2415,-0.2217,-0.3152,0.38990104869938674,NOT_SIGNIFICANT
Uterus,CDK4,19,15,0.4064,-0.2006,1.3035,0.08287906644281605,0.2558,True,0.3248,-0.4545,-0.7686,0.174966918045945,NOT_SIGNIFICANT
Uterus,CDK6,19,15,0.9087,0.2745,1.7014,0.0014179860994718411,0.0065,True,0.8568,0.0284,-0.1705,0.01347086794498249,ROBUST
Eye,CDK4,5,10,0.8288,-0.1052,2.4473,0.2544122544122544,0.1522,True,0.5758,-0.8315,-1.4248,0.38990104869938674,NOT_SIGNIFICANT
Eye,CDK6,5,10,0.8772,-0.2801,2.786,0.07525807525807525,0.135,True,0.6305,-0.2076,-0.4315,0.16822393292981525,NOT_SIGNIFICANT
Ovary/Fallopian Tube,CDK4,22,35,0.4018,-0.1482,1.2188,0.007360285339384541,0.1487,True,0.364,-0.429,-0.5995,0.03107676032184584,MARGINAL
Ovary/Fallopian Tube,CDK6,22,35,0.8344,0.3227,1.3985,0.009373356756442089,0.0038,True,0.7904,-0.0283,-0.3783,0.03413868049516295,ROBUST
Cervix,CDK4,7,11,-0.1873,-1.1602,1.0978,0.9999999999999999,0.7051,False,0.1873,-0.4703,-0.4614,1.0,NOT_SIGNIFICANT
Cervix,CDK6,7,11,-0.6348,-1.4275,0.5313,0.4789467068878833,0.1733,True,0.1479,-0.0595,-0.0305,0.627585340059985,NOT_SIGNIFICANT
Bone,CDK4,15,26,0.9232,0.2963,1.7051,0.002326862779104847,0.0067,True,0.8655,-0.3967,-1.1927,0.017684157121196836,ROBUST
Bone,CDK6,15,26,0.287,-0.3339,0.7445,0.7762576671816586,0.3932,True,0.2281,-0.0338,-0.0278,0.8675820986147948,NOT_SIGNIFICANT
CNS/Brain,CDK4,21,62,0.9521,0.643,1.2561,0.00010406585644339843,0.0007,True,0.8951,-0.3657,-0.6196,0.0013181675149497134,ROBUST
CNS/Brain,CDK6,21,62,1.1847,0.5271,1.994,9.161384298382565e-06,0.0001,True,1.1351,-0.0789,-0.7768,0.00017406630166926873,ROBUST
Lymphoid,CDK4,20,72,0.3644,-0.1053,0.7785,0.22383832259548475,0.1531,True,0.2919,-0.4792,-0.4817,0.38990104869938674,NOT_SIGNIFICANT
Lymphoid,CDK6,20,72,0.5492,0.0581,1.0774,0.03437391934969514,0.0345,True,0.4801,-0.4634,-0.9918,0.0933006382348868,MARGINAL
Esophagus/Stomach,CDK4,15,48,0.5336,0.2191,0.8411,0.27603194344630966,0.0743,True,0.4698,-0.5037,-0.5371,0.40343130195999105,NOT_SIGNIFICANT
