cancer_type,gene,n_lost,n_intact,cohens_d,ci_lower,ci_upper,pvalue,permutation_p,loo_robust,loo_min_abs_d,median_dep_lost,median_dep_intact,fdr,classification
Bladder/Urinary Tract,CDK2,19,15,-0.6481,-1.5009,-0.034,0.056437511486574006,0.0707,True,0.5732,-0.8647,-0.6631,0.6305152596018905,NOT_SIGNIFICANT
Bladder/Urinary Tract,AURKA,19,15,-0.231,-0.972,0.528,0.8623197383894363,0.4999,True,0.1336,-1.1723,-1.2073,0.9931583979854626,NOT_SIGNIFICANT
Bladder/Urinary Tract,AURKB,19,15,-0.2232,-1.3405,0.4281,0.11060441517159582,0.5558,True,0.1614,-2.1132,-1.8866,0.6305152596018905,NOT_SIGNIFICANT
Bladder/Urinary Tract,CHEK1,19,15,-0.3364,-1.1092,0.3563,0.2822778715158214,0.3413,True,0.2055,-1.8092,-1.7095,0.8255987921371906,NOT_SIGNIFICANT
Bladder/Urinary Tract,WEE1,19,15,0.0676,-0.6433,0.6736,0.9171271330679152,0.8585,False,0.0069,-2.9247,-2.9299,0.9931583979854626,NOT_SIGNIFICANT
Bladder/Urinary Tract,CSNK2A1,19,15,-0.7743,-1.5599,-0.1202,0.06107424929534125,0.0312,True,0.7133,-0.081,0.0563,0.6305152596018905,MARGINAL
Bladder/Urinary Tract,TTK,19,15,0.5333,-0.1406,1.2141,0.17615419028970092,0.1377,True,0.4423,-0.6524,-0.8336,0.7038205277303086,NOT_SIGNIFICANT
Bladder/Urinary Tract,FOXM1,19,15,0.2865,-0.3977,1.0807,0.5554355294984896,0.4019,True,0.2144,-0.2508,-0.3586,0.8663136243670473,NOT_SIGNIFICANT
Bladder/Urinary Tract,MYBL2,19,15,0.0425,-0.6976,0.6484,0.9171271330679152,0.9036,True,0.001,-0.6564,-0.6133,0.9931583979854626,NOT_SIGNIFICANT
Bladder/Urinary Tract,ATR,19,15,-0.6394,-1.475,-0.0204,0.11857143244439365,0.0733,True,0.5597,-1.1226,-1.0192,0.6305152596018905,NOT_SIGNIFICANT
Bladder/Urinary Tract,PKMYT1,19,15,-0.2967,-0.9655,0.3721,0.6772543048794241,0.3973,True,0.1923,-1.3954,-1.2744,0.9132009659341911,NOT_SIGNIFICANT
Lung,CDK2,50,73,-0.4248,-0.8182,-0.0488,0.05130218155970841,0.0218,True,0.3651,-0.89,-0.7727,0.6305152596018905,MARGINAL
Lung,AURKA,50,73,-0.2282,-0.6021,0.1366,0.1953186153509947,0.2206,True,0.1964,-1.4906,-1.3557,0.7038205277303086,NOT_SIGNIFICANT
Lung,AURKB,50,73,-0.2897,-0.6193,0.0571,0.12683183166256465,0.1159,True,0.2529,-2.1852,-2.0766,0.6305152596018905,NOT_SIGNIFICANT
Lung,CHEK1,50,73,0.2638,-0.0869,0.6115,0.26494242010442937,0.1543,True,0.2126,-1.7811,-1.8486,0.8064929594433755,NOT_SIGNIFICANT
Lung,WEE1,50,73,0.3014,-0.0832,0.6443,0.40855771762722504,0.1046,True,0.2431,-2.8615,-2.8217,0.845437049938457,NOT_SIGNIFICANT
Lung,CSNK2A1,50,73,0.0303,-0.3129,0.4055,0.9445811469793411,0.8723,True,0.0038,-0.0616,-0.0278,0.9938792990351317,NOT_SIGNIFICANT
Lung,TTK,50,73,-0.3163,-0.6797,0.0485,0.059139623959104035,0.0914,True,0.2753,-0.8776,-0.7823,0.6305152596018905,NOT_SIGNIFICANT
Lung,FOXM1,50,73,0.1047,-0.2331,0.4902,0.5869696779737955,0.5781,True,0.0665,-0.2925,-0.3084,0.8674067279414213,NOT_SIGNIFICANT
Lung,MYBL2,50,73,-0.2865,-0.6286,0.0462,0.1193257263145405,0.1142,True,0.2433,-0.5646,-0.4625,0.6305152596018905,NOT_SIGNIFICANT
Lung,ATR,50,73,-0.0246,-0.3784,0.3413,0.6229022101797522,0.8914,True,0.0005,-1.1387,-1.1488,0.8737353149501222,NOT_SIGNIFICANT
Lung,PKMYT1,50,73,0.3183,-0.0307,0.6756,0.13877369350089455,0.0878,True,0.2847,-1.1607,-1.3013,0.6305152596018905,NOT_SIGNIFICANT
Breast,CDK2,22,28,-0.0544,-0.5799,0.6317,0.5511121866916194,0.8511,True,0.004,-0.7093,-0.7651,0.8660334362296876,NOT_SIGNIFICANT
Breast,AURKA,22,28,-0.0462,-0.5735,0.5477,0.8989115061361105,0.876,False,0.0125,-1.4224,-1.3713,0.9931583979854626,NOT_SIGNIFICANT
Breast,AURKB,22,28,0.2925,-0.2612,0.9421,0.3634559127311593,0.322,True,0.1511,-2.0406,-2.1025,0.845437049938457,NOT_SIGNIFICANT
Breast,CHEK1,22,28,-0.3136,-0.8897,0.2158,0.3333281982581736,0.2791,True,0.2097,-2.026,-1.9126,0.8406587537498432,NOT_SIGNIFICANT
Breast,WEE1,22,28,0.0297,-0.5188,0.5549,0.8989115061361105,0.9206,True,0.0085,-2.8724,-2.8386,0.9931583979854626,NOT_SIGNIFICANT
Breast,CSNK2A1,22,28,0.0518,-0.5,0.6227,0.7619407670310702,0.8608,True,0.0008,-0.1307,-0.1725,0.9644831337782458,NOT_SIGNIFICANT
Breast,TTK,22,28,0.4091,-0.1251,0.9993,0.4401197187985286,0.1583,True,0.3164,-0.724,-0.7375,0.845437049938457,NOT_SIGNIFICANT
Breast,FOXM1,22,28,0.0397,-0.5605,0.6263,1.0,0.8874,True,0.0002,-0.2969,-0.2224,1.0,NOT_SIGNIFICANT
Breast,MYBL2,22,28,0.0588,-0.5404,0.6195,0.9143983329428436,0.8418,True,0.0037,-0.3997,-0.3942,0.9931583979854626,NOT_SIGNIFICANT
Breast,ATR,22,28,-0.2824,-0.833,0.2965,0.5381331716109485,0.3299,True,0.1658,-1.1382,-1.204,0.8575655048819677,NOT_SIGNIFICANT
Breast,PKMYT1,22,28,0.1687,-0.4559,0.6917,0.992203165194386,0.5562,True,0.0397,-1.3888,-1.343,1.0,NOT_SIGNIFICANT
Liver,CDK2,11,13,-0.5803,-1.952,0.184,0.03206076486258882,0.1677,True,0.428,-0.8723,-0.6592,0.6305152596018905,NOT_SIGNIFICANT
Liver,AURKA,11,13,-0.2442,-1.157,0.4551,0.41730156001282215,0.5602,True,0.131,-1.2537,-1.2288,0.845437049938457,NOT_SIGNIFICANT
Liver,AURKB,11,13,-0.2824,-1.2456,0.4346,0.29701414425804706,0.4963,True,0.1043,-1.9528,-1.9006,0.8388642722963762,NOT_SIGNIFICANT
Liver,CHEK1,11,13,-0.8146,-1.6413,-0.053,0.09292622215469837,0.0618,True,0.7172,-1.9859,-1.6532,0.6305152596018905,NOT_SIGNIFICANT
Liver,WEE1,11,13,0.6629,-0.1057,1.5904,0.16438404758801328,0.1194,True,0.5209,-2.6657,-3.0194,0.7038205277303086,NOT_SIGNIFICANT
Liver,CSNK2A1,11,13,0.3279,-0.4375,1.0639,0.9537991725415175,0.4281,True,0.1963,-0.0876,0.0047,0.9938792990351317,NOT_SIGNIFICANT
Liver,TTK,11,13,-0.4296,-1.1758,0.3656,0.5239281449175213,0.3055,True,0.2869,-0.7388,-0.6806,0.8493059326549665,NOT_SIGNIFICANT
Liver,FOXM1,11,13,-0.1092,-1.1477,0.6244,0.48690581626049245,0.7941,True,0.028,-0.3728,-0.2021,0.845437049938457,NOT_SIGNIFICANT
Liver,MYBL2,11,13,-0.5904,-1.5111,0.1594,0.1826826235708774,0.158,True,0.4472,-0.4273,-0.3639,0.7038205277303086,NOT_SIGNIFICANT
