gene,pancancer_d,n_cancer_types,cancer_types,known_rb1_sl,pathway_gene
SKP2,-0.7312,1,Lung,False,True
E2F3,-0.7049,2,CNS/Brain;Lung,False,True
CCNE1,-0.6095,1,CNS/Brain,False,True
CDK2,-0.5239,0,,True,True
CKS1B,-0.5201,1,Lung,False,False
TADA2A,-0.423,0,,False,False
CCNE2,-0.4031,0,,False,True
YEATS2,-0.3857,0,,False,False
ZZZ3,-0.3849,0,,False,False
ZC3H13,-0.3494,0,,False,False
OR7D2,-0.3258,0,,False,False
VPS36,-0.317,0,,False,False
CHD8,-0.3159,0,,False,False
PPP1R15B,-0.3152,0,,False,False
ESS2,-0.3047,0,,False,False
WFDC9,-0.3042,0,,False,False
