treatment_id,drug_name,cohens_d,p_value,n_lost,n_intact,median_sens_lost,median_sens_intact,fdr
BRD:BRD-A00047421-001-01-7,,-0.1436,0.141990638241151,250,629,-2.2278,-2.061,0.9028250373364154
BRD:BRD-A00055058-001-01-0,,-0.0944,0.30602626326631666,155,381,-0.0506,0.0024,0.9385233837114426
BRD:BRD-A00077618-236-07-6,,0.0521,0.39915455716520687,156,395,0.0613,-0.0114,0.9541443117508334
BRD:BRD-A00092689-236-04-9,,0.0267,0.8117737596067383,249,628,-0.1075,-0.1015,0.9879594898716858
BRD:BRD-A00100033-001-08-9,,-0.1332,0.3518791370012284,158,398,-0.209,-0.1829,0.9487268946748633
BRD:BRD-A00147595-001-01-5,,-0.0944,0.8161209784941716,156,395,0.0988,0.0742,0.9888947877537451
BRD:BRD-A00218260-001-03-4,,0.0662,0.6229035671486043,156,392,0.2532,0.2553,0.9753194268502591
BRD:BRD-A00376169-001-01-6,,-0.0302,0.5449579444368431,156,392,-0.1466,-0.1856,0.9705541501936746
BRD:BRD-A00520476-001-07-4,,0.0444,0.3968335726086136,156,395,0.2681,0.2475,0.9541443117508334
BRD:BRD-A00546892-001-02-6,,-0.0905,0.11391563223597614,156,395,0.1011,0.1836,0.8568754098927155
BRD:BRD-A00559310-003-01-1,,0.0536,0.7100656813162183,249,628,-0.1924,-0.1902,0.9809110261769779
BRD:BRD-A00578795-001-04-3,,0.0722,0.4848926079980438,157,399,-0.4114,-0.38,0.9613007174505539
BRD:BRD-A00758722-001-04-9,,-0.0323,0.4099018239211657,153,380,-0.8872,-0.8736,0.9544456962330533
BRD:BRD-A00827783-001-24-6,,-0.0128,0.5959192973476866,157,394,0.2599,0.2112,0.9749677468107714
BRD:BRD-A00842753-001-01-9,,0.0152,0.9495153656641958,154,381,0.0746,0.1003,0.9964399313440717
BRD:BRD-A00993607-003-24-6,,0.0126,0.6917831691694387,157,399,0.1652,0.1586,0.9777701329434824
BRD:BRD-A01098288-001-02-9,,-0.0598,0.8313306224380519,153,387,0.0524,0.0667,0.9921137999230967
BRD:BRD-A01307728-001-01-4,,-0.0667,0.7437970075346687,132,338,0.221,0.2248,0.9817281184141515
BRD:BRD-A01412266-001-01-0,,0.0737,0.4667359334655712,152,394,0.0171,0.0026,0.959430815512415
BRD:BRD-A01493904-003-12-1,,0.1334,0.1681268060077441,156,397,-0.1713,-0.2497,0.9217600959236736
BRD:BRD-A01563671-001-02-7,,-0.1711,0.11009206894172707,156,392,0.2228,0.2759,0.8559699215399703
BRD:BRD-A01593789-001-03-1,,0.0935,0.295936962161658,156,396,-0.0418,-0.0902,0.9382596816998369
BRD:BRD-A01636364-003-15-1,,0.0929,0.5663248866649528,156,395,0.1752,0.1419,0.9705541501936746
BRD:BRD-A01643550-001-04-9,,0.0466,0.6412399227067225,153,380,-0.3782,-0.4138,0.9753194268502591
BRD:BRD-A01787639-003-16-9,,-0.0135,0.942568430166519,156,392,0.0388,0.0046,0.9964399313440717
BRD:BRD-A01907367-001-01-7,,-0.1223,0.4449571743584949,157,394,-0.1403,-0.1543,0.9572404656692337
BRD:BRD-A02006392-001-16-4,,-0.1403,0.08086044908416688,158,398,-0.1535,-0.0765,0.8016900385718978
BRD:BRD-A02180903-001-04-5,,0.1888,0.02323107794190058,157,394,0.3212,0.2287,0.6202289519443486
BRD:BRD-A02232681-001-01-8,,-0.0557,0.8032583879444793,155,381,-0.0267,-0.0371,0.9861840533324837
BRD:BRD-A02473266-001-01-1,,-0.2309,0.024031999445583527,134,337,-2.7676,-2.4237,0.630028093573406
BRD:BRD-A02532772-003-01-7,,0.058,0.45689965027761514,132,338,0.0499,0.0351,0.9575150078348786
BRD:BRD-A02710418-003-11-8,,0.1218,0.4054532763424342,156,392,-0.2737,-0.2773,0.9541443117508334
BRD:BRD-A02743701-001-03-6,,0.0983,0.21250886441409833,156,396,-0.0111,-0.0442,0.9217600959236736
BRD:BRD-A02759312-003-24-5,,0.2409,0.006799195825410048,156,397,0.3181,0.2344,0.44328135605302527
BRD:BRD-A02933148-001-01-8,,-0.245,0.021955753740042775,134,337,0.2364,0.3102,0.6202289519443486
BRD:BRD-A02971356-001-09-9,,-0.0043,0.8365703538767979,250,629,0.058,0.0116,0.9925410978199297
BRD:BRD-A02990301-003-06-6,,-0.0269,0.7445837449988284,156,395,-0.4881,-0.4803,0.9817281184141515
BRD:BRD-A03061970-003-07-3,,0.0522,0.6155291684769073,156,395,-0.0192,-0.0334,0.9753194268502591
BRD:BRD-A03204438-001-01-2,,0.0228,0.8745005703398518,134,337,0.1311,0.1133,0.9945722867985088
BRD:BRD-A03216249-003-24-3,,0.0304,0.8435647983617316,154,395,-0.4831,-0.4204,0.9945722867985088
BRD:BRD-A03359064-001-02-3,,-0.0117,0.696902280221932,156,392,0.2732,0.2291,0.9798266574425838
BRD:BRD-A03506276-001-01-5,,-0.037,0.7894792566315934,156,395,-3.8081,-3.7698,0.9847147370209499
BRD:BRD-A03623303-045-09-5,,-0.043,0.583330851760278,156,395,-0.9309,-0.8793,0.9705541501936746
BRD:BRD-A03880619-001-01-0,,0.0038,0.9956235002564113,148,373,0.1384,0.1634,0.9990074725492881
BRD:BRD-A03932035-004-04-3,,0.0939,0.3665138979597057,153,380,-0.125,-0.2112,0.9487268946748633
BRD:BRD-A04203391-001-08-3,,0.1931,0.09615830164948833,158,398,0.0257,0.0138,0.8254402421809436
BRD:BRD-A04252265-003-01-4,,-0.0371,0.6050326730595005,152,394,-0.0144,-0.0111,0.9753194268502591
BRD:BRD-A04322457-003-17-9,,-0.1064,0.4080778774773205,157,394,0.1814,0.2137,0.9541443117508334
BRD:BRD-A04327189-001-15-1,,0.0176,0.9846320926820619,156,396,-0.114,-0.0927,0.9980078969037864
BRD:BRD-A04327189-003-03-3,,-0.0031,0.8983390447400046,153,380,0.0866,0.0814,0.9955479212966591
BRD:BRD-A04352665-001-05-3,,0.0731,0.4084903409879347,153,380,0.2422,0.2129,0.9541443117508334
BRD:BRD-A04447196-001-01-8,,0.0267,0.6265580860977298,155,381,0.0458,0.0166,0.9753194268502591
BRD:BRD-A04497688-001-04-2,,0.0561,0.47141322895673876,156,395,0.182,0.1235,0.959430815512415
BRD:BRD-A04506385-001-01-2,,-0.3824,0.0004169344453743498,152,392,-0.3365,-0.2269,0.10888403400353212
BRD:BRD-A04553218-050-16-2,,0.0804,0.464494040921531,156,395,0.1055,0.0968,0.959430815512415
BRD:BRD-A04649065-001-01-7,,0.0248,0.6615185711091442,134,337,0.1201,0.1097,0.9753194268502591
BRD:BRD-A04661934-001-02-9,,-0.0787,0.2548120460492419,158,398,-0.0732,-0.0234,0.9221202454077023
BRD:BRD-A04843135-001-09-9,,0.1169,0.1169355412593596,242,617,-0.0168,-0.0624,0.8586747893532097
BRD:BRD-A04971881-003-01-3,,0.0914,0.24464340946278829,154,381,0.1242,0.0997,0.9221202454077023
BRD:BRD-A05186015-003-19-8,,-0.0523,0.39452075006292675,156,395,0.185,0.2187,0.9536023158321674
BRD:BRD-A05334458-001-02-8,,-0.0144,0.87329120607207,156,395,0.3573,0.3324,0.9945722867985088
BRD:BRD-A05457250-001-08-4,,0.0593,0.58212264049942,156,398,-0.3234,-0.3399,0.9705541501936746
BRD:BRD-A05515753-001-03-2,,0.0613,0.40405858800320993,157,394,0.0847,0.0842,0.9541443117508334
BRD:BRD-A05523972-001-01-5,,0.0295,0.9122663451085196,156,395,0.2516,0.2451,0.9956935167913216
BRD:BRD-A05674712-001-06-0,,0.0131,0.7634559324079241,148,375,0.0731,0.074,0.982557516215774
BRD:BRD-A05729358-001-02-0,,-0.0324,0.7329286281626353,156,395,-0.0212,-0.018,0.9809110261769779
BRD:BRD-A05906449-004-01-1,,-0.076,0.3374249950002707,156,392,0.1525,0.1837,0.9467399593475654
BRD:BRD-A06352418-001-25-9,,0.1315,0.3074798510980703,153,380,-0.3756,-0.4058,0.9385233837114426
BRD:BRD-A06352508-001-03-7,,0.0988,0.2792827040993249,156,396,-0.2208,-0.3341,0.9321010663611853
BRD:BRD-A06390036-001-04-6,,0.0913,0.3738354103775342,156,396,0.1483,0.132,0.9487268946748633
BRD:BRD-A06426627-001-03-5,,-0.0841,0.19980418457008653,156,392,-0.5206,-0.4631,0.9217600959236736
BRD:BRD-A06627858-236-03-0,,-0.0024,0.9581686004372265,156,396,-2.5154,-2.4884,0.9964399313440717
BRD:BRD-A06771424-004-01-7,,-0.0081,0.7811097056947863,153,387,0.0652,0.0445,0.9835206034909428
BRD:BRD-A06784547-001-03-9,,0.0985,0.23645572912464452,249,628,0.0383,0.0215,0.9217600959236736
BRD:BRD-A06916187-001-02-9,,-0.0551,0.6795318326566193,156,395,0.1716,0.1508,0.977592701671885
BRD:BRD-A06935312-001-04-3,,0.1693,0.05722657601576898,156,395,0.2519,0.188,0.7623855922452798
BRD:BRD-A07000685-001-04-4,,0.1283,0.21677791242838285,157,394,0.3062,0.2797,0.9217600959236736
BRD:BRD-A07164067-001-01-2,,0.1648,0.16041482299683463,156,397,0.0788,0.0631,0.9217600959236736
BRD:BRD-A07207424-001-13-2,,0.0844,0.5229034946902875,158,398,-0.2811,-0.3064,0.9695020513306329
BRD:BRD-A07232941-001-02-7,,0.0234,0.6476312134129056,156,395,0.1474,0.0877,0.9753194268502591
BRD:BRD-A07395371-003-10-0,,-0.1034,0.30178799860236494,156,395,0.248,0.2884,0.9385233837114426
BRD:BRD-A07440155-003-25-4,,-0.0519,0.6493397871196054,156,395,0.218,0.2354,0.9753194268502591
BRD:BRD-A07563059-035-01-3,,0.1819,0.0661937954042997,154,395,0.403,0.3418,0.7871381274872066
BRD:BRD-A07600638-060-05-2,,-0.0633,0.6222252275207103,153,380,-0.1439,-0.1488,0.9753194268502591
BRD:BRD-A07704283-001-01-3,,-0.1302,0.27295779173787604,154,395,0.0612,0.106,0.925130208142894
BRD:BRD-A07780951-001-08-9,,-0.0864,0.4982173323059865,157,394,0.3066,0.3279,0.9671206831278966
BRD:BRD-A07780951-065-10-0,,-0.0057,0.7821514504288629,148,373,0.1052,0.1256,0.9835206034909428
BRD:BRD-A07815743-001-01-1,,0.0842,0.29681027879962707,156,395,0.047,-0.0194,0.9385233837114426
BRD:BRD-A07870296-001-07-4,,0.133,0.049499100270229184,156,392,0.2671,0.1792,0.7494854866424232
BRD:BRD-A07893380-213-01-7,,0.0056,0.7356946550497269,148,375,-0.0368,-0.0502,0.9809110261769779
BRD:BRD-A07932845-050-15-8,,0.2501,0.0032919463874882117,158,397,0.0884,-0.0087,0.34388178416992243
BRD:BRD-A07947329-001-01-4,,-0.1864,0.03742445580539328,158,398,-0.1403,-0.0729,0.7082770029145828
BRD:BRD-A07986123-001-02-8,,0.0787,0.5142219402879238,151,379,-0.1622,-0.1798,0.9688837276728343
BRD:BRD-A08079565-001-01-8,,-0.1508,0.18923046123348986,153,387,-0.1685,-0.1286,0.9217600959236736
BRD:BRD-A08187463-001-12-9,,-0.0631,0.5331159355191157,153,380,-0.1798,-0.1349,0.9705541501936746
BRD:BRD-A08255417-001-14-7,,-0.0254,0.7055556476366658,156,396,0.1522,0.189,0.9809110261769779
BRD:BRD-A08302182-001-01-7,,0.1568,0.11621150619886425,156,392,-0.0787,-0.1243,0.8586747893532097
BRD:BRD-A08316590-001-01-3,,0.0956,0.4555666374716929,155,381,-0.0353,-0.036,0.9575150078348786
BRD:BRD-A08545410-003-07-8,,-0.0519,0.45134950836757726,148,375,0.2077,0.2734,0.9572404656692337
BRD:BRD-A08545410-003-08-6,,0.0191,0.83416674283888,157,399,-0.086,-0.0921,0.9922932367338274
BRD:BRD-A08545410-311-01-8,,0.1025,0.20172029837911332,153,380,-0.0881,-0.1602,0.9217600959236736
BRD:BRD-A08545410-311-03-4,,-0.0129,0.8494522367254511,148,375,-0.7786,-0.8642,0.9945722867985088
BRD:BRD-A08641215-065-05-5,,0.0008,0.780747156747212,249,628,0.0235,0.0397,0.9835206034909428
BRD:BRD-A08660406-001-05-9,,0.1474,0.1995514764170344,148,360,-0.4404,-0.5365,0.9217600959236736
BRD:BRD-A08715367-001-01-7,,-0.0196,0.8729382562128889,156,392,-0.2755,-0.3201,0.9945722867985088
BRD:BRD-A08772153-001-02-4,,-0.0489,0.5681003337336841,155,381,0.037,0.079,0.9705541501936746
BRD:BRD-A08840375-001-01-3,,-0.0014,0.9511955111478605,153,387,-1.6217,-1.6613,0.9964399313440717
BRD:BRD-A09004963-001-01-3,,0.0826,0.3611201088306867,132,338,0.0975,0.0668,0.9487268946748633
BRD:BRD-A09056319-003-07-7,,-0.0188,0.9378781338449947,156,396,0.1439,0.1604,0.9964399313440717
BRD:BRD-A09062839-003-10-0,,-0.0178,0.8564682320444414,156,398,-0.0758,-0.0665,0.9945722867985088
BRD:BRD-A09094913-065-01-0,,0.0636,0.5183584744182759,157,394,-0.395,-0.3924,0.9688837276728343
BRD:BRD-A09349126-001-10-7,,-0.0462,0.30662069633676114,152,380,-0.5164,-0.4629,0.9385233837114426
BRD:BRD-A09368919-001-01-7,,0.0327,0.5112363062297278,134,337,0.2844,0.2569,0.9688837276728343
BRD:BRD-A09370961-001-01-0,,0.0083,0.8958794632842113,153,380,-0.4435,-0.4416,0.9954216258713459
BRD:BRD-A09467419-003-22-4,,-0.1634,0.2327293594751999,153,380,-0.2065,-0.1595,0.9217600959236736
BRD:BRD-A09472452-015-23-4,,0.0587,0.35024832997267497,153,380,-0.1441,-0.1799,0.9481428124655157
BRD:BRD-A09487507-001-03-9,,0.0092,0.5810968382744635,248,626,-0.0519,-0.0839,0.9705541501936746
BRD:BRD-A09533288-003-31-2,,0.0514,0.5972261772325764,153,379,0.0076,-0.0049,0.9751058066546667
BRD:BRD-A09554849-236-07-6,,-0.0265,0.6948267193863202,156,395,0.0794,0.1002,0.9794215122759216
BRD:BRD-A09722536-002-18-0,,0.0896,0.19409047214303865,157,394,0.3543,0.32,0.9217600959236736
BRD:BRD-A09735281-001-02-5,,-0.0725,0.4265049471208814,156,398,-0.0582,-0.0269,0.9572404656692337
BRD:BRD-A09828896-004-11-0,,0.1637,0.09106460207832323,156,398,-0.1057,-0.1789,0.8148154971351174
BRD:BRD-A09911125-001-01-4,,0.2407,0.011532699588018383,154,381,0.1651,0.0909,0.5108909837018896
BRD:BRD-A09925278-003-05-6,,0.1294,0.08167785306811622,158,398,-0.0582,-0.1261,0.8016900385718978
BRD:BRD-A10039652-001-01-2,,0.1427,0.138831387257205,151,370,-0.1148,-0.1827,0.8991953202197982
BRD:BRD-A10070317-003-28-3,,-0.0662,0.24210847568208993,153,380,-0.0046,0.0308,0.9221202454077023
BRD:BRD-A10111329-001-04-6,,0.1077,0.18666564625180537,157,394,0.0638,0.0163,0.9217600959236736
BRD:BRD-A10188456-001-04-9,,0.1743,0.0698592048983433,155,381,0.0646,0.0124,0.7879468459464303
BRD:BRD-A10420615-001-04-4,,0.0383,0.8126170059449476,156,392,0.2051,0.2343,0.9879594898716858
BRD:BRD-A10523515-001-07-9,,0.02,0.8728233019701914,156,395,-0.107,-0.0827,0.9945722867985088
BRD:BRD-A10652366-238-04-1,,-0.0465,0.6030702534458788,148,375,0.128,0.1404,0.9753194268502591
BRD:BRD-A10662413-043-11-2,,-0.1105,0.17943605067793011,156,392,0.0321,0.1157,0.9217600959236736
BRD:BRD-A10739734-003-10-6,,0.0499,0.6204718405348707,156,396,0.1876,0.1852,0.9753194268502591
BRD:BRD-A10773072-001-03-4,,0.0026,0.583117810108036,154,381,0.0858,0.0458,0.9705541501936746
BRD:BRD-A10903566-003-07-7,,0.0526,0.3941902179136806,153,380,-0.0318,-0.0508,0.9535541053775595
BRD:BRD-A10967948-003-06-3,,0.0326,0.753787779803544,153,380,-0.295,-0.2633,0.982557516215774
BRD:BRD-A10977446-001-12-1,,-0.1643,0.09365589971662538,153,380,-0.1929,-0.127,0.8184344389651047
