cancer_type,rb1_loss_patients,tp53_comut_pct,tp53_comut_patients,ccne1_amp_pct,ccne1_amp_patients,note
Retinoblastoma,300,50.0,150,3.0,9,
SCLC,28500,98.0,27930,5.0,1425,RB1+TP53 = SCLC hallmark
SARC_osteo,2340,80.0,1872,3.0,70,
BLCA_neuro,640,50.0,320,3.0,19,
PRAD_NEPC,2320,70.0,1624,3.0,69,
BLCA,14974,60.0,8984,8.0,1197,
BRCA_TNBC,5592,85.0,4753,15.0,838,CCNE1 amp intensifies CDK2 dep
PRAD,34596,50.0,17298,3.0,1037,
GBM,1400,30.0,420,3.0,42,
OV_HGSC,1096,96.0,1052,20.0,219,CCNE1 amp intensifies CDK2 dep
LUSC,4702,70.0,3291,3.0,141,
SARC,1087,50.0,543,3.0,32,
UCEC,4072,50.0,2036,10.0,407,
LIHC,2472,50.0,1236,3.0,74,
LUAD,2938,50.0,1469,3.0,88,
ESCA,1118,50.0,559,3.0,33,
PAAD,3322,50.0,1661,3.0,99,
STAD,1075,50.0,537,3.0,32,
HNSC,2338,70.0,1636,3.0,70,
SKCM,4025,50.0,2012,3.0,120,
COADREAD,4584,50.0,2292,3.0,137,
KIRC,1636,50.0,818,3.0,49,
