gene_1,gene_2,co_altered,gene_1_only,gene_2_only,neither,n_gene_1,n_gene_2,co_alt_pct,co_rate_of_smaller,odds_ratio,fisher_p,tendency,both_druggable,actionability_score,depmap_est_score,freq_rank,action_rank,depmap_rank,composite_rank,rank
MTAP,CDKN2A,891,17,483,10037,908,1374,7.797,98.13,1089.1447,0.0,co-occurrence,True,2,5,1.0,1.0,1.0,1.0,1
TP53,CDKN2A,581,3069,793,6985,3650,1374,5.084,42.29,1.6675,9.575440161387375e-18,co-occurrence,True,2,1,2.0,1.0,4.0,2.1,2
MTAP,TP53,326,582,3324,7196,908,3650,2.853,35.9,1.2126,0.00841780032728649,co-occurrence,True,2,1,3.0,1.0,4.0,2.6,3
PIK3CA,TP53,309,602,3341,7176,911,3650,2.704,33.92,1.1025,0.18256220892773473,co-occurrence,True,2,1,4.0,1.0,4.0,3.0999999999999996,4
RB1,TP53,245,151,3405,7627,396,3650,2.144,61.87,3.6343,2.3819405474458155e-35,co-occurrence,True,2,1,5.0,1.0,4.0,3.5999999999999996,5
PTEN,TP53,220,574,3430,7204,794,3650,1.925,27.71,0.805,0.008172143090207083,mutual_exclusivity,True,2,1,6.0,1.0,4.0,4.1,6
ARID1A,PTEN,189,452,605,10182,641,794,1.654,29.49,7.0372,3.384032106100453e-73,co-occurrence,True,2,1,7.0,1.0,4.0,4.6,7
ARID1A,TP53,183,458,3467,7320,641,3650,1.601,28.55,0.8436,0.06078576736821667,mutual_exclusivity,True,2,1,8.0,1.0,4.0,5.1,8
TP53,NF1,154,3496,214,7564,3650,368,1.348,41.85,1.557,5.170367230367896e-05,co-occurrence,True,2,1,9.0,1.0,4.0,5.6,9
ARID1A,PIK3CA,149,492,762,10025,641,911,1.304,23.24,3.9843,3.387608672766081e-35,co-occurrence,True,2,3,10.0,1.0,2.0,5.7,10
PIK3CA,PTEN,129,782,665,9852,911,794,1.129,16.25,2.4439,9.65124214130081e-16,co-occurrence,True,2,1,11.0,1.0,4.0,6.6,11
PTEN,CDKN2A,113,681,1261,9373,794,1374,0.989,14.23,1.2334,0.0542161432267284,co-occurrence,True,2,1,12.0,1.0,4.0,7.1,12
BRCA1_2,TP53,104,109,3546,7669,213,3650,0.91,48.83,2.0635,2.3975680138344526e-07,co-occurrence,True,2,1,13.0,1.0,4.0,7.6,13
MTAP,PTEN,87,821,707,9813,908,794,0.761,10.96,1.4708,0.0017185132998345995,co-occurrence,True,2,1,14.0,1.0,4.0,8.1,14
PIK3CA,CDKN2A,82,829,1292,9225,911,1374,0.718,9.0,0.7063,0.0029112200900078275,mutual_exclusivity,True,2,1,15.0,1.0,4.0,8.6,15
NF1,CDKN2A,69,299,1305,9755,368,1374,0.604,18.75,1.725,0.00016033757663185276,co-occurrence,True,2,1,16.0,1.0,4.0,9.100000000000001,16
ARID1A,BRCA1_2,60,581,153,10634,641,213,0.525,28.17,7.1776,1.2509236415302567e-26,co-occurrence,True,2,1,17.0,1.0,4.0,9.600000000000001,17
PTEN,RB1,59,735,337,10297,794,396,0.516,14.9,2.4527,2.615978763689777e-08,co-occurrence,True,2,3,18.0,1.0,2.0,9.700000000000001,18
MTAP,PIK3CA,58,850,853,9667,908,911,0.508,6.39,0.7733,0.07342699883248362,mutual_exclusivity,True,2,1,19.0,1.0,4.0,10.600000000000001,19
ARID1A,NF1,57,584,311,10476,641,368,0.499,15.49,3.2877,1.659550340677918e-12,co-occurrence,True,2,1,20.0,1.0,4.0,11.100000000000001,20
ARID1A,CDKN2A,52,589,1322,9465,641,1374,0.455,8.11,0.6321,0.0013886540385391727,mutual_exclusivity,True,2,1,21.0,1.0,4.0,11.600000000000001,21
MTAP,NF1,51,857,317,10203,908,368,0.446,13.86,1.9154,7.784652610964238e-05,co-occurrence,True,2,1,22.0,1.0,4.0,12.100000000000001,22
PTEN,NF1,49,745,319,10315,794,368,0.429,13.32,2.1268,9.138251314228015e-06,co-occurrence,True,2,1,23.0,1.0,4.0,12.600000000000001,23
PTEN,BRCA1_2,48,746,165,10469,794,213,0.42,22.54,4.0825,1.6608104607867792e-13,co-occurrence,True,2,1,24.0,1.0,4.0,13.100000000000001,24
PIK3CA,NF1,47,864,321,10196,911,368,0.411,12.77,1.7279,0.0011621718530903115,co-occurrence,True,2,1,25.0,1.0,4.0,13.600000000000001,25
PIK3CA,RB1,44,867,352,10165,911,396,0.385,11.11,1.4655,0.023129208260802347,co-occurrence,True,2,1,26.0,1.0,4.0,14.100000000000001,26
ARID1A,RB1,43,598,353,10434,641,396,0.376,10.86,2.1254,2.9488931813458086e-05,co-occurrence,True,2,1,27.0,1.0,4.0,14.600000000000001,27
MTAP,ARID1A,39,869,602,9918,908,641,0.341,6.08,0.7394,0.08327176362675676,mutual_exclusivity,True,2,1,28.0,1.0,4.0,15.100000000000001,28
PIK3CA,BRCA1_2,37,874,176,10341,911,213,0.324,17.37,2.4874,5.223621667279116e-06,co-occurrence,True,2,1,29.0,1.0,4.0,15.600000000000001,29
BRCA1_2,NF1,36,177,332,10883,213,368,0.315,16.9,6.6671,1.5998257094530853e-16,co-occurrence,True,2,1,30.0,1.0,4.0,16.1,30
SMARCA4,TP53,30,31,3620,7747,61,3650,0.263,49.18,2.071,0.005487319365695803,co-occurrence,True,2,1,31.0,1.0,4.0,16.6,31
RB1,NF1,25,371,343,10689,396,368,0.219,6.79,2.1,0.001229879743951807,co-occurrence,True,2,1,32.5,1.0,4.0,17.35,32
RB1,BRCA1_2,25,371,188,10844,396,213,0.219,11.74,3.8868,8.888862220508247e-08,co-occurrence,True,2,1,32.5,1.0,4.0,17.35,33
BRCA1_2,CDKN2A,22,191,1352,9863,213,1374,0.193,10.33,0.8403,0.5230913401441841,mutual_exclusivity,True,2,1,34.0,1.0,4.0,18.1,34
TP53,KEAP1,16,3634,28,7750,3650,44,0.14,36.36,1.2186,0.5204301536205265,co-occurrence,True,2,1,35.0,1.0,4.0,18.6,35
MTAP,BRCA1_2,14,894,199,10321,908,213,0.123,6.57,0.8122,0.5236089539648341,mutual_exclusivity,True,2,1,36.0,1.0,4.0,19.1,36
SMARCA4,PTEN,9,52,785,10582,61,794,0.079,14.75,2.3331,0.03633173996935431,co-occurrence,True,2,1,37.5,1.0,4.0,19.85,37
SMARCA4,CDKN2A,9,52,1365,10002,61,1374,0.079,14.75,1.2682,0.5510739106105031,co-occurrence,True,2,1,37.5,1.0,4.0,19.85,38
SMARCA4,NF1,8,53,360,11007,61,368,0.07,13.11,4.6151,0.0007097611291819904,co-occurrence,True,2,1,39.0,1.0,4.0,20.6,39
ARID1A,KEAP1,7,634,37,10750,641,44,0.061,15.91,3.2079,0.010574402657137098,co-occurrence,True,2,1,41.5,1.0,4.0,21.85,40
SMARCA4,BRCA1_2,7,54,206,11161,61,213,0.061,11.48,7.0233,0.00013151880134384936,co-occurrence,True,2,1,41.5,1.0,4.0,21.85,41
SMARCA4,PIK3CA,7,54,904,10463,61,911,0.061,11.48,1.5003,0.33602103116138493,co-occurrence,True,2,1,41.5,1.0,4.0,21.85,42
RB1,CDKN2A,7,389,1367,9665,396,1374,0.061,1.77,0.1272,3.1020814520844474e-14,mutual_exclusivity,True,2,1,41.5,1.0,4.0,21.85,43
KEAP1,NF1,6,38,362,11022,44,368,0.053,13.64,4.8075,0.002684869066804432,co-occurrence,True,2,1,45.0,1.0,4.0,23.6,44
ARID1A,SMARCA4,6,635,55,10732,641,61,0.053,9.84,1.8437,0.15501558297916498,co-occurrence,True,2,1,45.0,1.0,4.0,23.6,45
PTEN,KEAP1,6,788,38,10596,794,44,0.053,13.64,2.1232,0.12381075481838594,co-occurrence,True,2,1,45.0,1.0,4.0,23.6,46
MTAP,SMARCA4,5,903,56,10464,908,61,0.044,8.2,1.0346,0.81405042332959,co-occurrence,True,2,1,47.5,1.0,4.0,24.85,47
SMARCA4,RB1,5,56,391,10976,61,396,0.044,8.2,2.5064,0.059649031079849466,co-occurrence,True,2,1,47.5,1.0,4.0,24.85,48
PIK3CA,KEAP1,4,907,40,10477,911,44,0.035,9.09,1.1551,0.7770997130925859,co-occurrence,True,2,1,50.0,1.0,4.0,26.1,49
MTAP,RB1,4,904,392,10128,908,396,0.035,1.01,0.1143,5.202512967087726e-10,mutual_exclusivity,True,2,1,50.0,1.0,4.0,26.1,50
BRCA1_2,KEAP1,4,209,40,11175,213,44,0.035,9.09,5.3469,0.008893391658063176,co-occurrence,True,2,1,50.0,1.0,4.0,26.1,51
KEAP1,CDKN2A,3,41,1371,10013,44,1374,0.026,6.82,0.5344,0.3598830111474789,mutual_exclusivity,True,2,1,52.5,1.0,4.0,27.35,52
MTAP,KEAP1,3,905,41,10479,908,44,0.026,6.82,0.8472,1.0,mutual_exclusivity,True,2,1,52.5,1.0,4.0,27.35,53
RB1,KEAP1,2,394,42,10990,396,44,0.018,4.55,1.3283,0.6650400946440036,co-occurrence,True,2,1,54.5,1.0,4.0,28.35,54
SMARCA4,KEAP1,2,59,42,11325,61,44,0.018,4.55,9.1404,0.02296415030018374,co-occurrence,True,2,1,54.5,1.0,4.0,28.35,55
