pair,gene_a,gene_b,n_double_mutant,n_MTAP_only,n_CDKN2A_only,n_wt_both,powered_N_gte_5,n_TP53_only,n_PIK3CA_only,n_RB1_only,n_PTEN_only,n_ARID1A_only,n_NF1_only,n_BRCA1_only,n_BRCA2_only
MTAP+CDKN2A,MTAP,CDKN2A,206,2.0,230.0,748,True,,,,,,,,
TP53+CDKN2A,TP53,CDKN2A,300,,136.0,232,True,518.0,,,,,,,
MTAP+TP53,MTAP,TP53,135,73.0,,295,True,683.0,,,,,,,
PIK3CA+TP53,PIK3CA,TP53,69,,,336,True,749.0,32.0,,,,,,
RB1+TP53,RB1,TP53,80,,,354,True,738.0,,14.0,,,,,
PTEN+TP53,PTEN,TP53,107,,,329,True,711.0,,,39.0,,,,
ARID1A+PTEN,ARID1A,PTEN,37,,,952,True,,,,109.0,88.0,,,
ARID1A+TP53,ARID1A,TP53,80,,,323,True,738.0,,,,45.0,,,
TP53+NF1,TP53,NF1,69,,,345,True,749.0,,,,,23.0,,
ARID1A+PIK3CA,ARID1A,PIK3CA,34,,,994,True,,67.0,,,91.0,,,
PTEN+RB1,PTEN,RB1,29,,,975,True,,,65.0,117.0,,,,
TP53+PTEN,TP53,PTEN,107,,,329,True,711.0,,,39.0,,,,
TP53+BRCA1,TP53,BRCA1,22,,,367,True,796.0,,,,,,1.0,
TP53+BRCA2,TP53,BRCA2,30,,,356,True,788.0,,,,,,,12.0
TP53+RB1,TP53,RB1,80,,,354,True,738.0,,14.0,,,,,
