gene,cohens_d,p_value,mean_test,mean_control,n_test,n_control,fdr
PIK3CA,-1.3583,1.9583422737363306e-08,-0.899,-0.4519,34,1152,0.00035115035310366143
WRN,-1.7862,1.3708772535378228e-06,-0.7515,-0.175,34,1152,0.01229060001659335
RPS6KA3,0.7711,2.06050338870768e-06,-0.0118,-0.1295,34,1152,0.012315628754305802
CHMP4B,0.8314,2.7663166652746524e-06,-0.6981,-1.2563,34,1152,0.012400706031259949
PELI1,0.8491,4.946525288517236e-06,0.1567,0.0565,34,1152,0.015895365670612262
EPC2,0.7129,5.318844126020499e-06,-0.1408,-0.3548,34,1152,0.015895365670612262
GYPA,0.8546,9.699094846253562e-06,0.0778,-0.0243,34,1152,0.022204326512778354
EXOC3,-0.7359,9.906564726017893e-06,-0.7584,-0.6129,34,1152,0.022204326512778354
NUMA1,-0.892,2.532073193650707e-05,-0.8027,-0.6015,34,1152,0.04401617136362568
CST1,0.749,2.7268346513728935e-05,0.0781,-0.0001,34,1152,0.04401617136362568
PRPF39,-0.8545,2.90317777330268e-05,-0.6518,-0.4268,34,1152,0.04401617136362568
EVC,0.5927,3.0357173360967374e-05,0.1228,0.0558,34,1152,0.04401617136362568
COX7A2L,-0.7688,3.445728662225153e-05,-0.1024,-0.009,34,1152,0.04401617136362568
NDST3,0.7023,3.641687855029418e-05,0.1518,0.0638,34,1152,0.04401617136362568
SETD7,0.744,3.682129108551588e-05,0.036,-0.0459,34,1152,0.04401617136362568
PPP1CB,0.5201,4.266886235250023e-05,-0.6814,-0.865,34,1152,0.046406797839190835
CNPY2,0.602,4.399729871542269e-05,-0.1509,-0.2569,34,1152,0.046406797839190835
IGF1R,0.6179,5.6372473771064035e-05,-0.0762,-0.2633,34,1152,0.04660517007260508
RNPC3,-0.6775,5.698445179546984e-05,-1.987,-1.7196,34,1152,0.04660517007260508
TMEM254,0.7223,6.039935645266587e-05,0.0026,-0.0771,34,1152,0.04660517007260508
PM20D1,-0.9023,6.052948245548464e-05,-0.1519,-0.0399,34,1152,0.04660517007260508
MDM2,-0.631,6.131583004968055e-05,-0.9471,-0.6088,34,1152,0.04660517007260508
KDM6A,-0.6379,6.211184292528116e-05,0.0124,0.1306,34,1152,0.04660517007260508
ZNF845,0.6957,6.237934759592449e-05,0.0914,0.0043,34,1152,0.04660517007260508
BIN3,-0.7991,6.511506031447394e-05,0.1869,0.286,34,1152,0.046703125859953294
ATL2,0.6104,8.424536338610425e-05,-0.4336,-0.6803,34,1152,0.058100138879855205
ARID2,-0.6831,9.051024233602994e-05,-0.5611,-0.3744,34,1152,0.06010885760471677
RABL2B,-0.7482,9.581470626098946e-05,-0.291,-0.1682,34,1131,0.06135905349877864
PDE12,-0.8496,0.0001022243308436328,-0.5642,-0.3448,34,1152,0.062259733518526775
XPOT,-0.6134,0.00010416552370508077,-0.6695,-0.5213,34,1152,0.062259733518526775
PSG1,0.7274,0.00012230478391988392,0.0766,-0.0255,34,1131,0.06964841387473086
GPR87,0.7005,0.00012429586994542344,-0.0008,-0.0956,34,1152,0.06964841387473086
ICAM4,0.8095,0.00014475467062261644,0.1058,-0.0052,34,1152,0.0786544242101253
DGAT2L6,-0.6804,0.00015360571924262647,0.0212,0.0943,34,1152,0.08100894563939809
HS1BP3,-0.5924,0.0001718085815999141,-0.1865,-0.1112,34,1152,0.08801999076194457
UNC119,-0.6873,0.0001851755290953221,-0.3296,-0.2219,34,1152,0.0899653713883677
COMTD1,-0.7198,0.00019514687118215104,-0.2766,-0.183,34,1152,0.0899653713883677
TSEN54,0.6113,0.00020603435009246935,-0.7898,-0.982,34,1152,0.0899653713883677
PAF1,-0.7187,0.0002114776122437115,-0.9782,-0.815,34,1152,0.0899653713883677
GRPEL2,0.7672,0.00022366356045867765,-0.0011,-0.0849,34,1152,0.0899653713883677
ZEB2,0.4997,0.00022411073122073188,-0.2059,-0.3614,34,1152,0.0899653713883677
MAGIX,-0.6697,0.00022681142851385685,-0.0826,0.0179,34,1152,0.0899653713883677
