gene,cohens_d,p_value,mean_test,mean_control,n_test,n_control,fdr
PIK3CA,-1.3583,1.9583422737363306e-08,-0.899,-0.4519,34,1152,0.00035115035310366143
PM20D1,-0.9023,6.052948245548464e-05,-0.1519,-0.0399,34,1152,0.04660517007260508
NUMA1,-0.892,2.532073193650707e-05,-0.8027,-0.6015,34,1152,0.04401617136362568
PRPF39,-0.8545,2.90317777330268e-05,-0.6518,-0.4268,34,1152,0.04401617136362568
BIN3,-0.7991,6.511506031447394e-05,0.1869,0.286,34,1152,0.046703125859953294
COX7A2L,-0.7688,3.445728662225153e-05,-0.1024,-0.009,34,1152,0.04401617136362568
EXOC3,-0.7359,9.906564726017893e-06,-0.7584,-0.6129,34,1152,0.022204326512778354
RNPC3,-0.6775,5.698445179546984e-05,-1.987,-1.7196,34,1152,0.04660517007260508
KDM6A,-0.6379,6.211184292528116e-05,0.0124,0.1306,34,1152,0.04660517007260508
MDM2,-0.631,6.131583004968055e-05,-0.9471,-0.6088,34,1152,0.04660517007260508
PPP1CB,0.5201,4.266886235250023e-05,-0.6814,-0.865,34,1152,0.046406797839190835
EVC,0.5927,3.0357173360967374e-05,0.1228,0.0558,34,1152,0.04401617136362568
CNPY2,0.602,4.399729871542269e-05,-0.1509,-0.2569,34,1152,0.046406797839190835
IGF1R,0.6179,5.6372473771064035e-05,-0.0762,-0.2633,34,1152,0.04660517007260508
ZNF845,0.6957,6.237934759592449e-05,0.0914,0.0043,34,1152,0.04660517007260508
NDST3,0.7023,3.641687855029418e-05,0.1518,0.0638,34,1152,0.04401617136362568
EPC2,0.7129,5.318844126020499e-06,-0.1408,-0.3548,34,1152,0.015895365670612262
TMEM254,0.7223,6.039935645266587e-05,0.0026,-0.0771,34,1152,0.04660517007260508
SETD7,0.744,3.682129108551588e-05,0.036,-0.0459,34,1152,0.04401617136362568
CST1,0.749,2.7268346513728935e-05,0.0781,-0.0001,34,1152,0.04401617136362568
RPS6KA3,0.7711,2.06050338870768e-06,-0.0118,-0.1295,34,1152,0.012315628754305802
CHMP4B,0.8314,2.7663166652746524e-06,-0.6981,-1.2563,34,1152,0.012400706031259949
PELI1,0.8491,4.946525288517236e-06,0.1567,0.0565,34,1152,0.015895365670612262
GYPA,0.8546,9.699094846253562e-06,0.0778,-0.0243,34,1152,0.022204326512778354
