gene,cohens_d,p_value,mean_test,mean_control,n_test,n_control,fdr
WRN,-2.5693,1.0042232676685546e-09,-0.9569,-0.1669,37,1149,1.800672741256485e-05
CYP2A6,0.9623,6.163908582352199e-09,0.1629,0.039,37,1149,5.526252239507864e-05
IGF1R,0.7792,3.124899765140884e-08,-0.0303,-0.2653,37,1149,0.00016454516872100588
PTEN,-0.7154,3.6706300534494645e-08,0.1191,0.4234,37,1149,0.00016454516872100588
XPO1,0.8941,2.2042107950717274e-07,-1.7682,-2.1229,37,1149,0.0005599159810082978
ARID1B,-1.2685,2.47241506463309e-07,-0.3433,-0.0844,37,1149,0.0005599159810082978
RMND5A,0.7612,2.4788628497859844e-07,-0.2086,-0.4144,37,1149,0.0005599159810082978
ZNF845,0.9454,2.7291883578232423e-07,0.1207,0.0032,37,1149,0.0005599159810082978
IRS2,0.721,3.06664611732102e-07,-0.1335,-0.3899,37,1149,0.0005599159810082978
UNC119,-0.9832,3.32218931199445e-07,-0.373,-0.2202,37,1149,0.0005599159810082978
CCDC102A,-1.0492,3.635422007527219e-07,-0.1588,-0.0246,37,1149,0.0005599159810082978
PPIAL4G,0.9325,3.9989367632419986e-07,-0.1247,-0.2644,33,1013,0.0005599159810082978
SLC25A25,-0.9746,4.059398668846061e-07,-0.3203,-0.1727,37,1149,0.0005599159810082978
GYPA,0.9368,7.179993801010175e-07,0.0867,-0.0249,37,1149,0.0009196033488993817
SETD7,0.7198,8.322041153206665e-07,0.0332,-0.0461,37,1149,0.0009948167994543247
EVC,0.7303,1.2801613036733456e-06,0.1375,0.0551,37,1149,0.0013804235452835607
CST1,0.8286,1.30875022418273e-06,0.0858,-0.0005,37,1149,0.0013804235452835607
PSG1,0.9372,1.5581444111846667e-06,0.1041,-0.0267,37,1128,0.0015458876902289683
FURIN,0.6222,1.7034594873666848e-06,-0.0075,-0.2182,37,1149,0.0015458876902289683
VCF2,-0.7246,1.7242626626835853e-06,-0.3919,-0.2482,37,1149,0.0015458876902289683
SLCO3A1,0.8666,2.0033854350902416e-06,0.109,0.0352,37,1149,0.001607713953235737
SEBOX,-0.8117,2.0424174010979115e-06,-0.2667,-0.1437,37,1149,0.001607713953235737
MAGIX,-0.8027,2.0622062865663907e-06,-0.1013,0.0188,37,1149,0.001607713953235737
SDHC,-0.878,2.433982670014975e-06,-1.3148,-0.9756,37,1149,0.001818489302334938
GPIHBP1,-0.7265,2.633769152235009e-06,-0.2852,-0.1659,37,1149,0.0018890445867490377
ATAD3C,0.7772,2.7888563917287554e-06,0.2266,0.1227,37,1149,0.0019233455369264735
ALDOC,-0.8668,3.0093191147917838e-06,-0.4162,-0.2585,37,1149,0.001998522261012277
PLEKHA1,-0.5768,4.215804053338361e-06,0.14,0.226,37,1149,0.0026997708028717914
RPL22L1,-1.2599,4.543238927852973e-06,-0.5497,-0.2505,37,1149,0.0028091316281148846
SRRT,-1.0373,4.793485561855339e-06,-1.117,-0.8564,37,1149,0.0028650663203209363
PRMT2,-0.8412,5.236107175769602e-06,-0.1705,-0.0597,37,1149,0.0030286657344749915
NAA80,-0.7201,5.744198656557899e-06,-0.1317,-0.0386,37,1149,0.0032187258159606155
LILRB1,0.7572,6.02950724306642e-06,0.1676,0.0826,37,1149,0.0032614998970613793
PSD4,-1.0512,6.1843174669615135e-06,-0.3406,-0.1588,37,1149,0.0032614998970613793
CLDN9,-0.7994,6.565496065383588e-06,-0.1131,-0.0026,37,1149,0.00335423089511796
GH2,0.8045,6.81113168382641e-06,0.0083,-0.1133,37,1149,0.00335423089511796
PLEKHH3,-0.694,6.921339753464086e-06,0.0071,0.1195,37,1149,0.00335423089511796
SV2B,0.6846,7.3122906303392955e-06,0.1796,0.1057,37,1149,0.003450439034016156
CSF2,-0.8515,7.777343862441597e-06,-0.141,-0.0333,37,1149,0.0035069399908226103
ARID1A,0.6214,7.956657581379883e-06,-0.075,-0.2656,37,1149,0.0035069399908226103
SLC1A5,-0.6513,8.047789926881272e-06,-0.3217,-0.1977,37,1149,0.0035069399908226103
BICDL2,-0.7975,8.214348313788949e-06,-0.3274,-0.2014,37,1149,0.0035069399908226103
CEBPZ,-0.7316,8.518619945621779e-06,-1.1208,-0.924,37,1149,0.003552264517324282
OR4S1,-0.8719,9.065777790969925e-06,-0.2991,-0.1762,33,1034,0.0036442454578822885
VPS72,-0.6771,9.36943206204508e-06,-0.6329,-0.5067,37,1149,0.0036442454578822885
ISG20L2,-0.713,9.390647005027462e-06,-1.0844,-0.9117,37,1149,0.0036442454578822885
EPC2,0.6885,9.670651475706412e-06,-0.1485,-0.3551,37,1149,0.0036442454578822885
VPS54,0.698,9.824708562846898e-06,-0.2905,-0.504,37,1149,0.0036442454578822885
CEP350,-0.7503,9.95862068129118e-06,-0.3372,-0.1901,37,1149,0.0036442454578822885
THRB,0.7724,1.0185689880468461e-05,0.1277,0.0467,37,1149,0.0036527921049335993
GLUL,-1.0608,1.0678735343221373e-05,-0.2893,-0.1146,37,1149,0.0037545177144961265
LYRM9,-0.8309,1.1044775633873423e-05,-0.1835,-0.0637,37,1149,0.0038085359979035454
WEE1,0.7749,1.160337342117599e-05,-2.385,-2.7466,37,1149,0.003896352025956303
IGSF9B,0.6617,1.1734036551315619e-05,0.0805,0.0111,37,1149,0.003896352025956303
HSPA6,0.7475,1.3326388595978274e-05,-0.0962,-0.2179,37,1149,0.0043446449802633895
ZFR,-0.7835,1.5157121670144763e-05,-0.4411,-0.2885,37,1149,0.004853256226202959
SNUPN,0.6828,1.5772429972789213e-05,-0.7976,-1.0319,37,1149,0.004961674418282164
ZC3H18,-0.7821,1.734016619403929e-05,-0.8161,-0.6181,37,1149,0.005360802069402044
DHRS4,0.7559,1.8054280632515612e-05,-0.0615,-0.1847,37,1128,0.005486971288502329
PRRC1,-0.7649,1.9265363145829233e-05,0.0171,0.1431,37,1149,0.005675472628579771
TPPP,-0.6475,1.9307558437530867e-05,-0.1751,-0.05,37,1149,0.005675472628579771
TMEM79,-0.7809,1.9864169547094607e-05,-0.1333,-0.0465,37,1149,0.005711778384112399
IFT70B,0.8492,2.043604040045277e-05,0.1301,0.0369,37,1149,0.005711778384112399
DPY30,-0.7643,2.0570219153624956e-05,-0.5449,-0.3675,37,1149,0.005711778384112399
HCAR3,0.6764,2.070523646016987e-05,0.1597,0.0689,37,1149,0.005711778384112399
KDM6A,-0.5453,2.1627149832509296e-05,0.0292,0.1304,37,1149,0.00587570338858673
CSH2,0.6834,2.2954010176289218e-05,-0.2944,-0.4616,33,1013,0.006143109798075253
ARHGEF40,-0.6966,2.3743318286320124e-05,-0.1774,-0.0765,37,1149,0.006249932512061544
HLA-A,0.7232,2.4315505094933157e-05,-0.0779,-0.1778,37,1149,0.006249932512061544
EXOC3,-0.6415,2.457990481556827e-05,-0.7401,-0.6131,37,1149,0.006249932512061544
HSP90B1,0.6386,2.5062730992503106e-05,-0.3885,-0.5745,37,1149,0.006249932512061544
NOP9,-0.7056,2.5116931836108274e-05,-1.197,-0.9073,37,1149,0.006249932512061544
PM20D1,-0.9229,2.5444485716384623e-05,-0.1539,-0.0395,37,1149,0.006249932512061544
PSG5,0.7307,2.6853543113208543e-05,0.0046,-0.0885,37,1149,0.006501392407042293
CA5A,-0.7845,2.737873187850029e-05,-0.5094,-0.38,37,1149,0.006501392407042293
RNASE3,0.8012,2.7555954655915134e-05,-0.0303,-0.1244,37,1149,0.006501392407042293
OR1E2,-0.7107,2.7982934656076758e-05,-0.4906,-0.3759,33,1034,0.006516389627507952
KCNK5,-0.7161,2.9326275355314545e-05,-0.074,0.0298,37,1149,0.00674165953071981
