gene,cohens_d,p_value,mean_test,mean_control,n_test,n_control,fdr
PSD4,-1.0512,6.1843174669615135e-06,-0.3406,-0.1588,37,1149,0.0032614998970613793
CCDC102A,-1.0492,3.635422007527219e-07,-0.1588,-0.0246,37,1149,0.0005599159810082978
SRRT,-1.0373,4.793485561855339e-06,-1.117,-0.8564,37,1149,0.0028650663203209363
UNC119,-0.9832,3.32218931199445e-07,-0.373,-0.2202,37,1149,0.0005599159810082978
SLC25A25,-0.9746,4.059398668846061e-07,-0.3203,-0.1727,37,1149,0.0005599159810082978
PM20D1,-0.9229,2.5444485716384623e-05,-0.1539,-0.0395,37,1149,0.006249932512061544
SDHC,-0.878,2.433982670014975e-06,-1.3148,-0.9756,37,1149,0.001818489302334938
OR4S1,-0.8719,9.065777790969925e-06,-0.2991,-0.1762,33,1034,0.0036442454578822885
ALDOC,-0.8668,3.0093191147917838e-06,-0.4162,-0.2585,37,1149,0.001998522261012277
CSF2,-0.8515,7.777343862441597e-06,-0.141,-0.0333,37,1149,0.0035069399908226103
SLC27A5,-0.8471,8.010747840577089e-05,-0.2333,-0.1102,37,1149,0.012382820649085153
PRMT2,-0.8412,5.236107175769602e-06,-0.1705,-0.0597,37,1149,0.0030286657344749915
ANHX,-0.8381,9.382023111043876e-05,-0.1824,-0.0459,37,1149,0.013067340369031432
TFAM,-0.8333,0.00012099026226350785,-0.8848,-0.6562,37,1149,0.014618251347852895
LYRM9,-0.8309,1.1044775633873423e-05,-0.1835,-0.0637,37,1149,0.0038085359979035454
SEBOX,-0.8117,2.0424174010979115e-06,-0.2667,-0.1437,37,1149,0.001607713953235737
MAGIX,-0.8027,2.0622062865663907e-06,-0.1013,0.0188,37,1149,0.001607713953235737
CLDN9,-0.7994,6.565496065383588e-06,-0.1131,-0.0026,37,1149,0.00335423089511796
PRPF39,-0.798,0.00026421006908045313,-0.6369,-0.4267,37,1149,0.021814506601926024
BICDL2,-0.7975,8.214348313788949e-06,-0.3274,-0.2014,37,1149,0.0035069399908226103
CA5A,-0.7845,2.737873187850029e-05,-0.5094,-0.38,37,1149,0.006501392407042293
ZFR,-0.7835,1.5157121670144763e-05,-0.4411,-0.2885,37,1149,0.004853256226202959
ZC3H18,-0.7821,1.734016619403929e-05,-0.8161,-0.6181,37,1149,0.005360802069402044
TMEM79,-0.7809,1.9864169547094607e-05,-0.1333,-0.0465,37,1149,0.005711778384112399
RABL2B,-0.775,3.279792537416551e-05,-0.2947,-0.1678,37,1128,0.007171616304111006
TRAF4,-0.7707,0.00011673252171135758,-0.2997,-0.1716,37,1149,0.014579861073495496
GYS1,-0.7672,3.621972386585256e-05,-0.068,0.033,37,1149,0.007640657278101203
PRRC1,-0.7649,1.9265363145829233e-05,0.0171,0.1431,37,1149,0.005675472628579771
METTL17,-0.7647,8.158713437753533e-05,-0.7268,-0.5299,37,1149,0.012412723780274719
DPY30,-0.7643,2.0570219153624956e-05,-0.5449,-0.3675,37,1149,0.005711778384112399
GPR148,-0.7625,0.0001500675927757705,-0.0749,0.0231,37,1149,0.015859710070169526
KLF15,-0.7617,0.0001744459824938587,-0.0585,0.034,37,1149,0.017474809564789834
PLEKHB2,-0.7598,3.270476851411445e-05,-0.1245,-0.0325,37,1149,0.007171616304111006
PSME1,-0.7574,0.00012994875378223795,-0.3036,-0.1598,37,1149,0.01480605101427403
BDH2,-0.7534,7.9619922728591e-05,-0.2709,-0.1435,37,1149,0.012382820649085153
SPHK2,-0.7531,0.00014063439081546291,-0.2453,-0.1535,37,1149,0.015376312571415035
CEP350,-0.7503,9.95862068129118e-06,-0.3372,-0.1901,37,1149,0.0036442454578822885
SMR3B,-0.7467,0.00020446713312042547,-0.5601,-0.4249,37,1148,0.01860277444713434
TMSB10,-0.7412,8.237767719885625e-05,-0.61,-0.4377,33,1034,0.012412723780274719
RCC1L,-0.7338,4.782904087861218e-05,-0.7127,-0.5313,37,1149,0.009027605599940999
RTN3,-0.7323,8.635744322545249e-05,-0.3752,-0.248,37,1149,0.012691686252579326
CEBPZ,-0.7316,8.518619945621779e-06,-1.1208,-0.924,37,1149,0.003552264517324282
PLLP,-0.7299,9.400964294267217e-05,-0.0533,0.0469,37,1149,0.013067340369031432
CYTH2,-0.7266,8.77680606391075e-05,-0.1372,-0.0547,37,1149,0.012691686252579326
GPIHBP1,-0.7265,2.633769152235009e-06,-0.2852,-0.1659,37,1149,0.0018890445867490377
VCF2,-0.7246,1.7242626626835853e-06,-0.3919,-0.2482,37,1149,0.0015458876902289683
OR10T2,-0.7244,0.0003362860949767795,-0.2758,-0.1726,33,1034,0.02373994475995525
PIK3R5,-0.724,0.0004270900907677681,-0.0946,0.0012,37,1149,0.02673795237933488
