gene,cohens_d,p_value,mean_test,mean_control,n_test,n_control,fdr
ARID1B,-1.1182,1.057982183934098e-08,-0.3023,-0.0773,80,1106,0.0001897067854012231
ARID1A,0.5158,7.47248968656985e-08,-0.1125,-0.2703,80,1106,0.0006699460628494199
ARID2,-0.5211,1.2855757057921095e-06,-0.5123,-0.3702,80,1106,0.007683885993519438
UXS1,-0.4289,4.501654907216929e-06,-0.6239,-0.4604,80,1106,0.020117735576879257
RPP40,0.4887,6.680792027230369e-06,-1.0545,-1.2585,80,1106,0.020117735576879257
PKMYT1,-0.5024,6.787918543923011e-06,-1.5457,-1.2896,80,1106,0.020117735576879257
DNAL4,0.4919,7.853669568800111e-06,-0.0261,-0.0829,80,1106,0.020117735576879257
PAQR6,-0.5097,1.2888936124119222e-05,-0.3455,-0.2689,80,1106,0.028561071332435073
TBX5,-0.5275,1.4335488371642164e-05,-0.0772,-0.018,80,1106,0.028561071332435073
UBE2D3,0.4599,1.9366779033143025e-05,-0.6663,-0.8843,80,1106,0.03472657148432876
ATXN7L1,-0.4177,4.997671295838781e-05,-0.0209,0.0291,80,1106,0.08042057430178785
MCM6,-0.4677,5.8054597788259327e-05,-1.1653,-1.0196,80,1106,0.08042057430178785
PSME3,0.3817,5.830502849385099e-05,-0.1924,-0.2675,80,1106,0.08042057430178785
KDM6A,-0.4021,9.370816299873893e-05,0.0577,0.1323,80,1106,0.12002007648074198
TCOF1,0.4153,0.00011511435650102611,-0.4432,-0.5667,80,1106,0.12402760716706653
YTHDC1,-0.4803,0.00013066275432821077,-0.52,-0.4269,80,1106,0.12402760716706653
C7,-0.4431,0.00013174263876461083,0.0997,0.1469,80,1106,0.12402760716706653
CCNB1,-0.4043,0.00013859000599488605,-0.8614,-0.7215,80,1106,0.12402760716706653
SEPSECS,0.4145,0.000139922600621414,-0.4107,-0.6084,80,1106,0.12402760716706653
TRAF4,-0.4552,0.00014379682642241343,-0.2464,-0.1705,80,1106,0.12402760716706653
OGDH,-0.4495,0.00015773831830875396,-0.6318,-0.4864,80,1106,0.12402760716706653
CORO6,-0.4302,0.0001638407256167077,-0.3447,-0.2869,80,1106,0.12402760716706653
SRRT,-0.5564,0.00016697457495793352,-0.9957,-0.855,80,1106,0.12402760716706653
LIG4,0.445,0.00017341219308355616,-0.0226,-0.0911,80,1106,0.12402760716706653
RNPC3,-0.4536,0.00017624201694761422,-1.8942,-1.7152,80,1106,0.12402760716706653
ZDHHC20,-0.4018,0.00017984037623912385,-0.1327,-0.0632,80,1106,0.12402760716706653
TP53,-0.366,0.0002040108950971974,0.1875,0.387,80,1106,0.1354859022217721
OR10T2,-0.4489,0.00022380191735536193,-0.2356,-0.1716,71,996,0.14156986529178506
ZP3,-0.3907,0.00023151541603310427,-0.1444,-0.0845,80,1106,0.14156986529178506
RXFP4,-0.4531,0.00023741836893940695,-0.0849,-0.0367,80,1106,0.14156986529178506
PPP1R26,0.3823,0.00024475298778904337,-0.0133,-0.0545,80,1106,0.14156986529178506
CYP2A6,0.408,0.00027302695363954304,0.0923,0.0392,80,1106,0.1487428638037517
C15orf62,-0.4094,0.0002737446046246058,-0.0096,0.042,80,1106,0.1487428638037517
FMR1,-0.3736,0.0003019685406256305,0.0641,0.1058,80,1106,0.15673297271455872
MYLIP,-0.4721,0.00030593129468571497,-0.0242,0.0578,80,1106,0.15673297271455872
NUBP1,0.4655,0.0003218560467474878,-0.9945,-1.1523,80,1106,0.16031113261747787
NGLY1,0.3711,0.00034075257429852355,-0.1653,-0.2557,80,1106,0.16120709466171207
RNF113A,-0.3701,0.0003416356922171133,-1.1378,-1.0208,80,1106,0.16120709466171207
SLFN11,-0.4249,0.00036395266190150975,-0.0026,0.0536,80,1106,0.1621557913201234
KYNU,-0.5148,0.00038317351135242346,-0.1188,-0.0567,80,1106,0.1621557913201234
PIK3R1,-0.2951,0.000387627005798307,-0.0932,-0.0275,80,1106,0.1621557913201234
RMI2,0.3564,0.0003896218229797279,-0.2187,-0.289,80,1106,0.1621557913201234
DTX2,0.3812,0.00039974060717370177,-0.1374,-0.2024,80,1106,0.1621557913201234
XRCC1,0.3881,0.00040282379074763086,-0.3071,-0.3838,80,1106,0.1621557913201234
RTL9,0.4015,0.0004132622616984373,0.0998,0.0577,80,1106,0.1621557913201234
