gene,cohens_d,p_value,mean_test,mean_control,n_test,n_control,fdr
CDKN2B,0.9095,1.5134906606192537e-35,0.2229,0.0794,203,962,2.7901200328515943e-31
MTAP,0.828,3.0991402743749268e-24,0.1164,0.0043,206,980,2.856632547905089e-20
WDR77,-0.7187,2.444344893903911e-18,-1.6342,-1.3118,206,980,1.5020499373039533e-14
PRMT5,-0.6726,3.7376435078244726e-16,-1.3042,-1.0573,206,980,1.7225864516686038e-12
IFNA1,0.5907,1.3388211780697888e-11,0.0204,-0.0472,200,845,4.607717581066363e-08
CCND3,-0.3413,1.4996639808189953e-11,-0.4437,-0.322,206,980,4.607717581066363e-08
CDKN2A,0.3998,5.390350419636794e-11,0.2383,0.1607,206,980,1.419587285514347e-07
IFNA17,0.4763,9.2536834675389e-11,0.0365,-0.0436,200,846,2.132395684050995e-07
IFNA21,0.5665,1.7441246703652527e-09,-0.0481,-0.1377,200,845,3.5725486997981594e-06
DMRTA1,0.4727,2.7985067246979123e-09,0.0892,0.0221,206,980,5.159047146980601e-06
IFNA7,0.4681,1.2355584836990399e-08,-0.0269,-0.0851,200,846,2.0706836951810728e-05
IFNA8,0.4107,2.37399615507423e-08,0.1193,0.0593,206,980,3.647051593232786e-05
AMD1,0.3803,3.5522355500693056e-08,-0.4088,-0.5291,206,980,5.0373432588867424e-05
IFNA6,0.4669,5.3096056299776665e-08,0.1755,0.1222,206,980,6.991612842045592e-05
IFNE,0.3987,6.948193499954283e-08,0.1958,0.1497,206,980,8.136294612064572e-05
PKHD1L1,-0.3996,7.061606389641071e-08,0.001,0.0486,206,980,8.136294612064572e-05
IFNA2,0.4327,1.4433694266170953e-07,0.1603,0.1083,203,864,0.0001560848167429928
CDK6,-0.3219,1.5324618624257473e-07,-0.7355,-0.5623,206,980,0.0001560848167429928
IFNA14,0.4731,1.6086853908960473e-07,0.0414,-0.0216,206,980,0.0001560848167429928
MSI2,-0.3589,3.197129896503293e-07,-0.2065,-0.1438,206,980,0.0002921905891666712
PRPF38B,-0.3864,3.328452602386816e-07,-2.0277,-1.8699,206,980,0.0002921905891666712
NCAPH,0.3716,6.167409654421039e-07,-0.8535,-0.9339,206,980,0.0005168008953602357
IFNA4,0.4333,2.1280069434328814e-06,-0.0131,-0.0743,200,846,0.0017056438261819637
EZH2,0.3709,3.93332263677465e-06,0.0441,-0.0493,206,980,0.0030212834503725284
OXR1,-0.3279,6.74302182300946e-06,-0.0209,0.0182,206,980,0.004527448042784959
JUN,-0.369,6.814390020981227e-06,-0.3987,-0.2851,206,980,0.004527448042784959
FGFR1,-0.2909,7.032855742960323e-06,-0.2663,-0.1669,206,980,0.004527448042784959
SGF29,0.3744,7.0402520774432675e-06,-0.4446,-0.5859,206,980,0.004527448042784959
GNAT2,-0.2987,7.1221043255092916e-06,-0.1204,-0.0869,206,980,0.004527448042784959
IFNA5,0.3078,8.341906310460601e-06,0.0562,0.0152,206,980,0.00512610142777804
KEAP1,0.3411,8.982207293317299e-06,-0.039,-0.2014,206,980,0.005341515853300142
UPF1,0.3124,1.027820782968335e-05,-1.1197,-1.2107,206,980,0.005921211291881642
QKI,-0.2965,1.0767058323982766e-05,-0.0759,-0.0192,206,980,0.006014870309170373
SUZ12,0.3623,1.1359602986725827e-05,-0.277,-0.3851,206,980,0.006063815164955587
TUBB,-0.349,1.1512532181906457e-05,-2.1721,-1.9164,206,980,0.006063815164955587
ZC3H8,-0.3254,1.6089295986399396e-05,-0.8488,-0.771,206,980,0.008239060319702025
ACTR1A,-0.3142,2.1217086428171942e-05,-1.0449,-0.8831,206,980,0.01044849041753504
PPP1R15B,0.3234,2.153743617392631e-05,-0.745,-0.8997,206,980,0.01044849041753504
CHMP4B,-0.3145,2.5606337316571934e-05,-1.4153,-1.2035,206,980,0.012103918677718041
VRK1,-0.224,3.066962082360101e-05,-0.4666,-0.3951,206,980,0.01391789124150459
DPH3,-0.3078,3.106336729487826e-05,-1.0928,-1.0023,206,980,0.01391789124150459
TFAM,0.2985,3.170958374902214e-05,-0.5954,-0.6777,206,980,0.01391789124150459
FHL1,-0.3061,3.24637549978138e-05,0.0607,0.0883,206,980,0.01391789124150459
TRIP10,-0.3313,3.956072835650323e-05,-0.1023,-0.0632,206,980,0.016575046073912206
EGFR,0.3085,4.4724730443156014e-05,-0.1461,-0.2615,206,980,0.018322231238212916
