gene,cohens_d,p_value,mean_test,mean_control,n_test,n_control,fdr
CDKN2B,0.716,5.543178270083476e-19,0.2075,0.091,134,1031,1.0218849140898888e-14
MTAP,0.7895,3.602142448218109e-18,0.1201,0.0114,135,1051,3.3202748016450417e-14
WDR77,-0.817,2.818163901835916e-16,-1.6936,-1.326,135,1051,1.7317617176781705e-12
PRMT5,-0.7828,7.956143431351898e-16,-1.3553,-1.0674,135,1051,3.666787603924306e-12
IFNA21,0.8222,1.8107478914184754e-13,-0.0082,-0.1368,132,913,6.676227475659919e-10
IFNA4,0.7693,2.4750888514604777e-12,0.0308,-0.0761,132,914,7.604710496112319e-09
IFNA1,0.7246,9.105297685573432e-12,0.038,-0.0447,132,913,2.1088223334227156e-08
AMD1,0.5792,9.151385227763343e-12,-0.3469,-0.5289,135,1051,2.1088223334227156e-08
IFNA7,0.6374,4.375578373949019e-11,-0.005,-0.0839,132,914,8.962643035972241e-08
IFNA14,0.6627,1.6184596984354013e-10,0.067,-0.0207,135,1051,2.9836304540656625e-07
IFNA17,0.5918,3.9642925018004895e-10,0.0585,-0.0408,132,914,6.643793842790184e-07
IFNA8,0.5073,7.669776555328437e-09,0.1353,0.0612,135,1051,1.1782694233123311e-05
IFNA2,0.5457,2.019269323880594e-08,0.1755,0.11,133,934,2.8634792296722117e-05
MDM2,0.5861,3.2715319708871734e-08,-0.3432,-0.6538,135,1051,4.307906563093217e-05
IFNA6,0.5116,5.46457376503601e-08,0.1834,0.1248,135,1051,6.715961157229256e-05
TP53,-0.5225,7.881251774927849e-08,0.1235,0.4056,135,1051,9.080679779424681e-05
OR13J1,-0.4436,3.3755603833077445e-07,-0.0552,-0.0067,133,934,0.0003660497392134016
PGF,-0.4266,3.9879865396444054e-07,-0.0364,0.0158,135,1051,0.0004084362881019145
DMRTA1,0.4491,6.69648189350091e-07,0.0906,0.0264,135,1051,0.000649734966877312
PKHD1L1,-0.4554,8.891350751379648e-07,-0.0078,0.0466,135,1051,0.000819560255508419
ZC3H8,-0.4375,1.0062083410330812e-06,-0.877,-0.7726,135,1051,0.0008833071793783262
CCDC6,-0.4377,1.1167348774305697e-06,-0.3012,-0.1866,135,1051,0.0009357730666105707
CCND3,-0.2969,1.1675995083441463e-06,-0.4373,-0.331,135,1051,0.0009358563885358408
