gene,cohens_d,p_value,mean_test,mean_control,n_test,n_control,fdr
WDR77,-0.817,2.818163901835916e-16,-1.6936,-1.326,135,1051,1.7317617176781705e-12
TP53,-0.5225,7.881251774927849e-08,0.1235,0.4056,135,1051,9.080679779424681e-05
IFNA8,0.5073,7.669776555328437e-09,0.1353,0.0612,135,1051,1.1782694233123311e-05
IFNA6,0.5116,5.46457376503601e-08,0.1834,0.1248,135,1051,6.715961157229256e-05
IFNA2,0.5457,2.019269323880594e-08,0.1755,0.11,133,934,2.8634792296722117e-05
AMD1,0.5792,9.151385227763343e-12,-0.3469,-0.5289,135,1051,2.1088223334227156e-08
MDM2,0.5861,3.2715319708871734e-08,-0.3432,-0.6538,135,1051,4.307906563093217e-05
IFNA17,0.5918,3.9642925018004895e-10,0.0585,-0.0408,132,914,6.643793842790184e-07
IFNA7,0.6374,4.375578373949019e-11,-0.005,-0.0839,132,914,8.962643035972241e-08
IFNA14,0.6627,1.6184596984354013e-10,0.067,-0.0207,135,1051,2.9836304540656625e-07
IFNA1,0.7246,9.105297685573432e-12,0.038,-0.0447,132,913,2.1088223334227156e-08
IFNA4,0.7693,2.4750888514604777e-12,0.0308,-0.0761,132,914,7.604710496112319e-09
IFNA21,0.8222,1.8107478914184754e-13,-0.0082,-0.1368,132,913,6.676227475659919e-10
