gene,cohens_d,p_value,mean_test,mean_control,n_test,n_control,fdr
PIK3CA,-2.0774,4.177532662293069e-27,-1.0585,-0.428,69,1117,7.490733816757701e-23
PIK3CB,0.6064,6.104911114479295e-10,-0.0098,-0.1431,69,1117,5.473358059686412e-06
AKT1,-0.9161,3.71372267647758e-07,-0.2486,-0.0752,69,1117,0.0022196920437306494
HDHD3,0.6094,2.8088448260432964e-06,0.0117,-0.077,69,1117,0.012591349143945586
RICTOR,-0.5695,4.804733298871723e-06,-0.5823,-0.4156,69,1117,0.014761535854511613
IRS2,0.4682,4.939446496406764e-06,-0.2248,-0.3916,69,1117,0.014761535854511613
RPF2,0.5609,1.0073322548270509e-05,-0.9223,-1.0863,69,1117,0.025803535230434074
TUT7,-0.4371,1.7328039656446998e-05,-0.0854,-0.0219,69,1117,0.03691724746852818
GRK2,-0.4438,1.8860680670093795e-05,-0.2578,-0.1578,69,1117,0.03691724746852818
UBR4,-0.6333,2.0588504527649422e-05,-1.4486,-1.159,69,1117,0.03691724746852818
FETUB,0.4721,2.5103843589640258e-05,-0.0538,-0.1091,69,1117,0.040921547218712676
KCTD5,-0.4621,3.0697349759772666e-05,-0.25,-0.0888,69,1117,0.042673302499340204
FBLN7,-0.4817,3.239859721070559e-05,-0.1777,-0.1167,69,1117,0.042673302499340204
FURIN,0.4478,3.6016675672250004e-05,-0.0688,-0.2204,69,1117,0.042673302499340204
ANXA8,-0.5452,3.75795800894696e-05,-0.1038,-0.0267,59,987,0.042673302499340204
AMBRA1,-0.4393,3.9891011728826645e-05,-0.2641,-0.0792,69,1117,0.042673302499340204
MIEN1,-0.6854,4.045765113428049e-05,-0.3301,-0.1965,69,1117,0.042673302499340204
PIK3R1,-0.4278,4.576999244456949e-05,-0.1213,-0.0264,69,1117,0.04437545322434488
STX4,-0.4282,4.8857169837808656e-05,-0.5973,-0.4096,69,1117,0.04437545322434488
AK2,0.4505,5.402693471399633e-05,-0.1712,-0.2773,69,1117,0.04437545322434488
H4C5,0.4795,5.4361439933840405e-05,-0.0749,-0.1458,69,1117,0.04437545322434488
CNPY2,0.4196,5.444537231250835e-05,-0.1843,-0.2582,69,1117,0.04437545322434488
OR51V1,0.4672,6.186013547787471e-05,-0.0676,-0.1219,59,1008,0.04822669953277267
NAPSA,-0.4933,6.831639820963675e-05,-0.0798,-0.0214,69,1117,0.05104088901237486
KCMF1,-0.7668,7.416369264132718e-05,-1.0608,-0.7884,69,1117,0.0531931669100655
GSPT1,-0.5973,8.345072189937499e-05,-2.0319,-1.7097,69,1117,0.05755211132221896
SNAP23,-0.4795,9.078484999522563e-05,-1.107,-0.8032,69,1117,0.06007456292758554
ZFP28,0.4878,9.467629577371951e-05,0.0104,-0.044,69,1117,0.06007456292758554
