gene,cohens_d,p_value,mean_test,mean_control,n_test,n_control,fdr
CCND1,0.9768,2.0187233680244122e-08,-0.4035,-1.2536,29,1157,0.00025530085693489715
CDK6,0.9274,2.8475919573353092e-08,-0.107,-0.6046,29,1157,0.00025530085693489715
SLC22A12,0.9414,2.8209207299939676e-07,0.1252,0.0234,29,1157,0.0016860643203173945
CKS1B,-1.0535,4.962377548997646e-07,-1.116,-0.7759,25,1042,0.00222450979577692
CDK4,0.7202,1.0738617084828787e-06,-0.3608,-0.7581,29,1157,0.0038510828589612993
E2F3,-1.1479,1.3002080493486806e-06,-0.7337,-0.3717,29,1157,0.003885671755478532
SKP2,-0.8775,1.8572792435190683e-06,-1.1164,-0.7277,29,1157,0.004757553445077202
MPL,0.6988,1.6692111218943847e-05,0.0256,-0.0537,29,1157,0.037413280783360266
INPPL1,0.9517,3.218486523320936e-05,0.0999,-0.042,29,1157,0.06412297983296412
MED12,0.8713,5.510977926662334e-05,-0.2015,-0.6113,29,1157,0.09195645311452377
RBL2,0.9044,5.641185568343993e-05,0.199,0.0881,29,1157,0.09195645311452377
USP7,0.7443,6.206131051855194e-05,-0.4652,-0.8124,29,1157,0.09273511324234623
RCBTB2,0.6482,7.196231051614276e-05,0.0031,-0.0761,29,1157,0.09925816845115044
ST6GALNAC4,0.6539,7.81700701452968e-05,0.0007,-0.0848,29,1157,0.10011910912680835
VPS52,0.7004,0.00012943261489594768,-0.1517,-0.3611,29,1157,0.15199633619077718
RBL1,1.0416,0.0001356277608082335,0.0964,-0.0502,29,1157,0.15199633619077718
LIN37,0.8361,0.0001594064197857348,-0.021,-0.1949,29,1157,0.1630448760029863
METTL25,-0.6818,0.00016367228643431788,-0.2646,-0.1587,29,1157,0.1630448760029863
ABCC6,-0.8252,0.00019430589334568676,-0.131,-0.0233,11,344,0.17125437931392223
CCND3,0.5521,0.00019926243670239006,-0.1501,-0.3479,29,1157,0.17125437931392223
PLEKHH3,-0.6601,0.0002005656107072872,0.0115,0.1186,29,1157,0.17125437931392223
OTUD5,0.7728,0.00023944508504971607,-0.0573,-0.3092,29,1157,0.18952755070978675
INTS8,-0.655,0.0002446431112561864,-1.1282,-0.9708,29,1157,0.18952755070978675
UBE2D4,0.5171,0.00025590542938277923,-0.0852,-0.1395,29,1157,0.18952755070978675
SF3A2,-0.5929,0.000264245650981243,-1.8294,-1.6328,29,1157,0.18952755070978675
TSSK3,-0.7433,0.00029020414534475805,-0.3603,-0.2666,29,1157,0.2001404050068022
CCNE2,-0.9293,0.00033225362908152604,-0.2303,-0.0705,29,1157,0.22065332678003124
CACNA1E,0.551,0.00037758062248909995,0.1176,0.0553,29,1157,0.23380001288252641
RB1,-0.5808,0.0003903924619424513,0.069,0.1955,29,1157,0.23380001288252641
ECD,-0.6303,0.0004036096312836744,-2.1121,-1.8518,29,1157,0.23380001288252641
