gene,cohens_d,p_value,mean_test,mean_control,n_test,n_control,fdr
PLEKHA1,-0.6063,1.0682117841410653e-12,0.1419,0.2314,107,1079,6.564161413546846e-09
MLST8,-0.6052,9.323563495330347e-08,-0.9426,-0.7217,107,1079,0.00014323324419701245
PLEKHH3,-0.5371,9.561665042377918e-09,0.0372,0.1238,107,1079,2.2033661882029613e-05
UBR5,0.5116,9.920864946809547e-07,-0.4029,-0.5778,107,1079,0.001016061918302411
HSP90B1,0.5139,1.1223953208194991e-07,-0.4332,-0.5821,107,1079,0.00015916429030236512
USP7,0.5367,2.889228327557333e-09,-0.5773,-0.8264,107,1079,8.877154036419906e-06
PIK3CA,0.5371,1.7535962513814628e-11,-0.3017,-0.4809,107,1079,8.081886723554317e-08
CNPY2,0.5381,1.1322668486901813e-08,-0.1683,-0.2624,107,1079,2.3192599284003882e-05
LIN37,0.543,2.3498800782615916e-07,-0.0883,-0.2008,107,1079,0.000309428851733946
OST4,0.5481,4.3186806332204683e-07,-0.2702,-0.4319,94,973,0.0005307658498227956
OSTC,0.5578,7.222283541205405e-09,-0.5118,-0.6447,107,1079,1.9020399583160235e-05
IRS2,0.5593,2.9244168811563394e-11,-0.2018,-0.3997,107,1079,1.0782325040823423e-07
IGF1R,0.6584,5.772338180372022e-13,-0.0788,-0.2758,107,1079,5.320652717757911e-09
INPPL1,0.7815,1.3258857770449081e-08,0.066,-0.0488,107,1079,2.444270429982288e-05
