gene,cohens_d,p_value,mean_test,mean_control,n_test,n_control,fdr
RHNO1,-1.1417,5.8504812787601445e-06,-0.2553,-0.0817,22,1164,0.10490497980944816
DDX19B,-0.9633,4.372225961762578e-05,-0.3486,-0.2097,22,1164,0.3919919186018239
DEFB108B,1.442,0.00011483457366729259,0.5013,0.1176,9,307,0.42749567052781695
RPL36,0.8069,0.00014595656447760535,-1.6475,-1.9736,22,1164,0.42749567052781695
ANTXRL,0.7699,0.00018444770738570596,-0.1504,-0.2585,22,1164,0.42749567052781695
DLGAP1,0.7262,0.0001997672101117398,0.2082,0.1356,22,1164,0.42749567052781695
PGC,0.874,0.00020479459540246058,0.0469,-0.0513,22,1164,0.42749567052781695
SETD1B,0.6676,0.00021308631131955463,-0.0839,-0.2491,22,1164,0.42749567052781695
CIP2A,-1.0603,0.00024345776469753087,-0.4983,-0.2588,22,1164,0.42749567052781695
CACNA1I,-0.7679,0.000259487943123584,-0.0924,-0.012,22,1164,0.42749567052781695
OSR2,0.7961,0.0002652637180073468,0.1108,0.0167,22,1164,0.42749567052781695
NBN,-0.8814,0.00028609380661055175,-0.213,-0.0579,22,1164,0.42749567052781695
NLGN4Y,-1.1948,0.00033877733308952836,0.3819,0.503,10,345,0.44356905783447476
RAD54B,-0.7053,0.00036073564206709914,-0.0764,-0.0023,22,1164,0.44356905783447476
HELQ,-0.9877,0.00039881119759993804,-0.1508,-0.041,22,1164,0.44356905783447476
MAT2A,-0.8647,0.000409386500591083,-1.8707,-1.4316,22,1164,0.44356905783447476
HYAL4,0.6143,0.00046520798429493287,0.0525,-0.0206,22,1164,0.44356905783447476
RPL4,0.6279,0.00048420144189519987,-2.6261,-2.8935,22,1164,0.44356905783447476
POTEI,0.7314,0.0005143369493869056,-0.2908,-0.4505,21,1144,0.44356905783447476
HIVEP3,0.8515,0.0005380264599188218,-0.0087,-0.1008,22,1164,0.44356905783447476
CMC4,0.668,0.0005558771442954063,0.1007,0.0387,22,1164,0.44356905783447476
ZSWIM2,-0.8191,0.0005663236656887629,-0.0753,0.0176,22,1164,0.44356905783447476
TSPAN8,-0.6986,0.0005689637125755909,-0.0611,0.0137,22,1164,0.44356905783447476
ESS2,-0.659,0.000594622054864345,-1.0589,-0.8694,22,1164,0.4442081754002619
TTF2,0.7247,0.0006658487613800629,-0.473,-0.6863,22,1164,0.4442081754002619
CENPX,-0.8129,0.0006860350261683495,-0.4576,-0.2938,22,1164,0.4442081754002619
OR10A5,-0.8549,0.0007052842959254618,-0.0445,0.0527,20,1047,0.4442081754002619
IRGM,-0.8046,0.0007939712823978284,-0.0022,0.0763,22,1164,0.4442081754002619
