gene,cohens_d,p_value,mean_test,mean_control,n_test,n_control,fdr
MDM2,0.6653,6.702318334270371e-19,-0.3611,-0.7056,300,886,1.2355723849227428e-14
TP53,-0.5778,1.136421741992826e-16,0.1444,0.4511,300,886,1.0474967406818874e-12
MDM4,0.5302,9.196384078066268e-14,-0.0673,-0.2381,300,886,5.651178015971722e-10
UBE2Q1,0.4605,6.073645071583584e-13,-0.2016,-0.3164,300,886,2.7991911723660846e-09
CDKN2B,0.3864,3.422079116414869e-11,0.1517,0.0881,299,866,1.261720570222162e-07
TP53BP1,-0.4531,1.843196031612275e-10,-0.1469,-0.0366,300,886,5.663219807128715e-07
WDR77,-0.4446,2.1850874836292072e-10,-1.5194,-1.3165,300,886,5.754583965814919e-07
KRTAP10-11,0.3981,2.5145631196414727e-10,-0.1131,-0.1736,300,886,5.794496388823818e-07
PRMT5,-0.4111,3.4099636608871574e-10,-1.2147,-1.0614,300,886,6.984742232050528e-07
CKAP2L,-0.4177,1.855769364843887e-09,-0.2371,-0.1604,300,886,3.4211108240897063e-06
VPS4A,-0.3866,1.6123467907916324e-08,-0.5414,-0.3976,300,886,2.6888537618506294e-05
IFNA21,0.4227,1.7502709597074886e-08,-0.0713,-0.1387,281,764,2.6888537618506294e-05
LARP1,-0.3395,2.234403576766269e-08,-0.3235,-0.2437,300,886,3.1685561490527825e-05
PELI1,-0.3164,3.263399717214402e-08,0.0315,0.0688,300,886,4.2971981276319646e-05
PPM1D,0.4575,5.1137498008025654e-08,-0.1422,-0.279,300,886,6.284798505186353e-05
PGF,-0.3303,8.077035040730531e-08,-0.0203,0.0201,300,886,9.306258810991709e-05
MYC,-0.3661,1.0268397331969965e-07,-2.1756,-1.9098,300,886,0.00011135170871462723
TNPO1,-0.3383,1.9107216725989004e-07,-0.4078,-0.3251,300,886,0.0001883346086169982
PYROXD1,-0.3291,1.941067297924039e-07,-0.762,-0.6519,300,886,0.0001883346086169982
PELO,-0.3688,2.1220248523568114e-07,-1.1049,-0.92,300,886,0.0001955976407659891
FOSL1,-0.307,2.2951452429795222e-07,-0.3764,-0.2812,300,886,0.00020148096454441664
SNX32,-0.3386,3.9388750559910565e-07,-0.2698,-0.2184,300,886,0.00033005982571452335
VDAC1,0.3097,5.172073881517325e-07,-0.6695,-0.7394,300,886,0.00041402739004809406
ENO1,-0.315,5.496554083574704e-07,-0.6442,-0.5172,300,886,0.00041402739004809406
ZNF551,0.3127,5.61469202668964e-07,0.0048,-0.0445,300,886,0.00041402739004809406
MRGPRE,0.3058,6.625336022103177e-07,-0.0226,-0.0677,300,886,0.0004697618060287387
CHEK2,-0.323,7.354768184774924e-07,0.1541,0.2125,300,886,0.0004970125777867901
HSPA13,-0.3773,7.548875605115337e-07,-0.2503,-0.153,300,886,0.0004970125777867901
PKHD1L1,-0.3247,9.958013485048218e-07,0.0114,0.0502,300,886,0.0006330206158512547
CDK6,-0.2809,1.1791026957097287e-06,-0.7053,-0.5542,300,886,0.0007017007496318488
SUCO,-0.3496,1.1860905881697214e-06,-0.2102,-0.1278,300,886,0.0007017007496318488
FBXO42,-0.2893,1.2180322206790975e-06,-0.2275,-0.137,300,886,0.0007017007496318488
CD44,-0.3105,1.5710808030841894e-06,-0.0647,-0.0106,300,886,0.0008776628668138494
SKP2,0.3394,1.6720259159738945e-06,-0.6251,-0.7752,300,886,0.0009065822870876102
LGI1,-0.2623,2.017542813263877e-06,-0.151,-0.1137,300,886,0.0009826111054738673
CKS1B,0.33,2.0483930281013363e-06,-0.7053,-0.812,282,785,0.0009826111054738673
ITGA8,0.3158,2.0489163066708667e-06,-0.0391,-0.0762,300,886,0.0009826111054738673
LARP4,-0.2968,2.0528707867279507e-06,-0.3062,-0.2566,300,886,0.0009826111054738673
EMC8,0.3098,2.0787541694321033e-06,-0.1278,-0.1693,300,886,0.0009826111054738673
DNAJC19,0.2243,2.2623888017704676e-06,-0.2629,-0.3312,300,886,0.0010426784390159642
ACD,0.3275,2.616847459880529e-06,-0.3148,-0.3803,300,886,0.0011766239737292085
OR13J1,-0.2732,2.7049138059939827e-06,-0.0348,-0.0048,282,785,0.0011872639527023589
IFNA17,0.3404,3.0281697878908926e-06,0.0138,-0.0438,281,765,0.0012982397683667117
XPO7,-0.3384,3.2073742976906883e-06,-0.0323,0.0281,300,886,0.0013099327046652478
TMEM209,-0.3051,3.262492416123927e-06,-0.0731,-0.029,300,886,0.0013099327046652478
OR10J1,-0.3345,3.328020270006252e-06,0.0611,0.0926,282,785,0.0013099327046652478
IFNA4,0.3655,3.379887232321161e-06,-0.0248,-0.0765,281,765,0.0013099327046652478
PFDN1,-0.3043,3.410727953562891e-06,-0.8523,-0.7263,300,886,0.0013099327046652478
ATM,-0.3112,3.954161814627135e-06,-0.0773,-0.0121,300,886,0.0014876525112785966
ZFR,0.3144,4.059422365861838e-06,-0.2475,-0.3088,300,886,0.0014909342922767418
PPM1G,0.3448,4.124635145436064e-06,-0.196,-0.2884,300,886,0.0014909342922767418
ISY1,0.2656,4.61435570469178e-06,-1.0849,-1.1508,300,886,0.0016358778349229415
CCDC6,-0.3258,4.929837007920983e-06,-0.2633,-0.178,300,886,0.0017147461366230816
URI1,-0.2935,5.064549607890781e-06,-1.2045,-1.1224,300,886,0.0017289809633604916
INA,0.3072,5.231830928803915e-06,0.0467,-0.0048,300,886,0.0017536146031363667
NMNAT1,0.2447,5.712970148924938e-06,-0.3362,-0.4462,300,886,0.0018806893695612718
SLC25A25,0.2715,6.565955685909259e-06,-0.1463,-0.1878,300,886,0.0020642166057492682
DEFB125,0.2354,6.620467507880535e-06,0.057,0.0243,300,886,0.0020642166057492682
ZBED6,0.2656,6.76795715152681e-06,-0.0705,-0.1013,300,886,0.0020642166057492682
PCNA,-0.2853,6.792842342632787e-06,-3.1565,-3.013,300,886,0.0020642166057492682
TIRAP,0.2602,6.830334307062944e-06,0.0962,0.0667,300,886,0.0020642166057492682
PPP1R12A,-0.297,7.091877707404232e-06,-1.3548,-1.1789,300,886,0.002108689766709629
C22orf39,-0.2958,7.756399568000463e-06,-0.1571,-0.1091,300,886,0.002269670254541088
TMEM40,0.2548,8.04439680958522e-06,0.0289,-0.0035,300,886,0.0023171633622609926
CYCS,0.2568,8.319872929786765e-06,-0.9844,-1.0964,300,886,0.0023596439609326002
ESCO1,-0.2886,9.506042282182618e-06,0.0148,0.0582,300,886,0.0026552104465460084
RBM17,0.274,9.864676814217722e-06,-1.0923,-1.1761,300,886,0.0027142584637328913
PSME1,0.3038,1.0573425338238075e-05,-0.1212,-0.1789,300,886,0.0028664867075061605
OCEL1,-0.2906,1.0823536798123665e-05,0.0271,0.0585,300,886,0.002891766679324779
NFE2L2,-0.3456,1.1608213423543232e-05,-0.312,-0.2164,300,886,0.0030571059209002784
CYFIP1,-0.2539,1.1839169317596056e-05,-0.3235,-0.278,300,886,0.0030740153009842716
UBE2N,-0.3337,1.2085309567471624e-05,-1.3063,-1.135,300,886,0.003094342803838047
RPL11,-0.2806,1.2626080583439443e-05,-2.4715,-2.3414,300,886,0.00317913890518577
USP7,0.3209,1.2876316176768401e-05,-0.6924,-0.8417,300,886,0.00317913890518577
MADD,-0.3134,1.2933844203359519e-05,-0.0393,-0.0039,300,886,0.00317913890518577
CRKL,-0.2506,1.3522773417907869e-05,-1.0514,-0.8922,300,886,0.003280162209988573
NECTIN1,0.2663,1.403715861142814e-05,0.0514,0.0154,300,886,0.0033442475594998625
SLC35B4,-0.2978,1.4149786256630827e-05,0.0935,0.1287,300,886,0.0033442475594998625
