gene,cohens_d,p_value,mean_test,mean_control,n_test,n_control,fdr
CCN3,-0.62,3.5883010625693564e-07,-0.0218,0.0356,69,1117,0.006434182635293113
ANKRD49,0.5618,3.5000887685675914e-06,-0.245,-0.4346,69,1117,0.03138004585459274
MDM2,0.5526,9.839811821884766e-06,-0.3402,-0.6357,69,1117,0.05881255525940524
PGM3,0.4835,3.484328473723868e-05,-0.1487,-0.3043,69,1117,0.1561937346558567
PPM1D,0.4672,5.336376606922954e-05,-0.111,-0.2526,69,1117,0.17340384751329455
ATP8A2,-0.4764,6.39750650233815e-05,-0.1025,-0.0404,69,1117,0.17340384751329455
OFD1,0.5883,6.769432449908325e-05,0.1455,0.0769,69,1117,0.17340384751329455
ZWILCH,0.4824,9.298962891025322e-05,-0.0832,-0.1756,69,1117,0.20842462949871882
RIT1,-0.5523,0.00012046713439427403,-0.261,-0.1797,69,1117,0.2400106874248586
CALHM6,-0.445,0.00016052968331472744,0.0216,0.0589,69,1117,0.26388913190715374
SCNN1A,0.4069,0.00020571372988463317,0.0666,0.0082,69,1117,0.26388913190715374
TP53,-0.462,0.00021017480831519436,0.1367,0.3881,69,1117,0.26388913190715374
KNTC1,0.4473,0.00022125486118941716,-0.2285,-0.3612,69,1117,0.26388913190715374
TPGS2,0.4151,0.00024026642429443522,0.0635,0.012,69,1117,0.26388913190715374
PPM1G,0.4332,0.000251756794831654,-0.155,-0.2718,69,1117,0.26388913190715374
USP9Y,-0.6316,0.0002638354030602491,0.3628,0.4573,23,332,0.26388913190715374
AVPI1,-0.4179,0.00027282614980687946,-0.0741,-0.0294,69,1117,0.26388913190715374
SRSF2,-0.4397,0.00027436510582740976,-2.8283,-2.6296,69,1117,0.26388913190715374
CDKN1A,-0.4338,0.0002938895888236476,0.1387,0.2572,69,1117,0.26388913190715374
NUDCD1,0.3536,0.0003043453487960266,0.0383,-0.0207,69,1117,0.26388913190715374
RBSN,0.4072,0.00030905536612850525,-0.2334,-0.3427,69,1117,0.26388913190715374
ADAM7,-0.3767,0.00033690450487383324,-0.0471,-0.005,69,1117,0.2745924853133047
RPL32,0.4436,0.00035364550857555773,-2.3751,-2.5656,69,1117,0.27570511366384026
TMEM276,0.3927,0.0003959710452295569,-0.1449,-0.2169,69,1096,0.29583986716713273
DPM1,0.4135,0.00041713635118330143,-0.1535,-0.2579,69,1117,0.2991868765227111
SLC6A12,0.4208,0.0004508883242809509,-0.0119,-0.065,69,1117,0.3031301874576159
GNAI3,-0.4545,0.00045644498696980815,-0.1766,-0.1094,69,1117,0.3031301874576159
DHX38,-0.3592,0.0005149412199000491,-0.6439,-0.5683,69,1117,0.3178997137218717
DBNL,0.4089,0.0005254628845190457,0.0001,-0.0519,69,1117,0.3178997137218717
SPRED1,-0.4159,0.0005318716977110117,0.1368,0.1846,69,1117,0.3178997137218717
SHOC2,-0.3364,0.0006431304665800158,-0.3496,-0.2522,69,1117,0.3605723427708492
RGS19,0.3615,0.0006534625551607959,0.0445,-0.0018,69,1117,0.3605723427708492
FLI1,0.256,0.0007046817650645588,0.0014,-0.068,69,1117,0.3605723427708492
CYB5B,0.3401,0.0007292627140800317,-0.2297,-0.3561,69,1117,0.3605723427708492
ZNF214,0.4308,0.00073311434132528,0.0625,0.0216,69,1117,0.3605723427708492
DPP7,0.3439,0.0007911287773792778,-0.0914,-0.1502,69,1117,0.3605723427708492
PPP6C,0.3765,0.0008456331835632149,-0.4975,-0.6239,69,1117,0.3605723427708492
FBXO47,-0.3718,0.0008500520720582078,-0.178,-0.1017,69,1117,0.3605723427708492
