gene,cohens_d,p_value,mean_test,mean_control,n_test,n_control,fdr
PTEN,-0.6918,1.800495181919849e-17,0.1493,0.4402,107,1079,3.3192128678692417e-13
IGF1R,0.6584,5.772338180372022e-13,-0.0788,-0.2758,107,1079,5.320652717757911e-09
PLEKHA1,-0.6063,1.0682117841410653e-12,0.1419,0.2314,107,1079,6.564161413546846e-09
PIK3CA,0.5371,1.7535962513814628e-11,-0.3017,-0.4809,107,1079,8.081886723554317e-08
IRS2,0.5593,2.9244168811563394e-11,-0.2018,-0.3997,107,1079,1.0782325040823423e-07
USP7,0.5367,2.889228327557333e-09,-0.5773,-0.8264,107,1079,8.877154036419906e-06
OSTC,0.5578,7.222283541205405e-09,-0.5118,-0.6447,107,1079,1.9020399583160235e-05
PLEKHH3,-0.5371,9.561665042377918e-09,0.0372,0.1238,107,1079,2.2033661882029613e-05
CNPY2,0.5381,1.1322668486901813e-08,-0.1683,-0.2624,107,1079,2.3192599284003882e-05
INPPL1,0.7815,1.3258857770449081e-08,0.066,-0.0488,107,1079,2.444270429982288e-05
PIK3CB,-0.6916,3.48366094566135e-08,-0.2724,-0.1218,107,1079,5.8382990484788166e-05
MLST8,-0.6052,9.323563495330347e-08,-0.9426,-0.7217,107,1079,0.00014323324419701245
HSP90B1,0.5139,1.1223953208194991e-07,-0.4332,-0.5821,107,1079,0.00015916429030236512
LIN37,0.543,2.3498800782615916e-07,-0.0883,-0.2008,107,1079,0.000309428851733946
OST4,0.5481,4.3186806332204683e-07,-0.2702,-0.4319,94,973,0.0005307658498227956
USP28,-0.4401,6.982373404669804e-07,0.0472,0.1377,107,1079,0.0008045003357192989
IRS1,0.4351,8.90059883986757e-07,-0.0182,-0.1108,107,1079,0.0009651914094879919
UBR5,0.5116,9.920864946809547e-07,-0.4029,-0.5778,107,1079,0.001016061918302411
FURIN,0.4131,2.8256288846139386e-06,-0.0845,-0.2242,107,1079,0.002741603604624103
HAPSTR1,0.4442,6.122102778785044e-06,-0.2893,-0.4602,107,1079,0.005643048236345114
FOXK1,-0.4329,7.408966555023186e-06,-0.366,-0.2414,107,1079,0.006504014211516783
BRAP,0.3837,9.163837654073632e-06,-0.1636,-0.2616,107,1079,0.007678879416038519
KLK12,-0.414,1.4666927762646723e-05,0.0218,0.0622,107,1079,0.011755861448017059
CDK2AP1,0.4007,1.7133362897004043e-05,-0.1111,-0.1654,107,1079,0.01316056437526123
BACH1,-0.3872,1.7952036713565727e-05,0.0456,0.1025,107,1079,0.013237831872583367
RICTOR,-0.4821,1.9288640049100504e-05,-0.5536,-0.4125,107,1079,0.013577895330018526
PIK3R2,0.4024,1.9886258416625994e-05,-0.1051,-0.1657,107,1079,0.013577895330018526
STT3A,0.4272,2.0912434767355915e-05,-0.1611,-0.2708,107,1079,0.013768597676293083
CHD1L,-0.4499,2.1988901595401005e-05,-0.1272,-0.0631,107,1079,0.013978117272800605
PLGRKT,-0.417,2.9334245798576795e-05,0.1854,0.2323,107,1079,0.01802589404322544
JUNB,0.4115,3.3094729693295023e-05,-0.192,-0.2943,107,1079,0.019680688448254637
OTUD5,0.461,3.5483872621714266e-05,-0.1666,-0.3166,107,1079,0.020442037243165703
CYP2A13,0.4172,3.659748932727951e-05,-0.2628,-0.332,107,1079,0.020444688356012052
ABTB1,0.2876,5.1185196774579384e-05,0.0814,0.0496,107,1079,0.027752914780569734
CCND1,0.3631,6.267497087010899e-05,-0.9436,-1.2615,107,1079,0.032664254705526724
XAB2,-0.3803,6.43422949731441e-05,-2.5409,-2.3789,107,1079,0.032664254705526724
MYBL2,0.3867,6.555885132110057e-05,-0.4143,-0.5448,107,1079,0.032664254705526724
MDM4,0.405,8.297863483256337e-05,-0.0739,-0.2069,107,1079,0.04025555613521857
LONP1,-0.3835,8.955232398827758e-05,-1.9051,-1.6678,107,1079,0.04233069468522813
ARHGEF7,0.413,9.555881430478834e-05,-0.243,-0.3883,107,1079,0.044040668542719326
SPINT2,0.3593,0.00010357096717935539,-0.0825,-0.1407,107,1079,0.04656904341344918
AKT1,-0.5154,0.00011059371005055906,-0.1751,-0.0763,107,1079,0.04854273916147753
TP53,-0.3912,0.00012555398407196309,0.1799,0.3927,107,1079,0.0538276208457358
PREB,-0.4073,0.0001351008372090138,-1.0086,-0.9,107,1079,0.056604180317003844
PIP4K2B,-0.3928,0.00013854279932133887,-0.0713,-0.0267,107,1079,0.05675636678864183
EIPR1,0.3601,0.00014830634674052362,-0.0953,-0.1759,107,1079,0.05943538048177289
PTP4A1,0.3596,0.00015297183714367782,-0.1765,-0.2475,107,1079,0.06000076207965321
MNX1,-0.3231,0.00015777523092382414,-0.0499,-0.0127,107,1079,0.060595549626681205
LIG4,0.3926,0.00016583553869666757,-0.0315,-0.0919,107,1079,0.06239139093618504
NCSTN,0.3863,0.0001736655853111814,0.0032,-0.0736,107,1079,0.06403050130423259
DHX9,-0.2944,0.0001795001679058852,-1.0541,-0.9443,107,1079,0.06488403128127439
PGP,-0.3885,0.00018378003407710372,-0.2856,-0.1906,107,1079,0.06515355631175783
PCID2,-0.3551,0.00019172653322079976,-1.2381,-1.1292,107,1079,0.06568428595887897
SRP72,0.3661,0.00019240311590883996,-0.9237,-1.022,107,1079,0.06568428595887897
OR5C1,-0.3309,0.0002014438617426882,0.0369,0.0794,94,973,0.06752031984048104
YWHAB,-0.3992,0.0002078678902940711,-0.0908,-0.0342,107,1079,0.06842936709948573
SPANXN3,0.4007,0.00021477515723426603,-0.0363,-0.0919,107,1079,0.0694628074318192
PSMC2,0.3347,0.00022138150828061523,-1.3594,-1.4763,107,1079,0.07036496733022658
MASTL,-0.3894,0.00023353930163981838,-1.6243,-1.4645,107,1079,0.07049223780586694
PRKAR1A,-0.4378,0.00023517051801866826,-0.2897,-0.1667,107,1079,0.07049223780586694
OSTF1,-0.3209,0.00023626392865806252,0.0115,0.0474,107,1079,0.07049223780586694
GAB2,0.3249,0.00023985054769174705,-0.1491,-0.2198,107,1079,0.07049223780586694
RPTOR,-0.3867,0.00024518451724294093,-0.9946,-0.8793,107,1079,0.07049223780586694
RPL31,0.374,0.00024861045818724077,-2.5815,-2.7389,107,1079,0.07049223780586694
WNK1,0.3945,0.00024918579524492814,-0.8733,-1.0606,107,1079,0.07049223780586694
PPM1D,0.3771,0.00025237253567600854,-0.1404,-0.2547,107,1079,0.07049223780586694
PRELID1,-0.343,0.0002655056527538119,-3.1978,-3.057,107,1079,0.07305368221666451
SH2B1,0.2832,0.0002860836818473059,-0.0631,-0.0979,107,1079,0.0775581275713983
TIMM9,-0.2892,0.00030119529880457606,-0.6125,-0.5437,107,1079,0.07973688943775639
NT5C1A,0.3866,0.0003056981220659936,0.0523,0.0084,107,1079,0.07973688943775639
WDR26,0.3338,0.00030709623813836203,-0.3932,-0.4936,107,1079,0.07973688943775639
IRX5,-0.3113,0.0003159710166540912,-0.0409,0.0011,107,1079,0.08034033641391435
GNA12,-0.3352,0.00031813640131357455,0.0587,0.1016,107,1079,0.08034033641391435
ENY2,-0.3651,0.0003225089079580558,-0.4336,-0.3548,107,1079,0.08034394213792917
MRM1,-0.4087,0.0003306716126644298,-0.2159,-0.1622,107,1079,0.08127908239291685
ACTN4,-0.3488,0.0003436678562788879,-0.0304,0.022,107,1079,0.08265292866176754
SP1,0.3086,0.00034522785500168705,-0.1443,-0.2295,107,1079,0.08265292866176754
PRMT1,-0.3225,0.0003539269158398135,-1.4906,-1.3698,107,1079,0.0836492653013713
RAP1B,0.3121,0.00038862595382723863,-0.3135,-0.3733,107,1079,0.08766172742392975
VGLL1,-0.3729,0.0003890627647641491,0.1112,0.1406,107,1079,0.08766172742392975
SZT2,0.2928,0.0003961144347570812,-0.0742,-0.1238,107,1079,0.08766172742392975
MDM2,0.4366,0.0003974498460243818,-0.406,-0.6395,107,1079,0.08766172742392975
FDXR,-0.3557,0.0003974498460243818,-0.8834,-0.7356,107,1079,0.08766172742392975
UBE2D3,0.3633,0.0004010315353429346,-0.7128,-0.8852,107,1079,0.08766172742392975
NELFA,-0.3516,0.0004041902267986997,-1.1467,-1.0084,107,1079,0.08766172742392975
NADSYN1,0.2896,0.00041612713153023307,0.0015,-0.0325,107,1079,0.0892012054623238
AGO1,-0.3713,0.0004250575912781849,-0.2198,-0.1704,107,1079,0.08953072177430771
TAF1C,-0.3663,0.0004279147090513104,-1.4761,-1.3342,107,1079,0.08953072177430771
KICS2,0.3544,0.0004322340242969019,0.0733,0.0246,107,1079,0.08953072177430771
TUBB4B,0.3088,0.000439523449698365,-0.3192,-0.4323,107,1079,0.09002905327988177
LIN52,0.2622,0.0004534383423103926,-0.4987,-0.5506,107,1079,0.090770733707506
FMR1,-0.2666,0.00046157319515987747,0.0759,0.1056,107,1079,0.090770733707506
PDE12,-0.2831,0.0004620861178937248,-0.418,-0.3444,107,1079,0.090770733707506
ZNF670,-0.3191,0.00046362807881459797,0.0975,0.1577,107,1079,0.090770733707506
TMEM30A,0.3551,0.00046776347720168545,-0.1175,-0.1912,107,1079,0.090770733707506
RCBTB2,0.2941,0.0004889616281376628,-0.0414,-0.0775,107,1079,0.09389591265331054
QTRT1,-0.3051,0.0004943993970948861,-0.195,-0.1561,107,1079,0.09396136995303325
TMEM275,1.6518,0.0005100842310144636,0.4259,0.1754,4,41,0.09494723140279192
CHSY3,-0.3187,0.0005121815563824212,-0.0038,0.0316,107,1079,0.09494723140279192
GUCA1C,-0.3605,0.0005334847408568945,-0.0509,-0.0095,107,1079,0.09494723140279192
ZNF124,0.3408,0.0005340718002297429,-0.0478,-0.0975,107,1079,0.09494723140279192
GORAB,-0.2279,0.0005364260624175052,0.0449,0.0758,107,1079,0.09494723140279192
IST1,0.3582,0.0005381981008532575,-0.1469,-0.2111,107,1079,0.09494723140279192
METTL13,-0.3493,0.0005405693036508948,-0.0825,-0.0437,107,1079,0.09494723140279192
ZNF14,-0.3165,0.0005429502368848217,0.0957,0.1385,107,1079,0.09494723140279192
KLF4,-0.2937,0.000545940142592674,-0.0961,-0.0557,107,1079,0.09494723140279192
TRIM50,0.3,0.0005556112318592183,-0.0655,-0.1064,107,1079,0.09525668574545182
NAV2,0.3854,0.0005580538139684728,0.01,-0.0403,107,1079,0.09525668574545182
SLC9A2,-0.3825,0.0005735479704039617,-0.049,-0.0082,107,1079,0.09700327371006454
HSPA9,-0.4174,0.0005887983841545812,-2.5022,-2.3497,107,1079,0.0986069545600972
SASS6,0.313,0.0005965643629551598,-0.778,-0.8762,107,1079,0.0986069545600972
COPS4,0.3318,0.0006037668292161679,-0.9497,-1.0477,107,1079,0.0986069545600972
SREK1,0.3412,0.0006044255961644146,-0.2342,-0.3079,107,1079,0.0986069545600972
CA14,-0.3541,0.0006285915556818081,-0.0365,0.002,107,1079,0.10164987130696608
GRPEL1,-0.3619,0.0006417052985384165,-1.273,-1.1726,107,1079,0.10286814937874529
CCT6A,-0.287,0.0006557838301734285,-1.4417,-1.3542,107,1079,0.10421874921764789
MED24,0.287,0.0006679758609899539,-0.3598,-0.4752,107,1079,0.10524901707136582
TMEM45A,-0.3252,0.0006892615889172231,0.0978,0.1357,107,1079,0.10662823028109471
PCDHB12,0.3802,0.0006944931314700797,0.1215,0.0812,107,1079,0.10662823028109471
FBN2,-0.3306,0.0006952435001236891,0.0401,0.0724,107,1079,0.10662823028109471
HUWE1,0.363,0.000704306889102631,-0.7513,-0.8674,107,1079,0.10662823028109471
PSG6,0.3285,0.0007073523354640966,-0.0592,-0.1075,107,1079,0.10662823028109471
DEXI,1.5295,0.0007114332695728044,0.316,-0.0103,4,41,0.10662823028109471
STIP1,-0.3403,0.0007251024249190045,-0.295,-0.2273,107,1079,0.10780050970469233
KRAS,0.2927,0.0007392814769171291,-0.5278,-0.7154,107,1079,0.10902923221573821
LMNA,-0.4506,0.0007643061770068935,-0.3446,-0.2362,107,1079,0.1118252728025562
