gene,cohens_d,p_value,mean_test,mean_control,n_test,n_control,fdr
E2F3,-1.6176,4.119713799858339e-19,-0.8282,-0.3481,80,1106,1.898673097509712e-15
CCNE2,-1.2077,3.767449203548112e-14,-0.2617,-0.0608,80,1106,1.1575487677901573e-10
CKS1B,-1.1085,1.005716251848932e-12,-1.1089,-0.76,73,994,2.6486255861192943e-09
TFDP1,-0.8346,1.4228423001103327e-10,-0.8828,-0.6164,80,1106,2.6230097802533985e-07
CDK2,-0.7861,1.4817594545775868e-09,-1.0498,-0.761,80,1106,2.101248888087524e-06
INTS8,-0.7098,1.2017596277976156e-07,-1.1321,-0.9633,80,1106,0.00010070199426567748
RB1,-0.7006,8.951229956390611e-12,0.0518,0.2026,80,1106,1.833510269400677e-08
YEATS2,-0.691,2.3883565642708e-08,-0.6974,-0.5344,80,1106,2.3173343822280105e-05
UBE2Q1,-0.5979,1.8979879560805318e-07,-0.4276,-0.2772,80,1106,0.00014955331704615625
ZZZ3,-0.596,7.288375664032953e-07,-0.4101,-0.2995,80,1106,0.00046331450126361204
TADA2A,-0.5957,2.4822733783763985e-07,-0.6508,-0.522,80,1106,0.00016948411011247742
SOX4,-0.5927,0.00026143737020315947,-0.1353,-0.0317,80,1106,0.041493956535158104
CCNE1,-0.5712,2.9361563115816184e-09,-0.3397,-0.1816,80,1106,3.8662886860005095e-06
ORC6,-0.5536,3.0280998089568186e-06,-2.0851,-1.8134,80,1106,0.0015087302696788906
CDC73,-0.543,5.089212699541549e-06,-1.2447,-1.0987,80,1106,0.0022338008599059153
DYRK1A,-0.5216,7.221623834207962e-06,-0.2391,-0.0706,80,1106,0.003025696258718722
USP28,-0.5052,1.2152884038439586e-05,0.0326,0.1366,80,1106,0.004392910142130074
MEIOC,-0.5009,4.15791312344502e-06,-0.305,-0.2365,80,1106,0.0019162782107677236
SUPT20H,0.5015,4.011896813195569e-06,0.0101,-0.1549,80,1106,0.0018963927628528286
NSUN5,0.5037,2.3009731423485725e-06,-0.1057,-0.1915,80,1106,0.0012119554251198838
H2BC10,0.5066,6.48160951847064e-05,-0.1102,-0.1876,80,1106,0.01572216729907977
DNM2,0.5109,4.089172648994547e-05,-0.9255,-1.2038,80,1106,0.010617450392142883
STRAP,0.5194,2.3669296942979863e-06,-0.7201,-0.9212,80,1106,0.0012120652476217606
RCBTB2,0.5239,8.538399491403694e-06,-0.0147,-0.0785,80,1106,0.003331295382163521
PSMG2,0.5266,2.281912432609547e-06,-0.5674,-0.7728,80,1106,0.0012119554251198838
MAU2,0.5487,1.4258870455940372e-06,-0.3169,-0.5268,80,1106,0.0007965523541068508
AQP12B,0.5513,1.0801259675969095e-06,-0.1147,-0.2105,80,1106,0.0006222538191452821
SASS6,0.5633,1.9469919224886087e-07,-0.7035,-0.8792,80,1106,0.00014955331704615625
CCND3,0.5701,1.5813865986632911e-12,-0.1538,-0.3568,80,1106,3.6441077432947216e-09
QKI,0.5861,2.82599745956634e-07,0.075,-0.0366,80,1106,0.00018606165416823386
PSMG1,0.5892,2.3513023783203406e-07,-0.325,-0.5652,80,1106,0.000166716382093598
CCNF,0.5892,8.292615191728541e-09,0.0455,-0.106,80,1106,8.71703453211243e-06
UBE2D3,0.5995,5.035018261527336e-08,-0.6059,-0.8887,80,1106,4.641028082562822e-05
HAPSTR1,0.5996,9.002376031400336e-07,-0.2304,-0.4603,80,1106,0.0005531960071295507
MED12,0.6301,2.059891215081123e-07,-0.3259,-0.6212,80,1106,0.000151896378200082
USP7,0.6381,9.476071974950926e-08,-0.528,-0.8239,80,1106,8.318637469439063e-05
ZNF574,0.6589,8.511343725414902e-09,-0.4807,-0.6714,80,1106,8.71703453211243e-06
CDK4,0.7045,5.8526039061844815e-15,-0.3893,-0.7743,80,1106,2.1578550602102184e-11
ATP6V1G1,0.7774,7.531356857645313e-09,-0.9137,-1.2327,80,1106,8.677535229418208e-06
LIN37,0.8254,2.37331515168866e-10,-0.0325,-0.2021,80,1106,3.9774604383073134e-07
RBL2,0.8413,3.3768512980076246e-09,0.1859,0.0839,80,1106,4.150150245251371e-06
RPS10,0.8917,8.313310637101118e-06,-0.7913,-1.0725,27,328,0.003331295382163521
CDK6,0.9308,1.7800538287679972e-20,-0.1343,-0.6255,80,1106,1.0938430777779344e-16
CCND1,1.0237,4.914830954396326e-21,-0.4189,-1.2917,80,1106,4.530245432214814e-17
