dep_gene,n_double,n_a_only,n_b_only,n_wt,mean_double,mean_a_only,mean_b_only,mean_wt,d_main_a,d_main_b,p_main_a,p_main_b,interaction_d,interaction_delta,p_interaction,p_kruskal,classification,from_atlas_a,from_atlas_b,fdr_interaction,fdr_classification
WRN,34,91,67,994,-0.7514879243015044,-0.4851366482321482,-0.16994458051929084,-0.14696950914038412,-1.3096,-0.5725,4.513655346220171e-09,0.012365730159128062,0.0779,-0.2434,0.0011512803316472658,1.5908831298819396e-08,synergistic,True,False,0.057564,additive
TRDN,34,91,67,994,0.161375182637877,0.1123360435857022,0.10169093774329993,0.10490734012628951,0.1823,0.1412,0.04499532037618943,0.16791306724089583,0.5851,0.0523,0.00957863449496455,0.02973489011299381,antagonistic,True,False,0.239466,additive
UGCG,34,91,67,994,-0.07123787281220707,-0.15786094961470576,-0.1968113401962376,-0.13763161074953167,0.0298,-0.0641,0.3732542977622002,0.36155337019334055,0.6274,0.1458,0.016694841319375577,0.03246555875202945,antagonistic,True,False,0.278247,additive
ATG16L1,34,91,67,994,-0.024856279856333492,-0.006193067252500584,0.03587699420703701,-0.0006976434705100376,-0.1018,0.1311,0.5501993989322951,0.256993586178473,-0.5064,-0.0552,0.04418539939064895,0.05792374107481947,synergistic,True,False,0.498444,additive
KIF18A,34,91,67,994,-1.5269357784822362,-1.2380678938524734,-1.3117880964646582,-1.316066045809946,-0.0011,-0.1012,0.8033342782368884,0.5508222264007061,-0.3803,-0.2931,0.049844432272244624,0.24987401303367207,synergistic,True,False,0.498444,additive
TRAK2,34,91,67,994,0.017151940024839784,0.035062973080564684,0.056356236429563604,0.02633281531258929,0.0184,0.1512,0.5494625196178782,0.12521767719470042,-0.46,-0.0479,0.061561544715623466,0.029710746272062605,additive,True,False,0.513013,additive
P2RX5,34,91,67,994,0.024790652621169085,0.05766905126141596,0.0675470877641189,0.04024930007722756,0.0513,0.087,0.7149108715875596,0.8098998157822478,-0.4547,-0.0602,0.08303213883069048,0.2779335790455064,additive,True,False,0.536278,additive
FYTTD1,34,91,67,994,-0.06224073689708079,-0.024865801632283885,-0.01085367204700791,-0.01974672230919085,-0.1046,-0.0526,0.5518591547783693,0.695196004625438,-0.3479,-0.0463,0.09054446295507472,0.4298069746303135,additive,True,False,0.536278,additive
MCM3,34,91,67,994,-1.0956154969356573,-0.9830853184506196,-0.9716238160087054,-0.9614994493704272,-0.1769,-0.1717,0.2209853162166796,0.2266033995672081,-0.2906,-0.1024,0.09653002822551872,0.28463162210822385,additive,True,False,0.536278,additive
H2BC7,29,83,58,897,-0.01926756498397293,0.004303251776325985,0.014443105216987426,-0.0048523041070367215,0.0141,0.0547,0.8461910177796335,0.8330948626448813,-0.3569,-0.0429,0.1493979310741736,0.4604356187393812,additive,True,False,0.652682,additive
