dep_gene,n_double,n_a_only,n_b_only,n_wt,mean_double,mean_a_only,mean_b_only,mean_wt,d_main_a,d_main_b,p_main_a,p_main_b,interaction_d,interaction_delta,p_interaction,p_kruskal,classification,from_atlas_a,from_atlas_b,fdr_interaction,fdr_classification
WRN,37,88,109,952,-0.9568708618523353,-0.3897023014413661,-0.14263819627086366,-0.14908236931387622,-1.3096,-0.5415,4.513655346220171e-09,0.006882237387321026,-0.7554,-0.5736,4.932027367948728e-07,3.253226832380099e-10,synergistic,True,True,4.9e-05,synergistic
HIGD2A,37,88,109,952,-0.3920837151543838,-0.24984299538840749,-0.2319283179090854,-0.2514174395906413,-0.2638,-0.1314,0.011887482984266506,0.1782962018141866,-0.9829,-0.1617,9.563896023566563e-05,0.0006292136816951391,synergistic,False,True,0.004734,synergistic
MTIF3,37,88,109,952,-0.21921922829632912,-0.11590505636434836,-0.1087171472885782,-0.11137263995994734,-0.2452,-0.1728,0.03734212786169547,0.12704291485235794,-0.6966,-0.106,0.00031220725556363335,0.0018498310636165928,synergistic,False,True,0.010303,synergistic
CYP2C9,37,88,109,952,0.17562546564770895,0.11144212899133366,0.10204527980865805,0.10320702760141934,0.2809,0.1721,0.0014503642543439127,0.11981730443459272,0.6098,0.0653,0.0004954551888592082,0.0005776288580169916,antagonistic,False,True,0.012263,antagonistic
KLHDC7B,14,31,37,273,-0.06390644875358178,0.06297589326372159,0.166366713517848,0.1373601927114276,-0.6983,-0.1545,6.664455267741037e-05,0.4118984789258834,-1.0292,-0.1559,0.0006267556762325179,0.00010703983620123159,synergistic,False,True,0.01241,synergistic
KIAA0513,37,88,109,952,-0.10074795411875438,-0.030732802589445295,-0.02367739909916189,-0.02011435339840904,-0.2434,-0.1742,0.006176287111699728,0.09889420079401416,-0.5511,-0.0665,0.0010209433371801164,0.002285191203287852,synergistic,False,True,0.016846,synergistic
SEPTIN9,33,79,97,858,-0.12626308186815993,-0.19848879226518523,-0.21993257361107518,-0.19128463365496579,0.1184,-0.0297,0.11835143041071915,0.6409639458990396,0.7082,0.1009,0.0012550858258487435,0.005491159636414301,antagonistic,True,False,0.017164,antagonistic
ARID1B,37,88,109,952,-0.3433244074476397,-0.3036864686992386,-0.07403116808690055,-0.06535016708603128,-1.2813,-0.2727,1.580275624945047e-14,0.006267403623874324,-0.0719,-0.031,0.0013869839533481258,2.7854288134128556e-13,synergistic,True,False,0.017164,synergistic
DNAJC3,37,88,109,952,0.08090281495949193,0.028897893726883225,-0.020117630417439553,-0.017950729715561223,0.3707,0.1149,0.00012962171915818695,0.04531950579652869,0.3227,0.0542,0.0021384439382345923,0.00023223282759163888,antagonistic,False,True,0.022922,antagonistic
FNDC8,37,88,109,952,-0.15847537775864173,-0.08800635990528281,-0.08923225136587683,-0.07718252308813472,-0.2409,-0.227,0.02239797238718049,0.013307882813061151,-0.4612,-0.0584,0.002315394540161065,0.0025933703299355878,synergistic,False,True,0.022922,synergistic
