dep_gene,n_double,n_a_only,n_b_only,n_wt,mean_double,mean_a_only,mean_b_only,mean_wt,d_main_a,d_main_b,p_main_a,p_main_b,interaction_d,interaction_delta,p_interaction,p_kruskal,classification,from_atlas_a,from_atlas_b,fdr_interaction,fdr_classification
ARID1B,80,45,738,323,-0.30234589416542024,-0.33866090639693436,-0.056917670763454054,-0.08754648719487569,-1.2813,0.1792,1.580275624945047e-14,0.002712487907214312,-0.2093,0.0057,4.328209150244666e-09,2.2840717849676683e-14,antagonistic,True,False,0.0,antagonistic
RIC8A,80,45,738,323,-0.13602019543916413,-0.09600134529884322,0.015249928791156902,-0.10516296122240502,-0.3286,0.3453,0.00014527234875219642,1.2614671564348968e-07,-0.5698,-0.1604,1.7797399657024166e-05,2.8976611806195693e-10,synergistic,True,False,0.000445,synergistic
WRN,80,45,738,323,-0.4857274937283814,-0.685329442602358,-0.13800209175874914,-0.1722242577782583,-1.3096,0.1876,4.513655346220171e-09,0.0011894874337735257,0.2935,0.1654,0.0004186343899293014,1.0858729104036584e-09,antagonistic,True,False,0.006977,antagonistic
RHOA,80,45,738,323,-0.5241682678004509,-0.3605010782552963,-0.41611856440901807,-0.49401776542667836,-0.0622,0.125,0.25429439742589466,0.009038026111597324,-0.6157,-0.2416,0.007238899512463465,0.0007519478408308684,synergistic,True,False,0.090486,additive
SLC20A1,80,45,738,323,-0.35493655216685627,-0.34002370643623026,-0.3005396208123222,-0.303147317175575,-0.1976,0.0073,0.04203882517495424,0.17515014269241846,-0.0492,-0.0175,0.03725793962097141,0.08151468664574144,synergistic,True,False,0.372579,additive
DOCK7,80,45,738,323,-0.19442880956984115,-0.1358946616942372,-0.15175574897142305,-0.20194616670672208,-0.0316,0.1905,0.5322872589464347,0.006420113292790515,-0.5328,-0.1087,0.0676637102766957,0.0050831809807696275,additive,True,False,0.544221,additive
FAM118A,80,45,738,323,0.10115901768355244,0.053991483350541054,0.07239160930620167,0.052048107050636054,0.1162,0.1484,0.18924574654158943,0.012786475811182894,0.182,0.0268,0.083840152617955,0.030413993559369072,additive,True,False,0.544221,additive
KDM2A,80,45,738,323,-0.5889038164206767,-0.56381161995673,-0.5473986882992675,-0.515635451443101,-0.1609,-0.1143,0.08775739240200303,0.03829823753298455,0.0101,0.0067,0.10654208955872772,0.05663853233317217,additive,True,False,0.544221,additive
ITGA5,80,45,738,323,-0.13864042199008025,-0.1323706975857219,-0.1021310805483439,-0.1406851445866004,-0.1421,0.2153,0.19679858003172745,0.005696940154846686,-0.2913,-0.0448,0.14625365371175733,0.01862106229607993,additive,True,False,0.544221,additive
TRIT1,80,45,738,323,-0.3373457830942819,-0.41066951585023354,-0.2712890350327273,-0.27291757901331726,-0.3094,0.0402,0.008216992368250705,0.7143207981383416,0.2322,0.0717,0.15155593397043635,0.04989569978086014,additive,True,False,0.544221,additive
