dep_gene,n_double,n_a_only,n_b_only,n_wt,mean_double,mean_a_only,mean_b_only,mean_wt,d_main_a,d_main_b,p_main_a,p_main_b,interaction_d,interaction_delta,p_interaction,p_kruskal,classification,from_atlas_a,from_atlas_b,fdr_interaction,fdr_classification
CDK6,29,117,65,975,-0.10703494686644502,-0.638518833074299,-0.14754620834695403,-0.6309755539451315,0.1252,0.9461,0.07855585856595285,8.257587336204312e-24,0.1389,0.0481,0.00034225501424478186,8.413392794695272e-22,antagonistic,False,True,0.009229,antagonistic
CKS1B,25,105,59,878,-1.1159735016318817,-0.781473740518624,-1.0870436978623221,-0.7542757457057722,-0.2164,-1.0782,0.011433235948692819,2.3179470257814303e-14,0.0271,-0.0017,0.0005100059577179305,4.5425329807769e-13,synergistic,False,True,0.009229,synergistic
CDK4,29,117,65,975,-0.3608052910798508,-0.8434497691879067,-0.40886663261929246,-0.7711151914500405,0.0016,0.7058,0.3513987728983251,8.08003992300426e-17,0.2714,0.1204,0.0005537682803318689,4.10062220296753e-15,antagonistic,False,True,0.009229,antagonistic
CCND1,29,117,65,975,-0.403497034349785,-1.2582574311194121,-0.4359179314227986,-1.3075379474423585,0.1873,1.0338,0.01131029076635315,3.336960957677754e-24,0.0195,-0.0169,0.0023862895830229244,2.365761925764492e-22,synergistic,False,True,0.026876,synergistic
E2F3,29,117,65,975,-0.733695800443052,-0.3451226984037139,-0.8277628173034849,-0.34443332279274413,-0.149,-1.5354,0.21025290133743535,6.171588792353342e-21,0.1819,0.0948,0.0026876208876991884,5.236466978705246e-19,antagonistic,False,True,0.026876,antagonistic
CCND3,29,117,65,975,-0.1500828400401459,-0.44549512837451927,-0.18281977241827888,-0.34723229967659125,-0.1388,0.5195,0.3065686766021586,8.931315571739409e-12,0.4393,0.131,0.0035058683428067423,2.5510889215162034e-11,antagonistic,False,True,0.029216,antagonistic
RBL2,29,117,65,975,0.19903996125365672,0.0808315289540066,0.1749077492320346,0.08318525852782999,0.1244,0.8223,0.24479887801784317,1.8876568889316026e-10,0.1775,0.0265,0.005084796264752,6.203710689474801e-09,antagonistic,False,True,0.03632,antagonistic
SKP2,29,117,65,975,-1.1163851648576584,-0.6840499053095933,-1.3301310130454618,-0.6927818223181449,-0.0835,-1.3648,0.17721687213924253,3.5841306592584176e-22,0.3336,0.205,0.010688369150497857,2.959990482073979e-20,antagonistic,False,True,0.066802,additive
RBL1,29,117,65,975,0.0964293959700937,-0.04826936429003519,0.07173741086154829,-0.05859243995198803,0.2174,0.9935,0.0818078978583215,1.0321587896024368e-10,0.0231,0.0144,0.01287424875753097,3.567374280565781e-09,antagonistic,False,True,0.071524,additive
KRTAP4-4,24,103,55,864,-0.08077839467869628,-0.1512926571277052,-0.10012069531477145,-0.1421213817996492,0.0129,0.3873,0.9530209306534605,0.0008435887732803174,0.2502,0.0285,0.018279010622905968,0.005240005605333162,antagonistic,False,True,0.091395,additive
YEATS2,29,117,65,975,-0.6898502486513103,-0.5195798056645401,-0.7016097811331662,-0.5337948309518246,-0.0381,-0.7048,0.9287578253938452,8.226631543972265e-10,-0.0133,-0.0025,0.022553471222546615,1.6548623147991572e-08,synergistic,False,True,0.096423,additive
ATMIN,29,117,65,975,-0.18571175034570803,-0.3180443899478117,-0.21594473674675754,-0.3053291522947857,0.035,0.4418,0.4888314523738364,1.5604142830005864e-05,0.1951,0.0429,0.023141492254493443,0.0002133822518067324,antagonistic,False,True,0.096423,additive
CDK2,29,117,65,975,-0.9746170866511793,-0.7214915401993918,-1.068250355373093,-0.7626535459972228,0.0267,-0.7666,0.8383741002390415,2.6091926282577135e-11,0.1104,0.0525,0.036824862543075376,8.011252881205686e-10,antagonistic,False,True,0.141634,additive
CCNF,29,117,65,975,0.02584832979330214,-0.12057253865123436,0.029652233266450626,-0.10476627443617788,0.0188,0.5243,0.6514969653182195,3.2582619071923006e-08,0.0505,0.012,0.0466509223760554,9.357141114733249e-07,antagonistic,False,True,0.16661,additive
CHD8,29,117,65,975,-0.32775399561334556,-0.19095051932500234,-0.28751576532067863,-0.24034072793016775,0.0976,-0.2521,0.32574935157299323,0.012328069808188534,-0.3811,-0.0896,0.05435969081807252,0.020803638918739344,additive,False,True,0.181199,additive
LIN37,29,117,65,975,-0.020970292711325708,-0.1335350834593916,-0.06465177222892318,-0.21097769021707594,0.4366,0.7363,2.1877558215458757e-06,1.8416039520993126e-09,-0.1853,-0.0338,0.07193710579449918,3.8995445009112857e-11,additive,False,True,0.224803,additive
CCNE2,29,117,65,975,-0.23034398583794108,-0.06649708041047729,-0.2474348208209063,-0.059126696686419164,-0.1622,-1.0933,0.10622320886282671,6.261191596674336e-14,0.1088,0.0245,0.07726714170101973,2.5530656630235113e-12,additive,False,True,0.227256,additive
CDH2,29,117,65,975,-0.08630910674452903,-0.16052515933531686,-0.08746024572204102,-0.1435483999484336,-0.0209,0.2123,0.42669203042214077,0.036907008052539915,0.0667,0.0181,0.12177779493550638,0.07207837628189796,additive,False,True,0.318503,additive
NLRP8,29,117,65,975,0.056081916067740475,0.0953952818329574,0.07713211045993042,0.07962008928399687,0.0692,-0.091,0.26603353638412464,0.19585991739770736,-0.3247,-0.0368,0.12577425071030096,0.1526111520412987,additive,False,True,0.318503,additive
PMVK,29,117,65,975,-0.264573814179309,-0.38668099398665995,-0.3140275966434042,-0.3724767754330055,0.0205,0.241,0.7827736552054698,0.011542369828746535,0.2034,0.0637,0.12740115718450948,0.0775337769186607,additive,False,True,0.318503,additive
CDS2,29,117,65,975,-0.2411620094447951,-0.38341212187535556,-0.3287795805672059,-0.3278826059355691,-0.0862,0.1016,0.46532955883763116,0.9323487248526369,0.5074,0.1431,0.16748246847343773,0.37615920431586763,additive,False,True,0.381548,additive
CCNE1,29,117,65,975,-0.314857335171517,-0.2020684163340334,-0.3374729231213574,-0.1777236293187067,-0.1316,-0.5428,0.024652403617872753,8.591899725519221e-10,0.1584,0.047,0.16950726568725183,1.212573134936975e-08,additive,False,True,0.381548,additive
KRTAP4-5,29,117,65,975,-0.05916995504260636,-0.03743113376192513,-0.0043820713786082875,-0.050309868564064254,0.0406,0.1974,0.7883287678865203,0.12186103402428318,-0.479,-0.0677,0.1907741879476741,0.1061221286907297,additive,False,True,0.381548,additive
LCE3C,29,117,65,975,-0.10741194379256455,-0.15476883412279147,-0.11405348406067946,-0.1504871096360966,0.0159,0.2174,0.7137746950945826,0.05587751121017608,0.0595,0.0109,0.1907741879476741,0.2580092834868079,additive,False,True,0.381548,additive
ZC3H13,29,117,65,975,-0.46036935162750997,-0.3876011809767092,-0.3982412146148971,-0.3852023751765281,-0.067,-0.1335,0.37356228885425913,0.17374062932489498,-0.2614,-0.0597,0.1907741879476741,0.419861847366101,additive,False,True,0.381548,additive
NOP16,29,117,65,975,-1.359377610969269,-1.4699154398580958,-1.2799403718009361,-1.4009181201683,-0.1529,0.2913,0.16014244179222858,0.0021360177459455736,-0.046,-0.0104,0.19980977884428208,0.004096498579964347,additive,False,True,0.38425,additive
QKI,29,117,65,975,0.045112049318679896,-0.03350865700637004,0.06808319633653082,-0.03724073982634617,0.0664,0.5134,0.6938567803426156,1.1206252626813377e-06,-0.1481,-0.0267,0.22878369684777888,2.4158817000323814e-05,additive,False,True,0.423573,additive
